Group ID,Major,Course
1,"African American Studies, BA",AFROAMER/GEN&WS  222
1,"African American Studies, BA",AFROAMER 225
1,"African American Studies, BA",AFROAMER 227
1,"African American Studies, BA",AFROAMER 265
1,"African American Studies, BA",AFROAMER 337
1,"African American Studies, BA",AFROAMER 338
2,"African American Studies, BA",AFROAMER 151
2,"African American Studies, BA",AFROAMER 231
2,"African American Studies, BA",AFROAMER 272
2,"African American Studies, BA",AFROAMER/HISTORY  321
2,"African American Studies, BA",AFROAMER/HISTORY  322
2,"African American Studies, BA",AFROAMER/GEN&WS  324
2,"African American Studies, BA",AFROAMER/GEN&WS  326
2,"African American Studies, BA",AFROAMER/HISTORY  393
3,"African American Studies, BA",AFROAMER 154
3,"African American Studies, BA",AFROAMER 156
3,"African American Studies, BA",AFROAMER/ART HIST  241
3,"African American Studies, BA",AFROAMER/ART HIST  242
3,"African American Studies, BA",AFROAMER/GEN&WS  267
3,"African American Studies, BA",AFROAMER 303
3,"African American Studies, BA",AFROAMER/GEN&WS  367
4,"African American Studies, BA",AFROAMER 525
4,"African American Studies, BA",AFROAMER 621
4,"African American Studies, BA",AFROAMER/GEN&WS  624
4,"African American Studies, BA",AFROAMER/GEN&WS  625
4,"African American Studies, BA",AFROAMER/HISTORY  628
4,"African American Studies, BA",AFROAMER 631
4,"African American Studies, BA",AFROAMER 671
4,"African American Studies, BA",AFROAMER/ENGL  672
4,"African American Studies, BA",AFROAMER 673
4,"African American Studies, BA",AFROAMER 675
4,"African American Studies, BA",AFROAMER/GEN&WS  677
5,"African American Studies, BA",AFROAMER/AMER IND/ASIAN AM/CHICLA/FOLKLORE  102
5,"African American Studies, BA",AFROAMER 155
5,"African American Studies, BA",AFROAMER/GEN&WS  221
5,"African American Studies, BA",AFROAMER 271
5,"African American Studies, BA",AFROAMER 302
5,"African American Studies, BA",AFROAMER/GEN&WS  323
5,"African American Studies, BA",AFROAMER/GEN&WS  333
5,"African American Studies, BA",AFROAMER/HISTORY  347
5,"African American Studies, BA",AFROAMER/POLI SCI  519
5,"African American Studies, BA",AFROAMER/HIST SCI/MED HIST  523
5,"African American Studies, BA",AFROAMER/ED POL  567
6,"African Cultural Studies, BA",AFRICAN 321 & AFRICAN 322
6,"African Cultural Studies, BA",AFRICAN 331 & AFRICAN 332
6,"African Cultural Studies, BA",AFRICAN 335 & AFRICAN 336
6,"African Cultural Studies, BA",AFRICAN 339 & AFRICAN 340
6,"African Cultural Studies, BA",AFRICAN 361 & AFRICAN 362
6,"African Cultural Studies, BA",AFRICAN 371 & AFRICAN 372
6,"African Cultural Studies, BA",AFRICAN 391 & AFRICAN 392
7,"African Cultural Studies, BA",AFRICAN 100
8,"African Cultural Studies, BA",AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC  277
8,"African Cultural Studies, BA",AFRICAN 300
8,"African Cultural Studies, BA",AFRICAN/INTL ST  302
8,"African Cultural Studies, BA",AFRICAN 303
8,"African Cultural Studies, BA",AFRICAN 304
8,"African Cultural Studies, BA",AFRICAN 323
8,"African Cultural Studies, BA",AFRICAN 324
8,"African Cultural Studies, BA",AFRICAN 329
8,"African Cultural Studies, BA",AFRICAN 330
8,"African Cultural Studies, BA",AFRICAN 333
8,"African Cultural Studies, BA",AFRICAN 334
8,"African Cultural Studies, BA",AFRICAN 341
8,"African Cultural Studies, BA",AFRICAN 342
8,"African Cultural Studies, BA",AFRICAN 343
8,"African Cultural Studies, BA",AFRICAN 344
8,"African Cultural Studies, BA",AFRICAN/ASIAN/RELIG ST  370
8,"African Cultural Studies, BA",AFRICAN 373
8,"African Cultural Studies, BA",AFRICAN 374
8,"African Cultural Studies, BA",AFRICAN 393
8,"African Cultural Studies, BA",AFRICAN 394
8,"African Cultural Studies, BA",AFRICAN 399
8,"African Cultural Studies, BA",AFRICAN 402
8,"African Cultural Studies, BA",AFRICAN 406
8,"African Cultural Studies, BA",AFRICAN 407
8,"African Cultural Studies, BA",AFRICAN/RELIG ST  408
8,"African Cultural Studies, BA",AFRICAN 409
8,"African Cultural Studies, BA",AFRICAN 412
8,"African Cultural Studies, BA",AFRICAN/AFROAMER  413
8,"African Cultural Studies, BA",AFRICAN/RELIG ST  414
8,"African Cultural Studies, BA",AFRICAN 435
8,"African Cultural Studies, BA",AFRICAN 436
8,"African Cultural Studies, BA",AFRICAN/FRENCH  440
8,"African Cultural Studies, BA",AFRICAN/COM ARTS/L I S  444
8,"African Cultural Studies, BA",AFRICAN/PORTUG  451
8,"African Cultural Studies, BA",AFRICAN/JEWISH/MEDIEVAL/RELIG ST  462
8,"African Cultural Studies, BA",AFRICAN 605
8,"African Cultural Studies, BA",AFRICAN 606
8,"African Cultural Studies, BA",AFRICAN 681
8,"African Cultural Studies, BA",AFRICAN 682
8,"African Cultural Studies, BA",AFRICAN 698
8,"African Cultural Studies, BA",AFRICAN 699
8,"African Cultural Studies, BA",AFROAMER 302
8,"African Cultural Studies, BA",AFROAMER/DANCE/MUSIC  318
8,"African Cultural Studies, BA",AFROAMER/HISTORY  347
8,"African Cultural Studies, BA",AFROAMER/GEN&WS  367
8,"African Cultural Studies, BA",A A E/ECON  477
8,"African Cultural Studies, BA",ANTHRO 333
8,"African Cultural Studies, BA",DANCE/AFROAMER/MUSIC  318
8,"African Cultural Studies, BA",ECON/A A E  477
8,"African Cultural Studies, BA",GEN&WS/AFROAMER  367
8,"African Cultural Studies, BA",GEN&WS/POLI SCI  429
8,"African Cultural Studies, BA",GEOG 355
8,"African Cultural Studies, BA",HISTORY 278
8,"African Cultural Studies, BA",LITTRANS 226
8,"African Cultural Studies, BA",LITTRANS 334
8,"African Cultural Studies, BA",MUSIC/AFROAMER/DANCE  318
8,"African Cultural Studies, BA",POLI SCI 329
8,"African Cultural Studies, BA",POLI SCI/GEN&WS  429
9,"African Cultural Studies, BA",AFRICAN/HISTORY  106
9,"African Cultural Studies, BA",AFRICAN/HISTORY  129
9,"African Cultural Studies, BA",AFRICAN 201
9,"African Cultural Studies, BA",AFRICAN 202
9,"African Cultural Studies, BA",AFRICAN 203
9,"African Cultural Studies, BA",AFRICAN 204
9,"African Cultural Studies, BA",AFRICAN 206
9,"African Cultural Studies, BA",AFRICAN/FOLKLORE  210
9,"African Cultural Studies, BA",AFRICAN 212
9,"African Cultural Studies, BA",AFRICAN/FRENCH  216
9,"African Cultural Studies, BA",AFRICAN/AFROAMER  220
9,"African Cultural Studies, BA",AFRICAN 230
9,"African Cultural Studies, BA",AFRICAN 231
9,"African Cultural Studies, BA",AFRICAN/AFROAMER  233
9,"African Cultural Studies, BA",AFRICAN/AFROAMER/HISTORY/POLI SCI  297
9,"African Cultural Studies, BA",AFROAMER/GEN&WS  221
9,"African Cultural Studies, BA",AFROAMER/ART HIST  241
9,"African Cultural Studies, BA",AFROAMER/GEN&WS  267
9,"African Cultural Studies, BA",ART HIST/AFROAMER  241
9,"African Cultural Studies, BA",GEN&WS/AFROAMER  221
9,"African Cultural Studies, BA",GEN&WS/AFROAMER  267
9,"African Cultural Studies, BA",HISTORY 179
10,"African Cultural Studies, BA",AFRICAN 403
10,"African Cultural Studies, BA",AFRICAN 405
11,"Anthropology, BA",ANTHRO 105
12,"Anthropology, BA",ANTHRO 300
13,"Anthropology, BA",ANTHRO 212
13,"Anthropology, BA",ANTHRO 321
13,"Anthropology, BA",ANTHRO 322
14,"Anthropology, BA",ANTHRO 490
