Group ID,Major,Course,Credits Required
1,"African American Studies, BA",AFROAMER/GEN&WS  222,6
1,"African American Studies, BA",AFROAMER 225,6
1,"African American Studies, BA",AFROAMER 227,6
1,"African American Studies, BA",AFROAMER 265,6
1,"African American Studies, BA",AFROAMER 337,6
1,"African American Studies, BA",AFROAMER 338,6
2,"African American Studies, BA",AFROAMER 151,6
2,"African American Studies, BA",AFROAMER 231,6
2,"African American Studies, BA",AFROAMER 272,6
2,"African American Studies, BA",AFROAMER/HISTORY  321,6
2,"African American Studies, BA",AFROAMER/HISTORY  322,6
2,"African American Studies, BA",AFROAMER/GEN&WS  324,6
2,"African American Studies, BA",AFROAMER/GEN&WS  326,6
2,"African American Studies, BA",AFROAMER/HISTORY  393,6
4,"African American Studies, BA",AFROAMER 154,6
4,"African American Studies, BA",AFROAMER 156,6
4,"African American Studies, BA",AFROAMER/ART HIST  241,6
4,"African American Studies, BA",AFROAMER/ART HIST  242,6
4,"African American Studies, BA",AFROAMER/GEN&WS  267,6
4,"African American Studies, BA",AFROAMER 303,6
4,"African American Studies, BA",AFROAMER/GEN&WS  367,6
5,"African American Studies, BA",AFROAMER 525,6
5,"African American Studies, BA",AFROAMER 621,6
5,"African American Studies, BA",AFROAMER/GEN&WS  624,6
5,"African American Studies, BA",AFROAMER/GEN&WS  625,6
5,"African American Studies, BA",AFROAMER/HISTORY  628,6
5,"African American Studies, BA",AFROAMER 631,6
5,"African American Studies, BA",AFROAMER 671,6
5,"African American Studies, BA",AFROAMER/ENGL  672,6
5,"African American Studies, BA",AFROAMER 673,6
5,"African American Studies, BA",AFROAMER 675,6
5,"African American Studies, BA",AFROAMER/GEN&WS  677,6
6,"African American Studies, BA",AFROAMER/AMER IND/ASIAN AM/CHICLA/FOLKLORE  102,6
6,"African American Studies, BA",AFROAMER 155,6
6,"African American Studies, BA",AFROAMER/GEN&WS  221,6
6,"African American Studies, BA",AFROAMER 271,6
6,"African American Studies, BA",AFROAMER 302,6
6,"African American Studies, BA",AFROAMER/GEN&WS  323,6
6,"African American Studies, BA",AFROAMER/GEN&WS  333,6
6,"African American Studies, BA",AFROAMER/HISTORY  347,6
6,"African American Studies, BA",AFROAMER/POLI SCI  519,6
6,"African American Studies, BA",AFROAMER/HIST SCI/MED HIST  523,6
6,"African American Studies, BA",AFROAMER/ED POL  567,C2
