Group ID,Major,Course,Credits Required
8,"African Cultural Studies, BA",AFRICAN 321 & AFRICAN 322,8-10
8,"African Cultural Studies, BA",AFRICAN 331 & AFRICAN 332,8-10
8,"African Cultural Studies, BA",AFRICAN 335 & AFRICAN 336,8-10
8,"African Cultural Studies, BA",AFRICAN 339 & AFRICAN 340,8-10
8,"African Cultural Studies, BA",AFRICAN 361 & AFRICAN 362,8-10
8,"African Cultural Studies, BA",AFRICAN 371 & AFRICAN 372,8-10
8,"African Cultural Studies, BA",AFRICAN 391 & AFRICAN 392,8-10
9,"African Cultural Studies, BA",AFRICAN 100,3
10,"African Cultural Studies, BA",AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/POLI SCI/SOC  277,12
10,"African Cultural Studies, BA",AFRICAN 300,12
10,"African Cultural Studies, BA",AFRICAN/INTL ST  302,12
10,"African Cultural Studies, BA",AFRICAN 303,12
10,"African Cultural Studies, BA",AFRICAN 304,12
10,"African Cultural Studies, BA",AFRICAN 323,12
10,"African Cultural Studies, BA",AFRICAN 324,12
10,"African Cultural Studies, BA",AFRICAN 329,12
10,"African Cultural Studies, BA",AFRICAN 330,12
10,"African Cultural Studies, BA",AFRICAN 333,12
10,"African Cultural Studies, BA",AFRICAN 334,12
10,"African Cultural Studies, BA",AFRICAN 341,12
10,"African Cultural Studies, BA",AFRICAN 342,12
10,"African Cultural Studies, BA",AFRICAN 343,12
10,"African Cultural Studies, BA",AFRICAN 344,12
10,"African Cultural Studies, BA",AFRICAN/ASIAN/RELIG ST  370,12
10,"African Cultural Studies, BA",AFRICAN 373,12
10,"African Cultural Studies, BA",AFRICAN 374,12
10,"African Cultural Studies, BA",AFRICAN 393,12
10,"African Cultural Studies, BA",AFRICAN 394,12
10,"African Cultural Studies, BA",AFRICAN 399,12
10,"African Cultural Studies, BA",AFRICAN 402,12
10,"African Cultural Studies, BA",AFRICAN 406,12
10,"African Cultural Studies, BA",AFRICAN 407,12
10,"African Cultural Studies, BA",AFRICAN/RELIG ST  408,12
10,"African Cultural Studies, BA",AFRICAN 409,12
10,"African Cultural Studies, BA",AFRICAN 412,12
10,"African Cultural Studies, BA",AFRICAN/AFROAMER  413,12
10,"African Cultural Studies, BA",AFRICAN/RELIG ST  414,12
10,"African Cultural Studies, BA",AFRICAN 435,12
10,"African Cultural Studies, BA",AFRICAN 436,12
10,"African Cultural Studies, BA",AFRICAN/FRENCH  440,12
10,"African Cultural Studies, BA",AFRICAN/COM ARTS/L I S  444,12
10,"African Cultural Studies, BA",AFRICAN/PORTUG  451,12
10,"African Cultural Studies, BA",AFRICAN/JEWISH/MEDIEVAL/RELIG ST  462,12
10,"African Cultural Studies, BA",AFRICAN 605,12
10,"African Cultural Studies, BA",AFRICAN 606,12
10,"African Cultural Studies, BA",AFRICAN 681,12
10,"African Cultural Studies, BA",AFRICAN 682,12
10,"African Cultural Studies, BA",AFRICAN 698,12
10,"African Cultural Studies, BA",AFRICAN 699,12
10,"African Cultural Studies, BA",AFROAMER 302,12
10,"African Cultural Studies, BA",AFROAMER/DANCE/MUSIC  318,12
10,"African Cultural Studies, BA",AFROAMER/HISTORY  347,12
10,"African Cultural Studies, BA",AFROAMER/GEN&WS  367,12
10,"African Cultural Studies, BA",A A E/ECON  477,12
10,"African Cultural Studies, BA",ANTHRO 333,12
10,"African Cultural Studies, BA",DANCE/AFROAMER/MUSIC  318,12
10,"African Cultural Studies, BA",ECON/A A E  477,12
10,"African Cultural Studies, BA",GEN&WS/AFROAMER  367,12
10,"African Cultural Studies, BA",GEN&WS/POLI SCI  429,12
10,"African Cultural Studies, BA",GEOG 355,12
10,"African Cultural Studies, BA",HISTORY 278,12
10,"African Cultural Studies, BA",LITTRANS 226,12
10,"African Cultural Studies, BA",LITTRANS 334,12
10,"African Cultural Studies, BA",MUSIC/AFROAMER/DANCE  318,12
10,"African Cultural Studies, BA",POLI SCI 329,12
10,"African Cultural Studies, BA",POLI SCI/GEN&WS  429,12
11,"African Cultural Studies, BA",AFRICAN/HISTORY  106,6
11,"African Cultural Studies, BA",AFRICAN/HISTORY  129,6
11,"African Cultural Studies, BA",AFRICAN 201,6
11,"African Cultural Studies, BA",AFRICAN 202,6
11,"African Cultural Studies, BA",AFRICAN 203,6
11,"African Cultural Studies, BA",AFRICAN 204,6
11,"African Cultural Studies, BA",AFRICAN 206,6
11,"African Cultural Studies, BA",AFRICAN/FOLKLORE  210,6
11,"African Cultural Studies, BA",AFRICAN 212,6
11,"African Cultural Studies, BA",AFRICAN/FRENCH  216,6
11,"African Cultural Studies, BA",AFRICAN/AFROAMER  220,6
11,"African Cultural Studies, BA",AFRICAN 230,6
11,"African Cultural Studies, BA",AFRICAN 231,6
11,"African Cultural Studies, BA",AFRICAN/AFROAMER  233,6
11,"African Cultural Studies, BA",AFRICAN/AFROAMER/HISTORY/POLI SCI  297,6
11,"African Cultural Studies, BA",AFROAMER/GEN&WS  221,6
11,"African Cultural Studies, BA",AFROAMER/ART HIST  241,6
11,"African Cultural Studies, BA",AFROAMER/GEN&WS  267,6
11,"African Cultural Studies, BA",ART HIST/AFROAMER  241,6
11,"African Cultural Studies, BA",GEN&WS/AFROAMER  221,6
11,"African Cultural Studies, BA",GEN&WS/AFROAMER  267,6
11,"African Cultural Studies, BA",HISTORY 179,6
12,"African Cultural Studies, BA",AFRICAN 403,3
12,"African Cultural Studies, BA",AFRICAN 405,3
