Group ID,Major,Course,Credits Required
15,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 221,5
15,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 222,4
16,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 234,C1
16,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 375 & MATH 376,C1
17,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 247,C1
17,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 207,C1
17,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 201,C1
17,"Applied Mathematics, Engineering, and Physics, BS AMEP",E M A 202,C1
18,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 248,C1
18,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 208,C1
18,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 202,C1
19,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 249,C1
19,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 241,C1
19,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS 205,C1
19,"Applied Mathematics, Engineering, and Physics, BS AMEP",PHYSICS/E C E  235,C1
20,"Applied Mathematics, Engineering, and Physics, BS AMEP",CHEM 109,C1
20,"Applied Mathematics, Engineering, and Physics, BS AMEP",CHEM 103 & CHEM 104,C1
20,"Applied Mathematics, Engineering, and Physics, BS AMEP",CHEM 115,C1
21,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 320,C1
21,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 340,C1
21,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 341,C1
21,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 375,C1
22,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 320,C1
22,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 319,C1
22,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 376,C1
23,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 321,3
32,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 322,3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 415,C3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 421,C3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/STAT  431,C3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/STAT  309,C3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 443,C3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/COMP SCI  513,C3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH/COMP SCI  514,C3
24,"Applied Mathematics, Engineering, and Physics, BS AMEP",MATH 519,C3
