Group ID,Major,Course,Credits Required
32,"Applied Social Science, BLS",INTER-LS 301,3
32,"Applied Social Science, BLS",INTER-LS 302,3
33,"Applied Social Science, BLS",PHILOS 243,C1
33,"Applied Social Science, BLS",COM ARTS 325,C1
33,"Applied Social Science, BLS",COM ARTS 371,C1
33,"Applied Social Science, BLS",L I S 440,C1
33,"Applied Social Science, BLS",L I S 661,C1
34,"Applied Social Science, BLS",COM ARTS 373,C1
34,"Applied Social Science, BLS",JOURN 162,C1
34,"Applied Social Science, BLS",L I S 500,C1
35,"Applied Social Science, BLS",STAT 301,C1
35,"Applied Social Science, BLS",L I S 351,C1
35,"Applied Social Science, BLS",LINGUIS 237,C1
35,"Applied Social Science, BLS",SOC/C&E SOC  357,C1
35,"Applied Social Science, BLS",SOC/C&E SOC  360,C1
36,"Applied Social Science, BLS",L I S 440,C1
36,"Applied Social Science, BLS",L I S 661,C1
36,"Applied Social Science, BLS",GEOG 307,C1
36,"Applied Social Science, BLS",LEGAL ST/POLI SCI  217,C1
37,"Applied Social Science, BLS",INTER-LS 601,3
37,"Applied Social Science, BLS",INTER-LS 602,3
