Group ID,Major,Course,Credits Required
38,"Art History, BA",ART HIST 102,C2
38,"Art History, BA",ART HIST 104,C2
38,"Art History, BA",ART HIST 106,C2
38,"Art History, BA",ART HIST 107,C2
38,"Art History, BA",ART HIST/RELIG ST  115,C2
38,"Art History, BA",ART HIST 130,C2
38,"Art History, BA",ART HIST/ASIAN  179,C2
38,"Art History, BA",ART HIST 201,C2
38,"Art History, BA",ART HIST 202,C2
38,"Art History, BA",ART HIST 205,C2
38,"Art History, BA",ART HIST 206,C2
38,"Art History, BA",ART HIST 210,C2
38,"Art History, BA",ART HIST 227,C2
38,"Art History, BA",ART HIST/ENVIR ST/GEOG/HISTORY/LAND ARC  239,C2
38,"Art History, BA",ART HIST/AFROAMER  241,C2
38,"Art History, BA",ART HIST/AFROAMER  242,C2
38,"Art History, BA",ART HIST/ANTHRO/DS/HISTORY/LAND ARC  264,C2
39,"Art History, BA",ART HIST/CLASSICS  300,C3
39,"Art History, BA",ART HIST 301,C3
39,"Art History, BA",ART HIST 302,C3
39,"Art History, BA",ART HIST 303,C3
39,"Art History, BA",ART HIST/CLASSICS  304,C3
39,"Art History, BA",ART HIST 305,C3
39,"Art History, BA",ART HIST 307,C3
39,"Art History, BA",ART HIST 308,C3
39,"Art History, BA",ART HIST 310,C3
39,"Art History, BA",ART HIST 318,C3
39,"Art History, BA",ART HIST 320,C3
39,"Art History, BA",ART HIST 323,C3
39,"Art History, BA",ART HIST 335,C3
39,"Art History, BA",ART HIST 336,C3
39,"Art History, BA",ART HIST 337,C3
39,"Art History, BA",ART HIST 338,C3
39,"Art History, BA",ART HIST 346,C3
39,"Art History, BA",ART HIST 350,C3
39,"Art History, BA",ART HIST 354,C3
39,"Art History, BA",ART HIST 355,C3
39,"Art History, BA",ART HIST 357,C3
39,"Art History, BA",ART HIST 360,C3
39,"Art History, BA",ART HIST 364,C3
39,"Art History, BA",ART HIST 365,C3
39,"Art History, BA",ART HIST/RELIG ST  373,C3
39,"Art History, BA",ART HIST/ASIAN  379,C3
40,"Art History, BA",ART HIST 403,C2
40,"Art History, BA",ART HIST 405,C2
40,"Art History, BA",ART HIST 407,C2
40,"Art History, BA",ART HIST 408,C2
40,"Art History, BA",ART HIST 409,C2
40,"Art History, BA",ART HIST 411,C2
40,"Art History, BA",ART HIST 412,C2
40,"Art History, BA",ART HIST 413,C2
40,"Art History, BA",ART HIST/MEDIEVAL  415,C2
40,"Art History, BA",ART HIST 420,C2
40,"Art History, BA",ART HIST/ASIAN  428,C2
40,"Art History, BA",ART HIST 430,C2
40,"Art History, BA",ART HIST 431,C2
40,"Art History, BA",ART HIST 435,C2
40,"Art History, BA",ART HIST 436,C2
40,"Art History, BA",ART HIST 437,C2
40,"Art History, BA",ART HIST 438,C2
40,"Art History, BA",ART HIST 440,C2
40,"Art History, BA",ART HIST 457,C2
40,"Art History, BA",ART HIST 468,C2
40,"Art History, BA",ART HIST 475,C2
40,"Art History, BA",ART HIST/RELIG ST  478,C2
40,"Art History, BA",ART HIST 480,C2
40,"Art History, BA",ART HIST 481,C2
40,"Art History, BA",ART HIST 601,C2
40,"Art History, BA",ART HIST 602,C2
40,"Art History, BA",ART HIST 603,C2
41,"Art History, BA",ART HIST 500,C1
41,"Art History, BA",ART HIST 505,C1
41,"Art History, BA",ART HIST 506,C1
41,"Art History, BA",ART HIST 510,C1
41,"Art History, BA",ART HIST 515,C1
41,"Art History, BA",ART HIST 535,C1
41,"Art History, BA",ART HIST 555,C1
41,"Art History, BA",ART HIST 556,C1
41,"Art History, BA",ART HIST 563,C1
41,"Art History, BA",ART HIST 567,C1
41,"Art History, BA",ART HIST 575,C1
41,"Art History, BA",ART HIST 576,C1
41,"Art History, BA",ART HIST/ASIAN  621,C1
42,"Art History, BA",ART HIST 100-699,9
43,"Art History, BA",ART HIST/CLASSICS  300,C1
43,"Art History, BA",ART HIST 301,C1
43,"Art History, BA",ART HIST 302,C1
43,"Art History, BA",ART HIST/CLASSICS  304,C1
43,"Art History, BA",ART HIST 305,C1
43,"Art History, BA",ART HIST 307,C1
43,"Art History, BA",ART HIST 310,C1
43,"Art History, BA",ART HIST 318,C1
43,"Art History, BA",ART HIST 335,C1
43,"Art History, BA",ART HIST/RELIG ST  373,C1
43,"Art History, BA",ART HIST/ASIAN  379,C1
43,"Art History, BA",ART HIST 405,C1
43,"Art History, BA",ART HIST 413,C1
43,"Art History, BA",ART HIST/MEDIEVAL  415,C1
43,"Art History, BA",ART HIST/ASIAN  428,C1
43,"Art History, BA",ART HIST 435,C1
43,"Art History, BA",ART HIST 440,C1
43,"Art History, BA",ART HIST 475,C1
43,"Art History, BA",ART HIST/RELIG ST  478,C1
44,"Art History, BA",ART HIST 305,C1
44,"Art History, BA",ART HIST 308,C1
44,"Art History, BA",ART HIST 320,C1
44,"Art History, BA",ART HIST 323,C1
44,"Art History, BA",ART HIST 336,C1
44,"Art History, BA",ART HIST 360,C1
44,"Art History, BA",ART HIST 364,C1
44,"Art History, BA",ART HIST/RELIG ST  373,C1
44,"Art History, BA",ART HIST/ASIAN  379,C1
44,"Art History, BA",ART HIST 420,C1
44,"Art History, BA",ART HIST 436,C1
44,"Art History, BA",ART HIST 475,C1
45,"Art History, BA",ART HIST 308,C1
45,"Art History, BA",ART HIST 337,C1
45,"Art History, BA",ART HIST 346,C1
45,"Art History, BA",ART HIST 350,C1
45,"Art History, BA",ART HIST 354,C1
45,"Art History, BA",ART HIST 355,C1
45,"Art History, BA",ART HIST 357,C1
45,"Art History, BA",ART HIST 364,C1
45,"Art History, BA",ART HIST/ASIAN  379,C1
45,"Art History, BA",ART HIST 407,C1
45,"Art History, BA",ART HIST 408,C1
45,"Art History, BA",ART HIST/ASIAN  428,C1
45,"Art History, BA",ART HIST 437,C1
45,"Art History, BA",ART HIST 440,C1
45,"Art History, BA",ART HIST 457,C1
45,"Art History, BA",ART HIST 468,C1
45,"Art History, BA",ART HIST 475,C1
45,"Art History, BA",ART HIST 480,C1
46,"Art History, BA",ART HIST 337,C1
46,"Art History, BA",ART HIST 346,C1
46,"Art History, BA",ART HIST 354,C1
46,"Art History, BA",ART HIST 355,C1
46,"Art History, BA",ART HIST 364,C1
46,"Art History, BA",ART HIST 365,C1
46,"Art History, BA",ART HIST/RELIG ST  373,C1
46,"Art History, BA",ART HIST/ASIAN  379,C1
46,"Art History, BA",ART HIST 408,C1
46,"Art History, BA",ART HIST 409,C1
46,"Art History, BA",ART HIST/ASIAN  428,C1
46,"Art History, BA",ART HIST 437,C1
46,"Art History, BA",ART HIST 440,C1
46,"Art History, BA",ART HIST 457,C1
46,"Art History, BA",ART HIST 468,C1
46,"Art History, BA",ART HIST 475,C1
46,"Art History, BA",ART HIST 480,C1
46,"Art History, BA",ART HIST 481,C1
47,"Art History, BA",ART HIST/AFROAMER  242,C1
47,"Art History, BA",ART HIST 305,C1
47,"Art History, BA",ART HIST 354,C1
47,"Art History, BA",ART HIST/RELIG ST  373,C1
47,"Art History, BA",ART HIST/ASIAN  379,C1
47,"Art History, BA",ART HIST 412,C1
47,"Art History, BA",ART HIST 413,C1
47,"Art History, BA",ART HIST 481,C1
48,"Art History, BA",ART HIST 305,C1
48,"Art History, BA",ART HIST 338,C1
48,"Art History, BA",ART HIST/RELIG ST  373,C1
48,"Art History, BA",ART HIST/ASIAN  379,C1
48,"Art History, BA",ART HIST 412,C1
48,"Art History, BA",ART HIST 413,C1
48,"Art History, BA",ART HIST 440,C1
48,"Art History, BA",ART HIST 480,C1
49,"Art History, BA",ART HIST 307,C1
49,"Art History, BA",ART HIST 308,C1
49,"Art History, BA",ART HIST 338,C1
49,"Art History, BA",ART HIST/ASIAN  379,C1
49,"Art History, BA",ART HIST 411,C1
49,"Art History, BA",ART HIST/ASIAN  428,C1
49,"Art History, BA",ART HIST 475,C1
49,"Art History, BA",ART HIST/RELIG ST  478,C1
49,"Art History, BA",ART HIST 480,C1
50,"Art History, BA",ART HIST/CLASSICS  300,C1
50,"Art History, BA",ART HIST 301,C1
50,"Art History, BA",ART HIST 302,C1
50,"Art History, BA",ART HIST/CLASSICS  304,C1
50,"Art History, BA",ART HIST 310,C1
50,"Art History, BA",ART HIST 318,C1
50,"Art History, BA",ART HIST 320,C1
50,"Art History, BA",ART HIST 323,C1
50,"Art History, BA",ART HIST 346,C1
50,"Art History, BA",ART HIST 350,C1
50,"Art History, BA",ART HIST 354,C1
50,"Art History, BA",ART HIST 355,C1
50,"Art History, BA",ART HIST 360,C1
50,"Art History, BA",ART HIST 365,C1
50,"Art History, BA",ART HIST 405,C1
50,"Art History, BA",ART HIST 407,C1
50,"Art History, BA",ART HIST 408,C1
50,"Art History, BA",ART HIST 409,C1
50,"Art History, BA",ART HIST/MEDIEVAL  415,C1
50,"Art History, BA",ART HIST 420,C1
50,"Art History, BA",ART HIST 481,C1
51,"Art History, BA",ART HIST 355,C1
51,"Art History, BA",ART HIST 357,C1
51,"Art History, BA",ART HIST 364,C1
51,"Art History, BA",ART HIST 365,C1
51,"Art History, BA",ART HIST 409,C1
51,"Art History, BA",ART HIST 457,C1
51,"Art History, BA",ART HIST 468,C1
51,"Art History, BA",ART HIST 480,C1
51,"Art History, BA",ART HIST 481,C1
52,"Art History, BA",ART HIST 354,C1
52,"Art History, BA",ART HIST 355,C1
52,"Art History, BA",ART HIST 365,C1
52,"Art History, BA",ART HIST 409,C1
52,"Art History, BA",ART HIST/ASIAN  428,C1
52,"Art History, BA",ART HIST 430,C1
52,"Art History, BA",ART HIST 431,C1
52,"Art History, BA",ART HIST 481,C1
52,"Art History, BA",ART HIST 601,C1
52,"Art History, BA",ART HIST 602,C1
52,"Art History, BA",ART HIST 603,C1
52,"Art History, BA",ART HIST/ASIAN  621,C1
52,"Art History, BA",ART HIST/HISTORY/JOURN/L I S  650,C1
