Group ID,Major,Course,Credits Required
53,"Asian Languages and Cultures, BA",ASIAN 100,3-4
54,"Asian Languages and Cultures, BA",ASIALANG 201 & ASIALANG 202,C1
54,"Asian Languages and Cultures, BA",ASIALANG 203 & ASIALANG 204,C1
54,"Asian Languages and Cultures, BA",ASIALANG 205 & ASIALANG 206,C1
55,"Asian Languages and Cultures, BA",ASIALANG 233 & ASIALANG 234,C1
55,"Asian Languages and Cultures, BA",ASIALANG 237 & ASIALANG 238,C1
55,"Asian Languages and Cultures, BA",ASIALANG 235 & ASIALANG 236,C1
55,"Asian Languages and Cultures, BA",ASIALANG 239 & ASIALANG 240,C1
55,"Asian Languages and Cultures, BA",ASIALANG 241 & ASIALANG 242,C1
56,"Asian Languages and Cultures, BA",ASIALANG 229 & ASIALANG 230,C1
56,"Asian Languages and Cultures, BA",ASIALANG 223 & ASIALANG 224,C1
56,"Asian Languages and Cultures, BA",ASIALANG 225 & ASIALANG 226,C1
56,"Asian Languages and Cultures, BA",ASIALANG 227 & ASIALANG 228,C1
56,"Asian Languages and Cultures, BA",ASIALANG 231 & ASIALANG 232,C1
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  103,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  104,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  108,C2
57,"Asian Languages and Cultures, BA",ASIAN 253,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY/POLI SCI  255,C2
57,"Asian Languages and Cultures, BA",ASIAN 301,C2
57,"Asian Languages and Cultures, BA",ASIAN/SOC  334,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  335,C2
57,"Asian Languages and Cultures, BA",ASIAN/SOC  336,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  337,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  341,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  342,C2
57,"Asian Languages and Cultures, BA",ASIAN 351,C2
57,"Asian Languages and Cultures, BA",ASIAN 352,C2
57,"Asian Languages and Cultures, BA",ASIAN 353,C2
57,"Asian Languages and Cultures, BA",ASIAN 354,C2
57,"Asian Languages and Cultures, BA",ASIAN 355,C2
57,"Asian Languages and Cultures, BA",ASIAN 357,C2
57,"Asian Languages and Cultures, BA",ASIAN 358,C2
57,"Asian Languages and Cultures, BA",ASIAN 361,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  363,C2
57,"Asian Languages and Cultures, BA",ASIAN 367,C2
57,"Asian Languages and Cultures, BA",ASIAN 371,C2
57,"Asian Languages and Cultures, BA",ASIAN 372,C2
57,"Asian Languages and Cultures, BA",ASIAN 373,C2
57,"Asian Languages and Cultures, BA",ASIAN 374,C2
57,"Asian Languages and Cultures, BA",ASIAN 375,C2
57,"Asian Languages and Cultures, BA",ASIAN 376,C2
57,"Asian Languages and Cultures, BA",ASIAN 378,C2
57,"Asian Languages and Cultures, BA",ASIAN 432,C2
57,"Asian Languages and Cultures, BA",ASIAN 433,C2
57,"Asian Languages and Cultures, BA",ASIAN 434,C2
57,"Asian Languages and Cultures, BA",ASIAN 435,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  454,C2
57,"Asian Languages and Cultures, BA",ASIAN/HISTORY  456,C2
57,"Asian Languages and Cultures, BA",ANTHRO 357,C2
