Group ID,Major,Course,Credits Required
61,"Astronomy–Physics, BA",ASTRON 200,
62,"Astronomy–Physics, BA",ASTRON 310,
62,"Astronomy–Physics, BA",ASTRON 320,
62,"Astronomy–Physics, BA",ASTRON 330,
62,"Astronomy–Physics, BA",ASTRON 335,
62,"Astronomy–Physics, BA",ASTRON 340,
62,"Astronomy–Physics, BA",ASTRON 500,
62,"Astronomy–Physics, BA",ASTRON 540,
62,"Astronomy–Physics, BA",ASTRON 620,
63,"Astronomy–Physics, BA",PHYSICS 247,
63,"Astronomy–Physics, BA",PHYSICS 201,
63,"Astronomy–Physics, BA",PHYSICS 207,
63,"Astronomy–Physics, BA",E M A 201 & E M A 202,
64,"Astronomy–Physics, BA",PHYSICS 248,
64,"Astronomy–Physics, BA",PHYSICS 202,
64,"Astronomy–Physics, BA",PHYSICS 208,
65,"Astronomy–Physics, BA",PHYSICS 249,
65,"Astronomy–Physics, BA",PHYSICS 205,
65,"Astronomy–Physics, BA",PHYSICS/E C E  235,
65,"Astronomy–Physics, BA",PHYSICS 241,
66,"Astronomy–Physics, BA",PHYSICS 311,
66,"Astronomy–Physics, BA",PHYSICS 322,
66,"Astronomy–Physics, BA",PHYSICS 415,
67,"Astronomy–Physics, BA",PHYSICS 448,
67,"Astronomy–Physics, BA",PHYSICS 531,
68,"Astronomy–Physics, BA",ASTRON 465,
68,"Astronomy–Physics, BA",PHYSICS 307,
