Group ID,Major,Course,Credits Required
69,"Atmospheric and Oceanic Sciences, BA",MATH 221,5
76,"Atmospheric and Oceanic Sciences, BA",MATH 222,5
77,"Atmospheric and Oceanic Sciences, BA",MATH 234,4
70,"Atmospheric and Oceanic Sciences, BA",PHYSICS 207,5
70,"Atmospheric and Oceanic Sciences, BA",PHYSICS 201,5
70,"Atmospheric and Oceanic Sciences, BA",PHYSICS 247,5
72,"Atmospheric and Oceanic Sciences, BA",PHYSICS 208,5
72,"Atmospheric and Oceanic Sciences, BA",PHYSICS 202,5
72,"Atmospheric and Oceanic Sciences, BA",PHYSICS 248,5
71,"Atmospheric and Oceanic Sciences, BA",COMP SCI 220,3
71,"Atmospheric and Oceanic Sciences, BA",COMP SCI 310,3
71,"Atmospheric and Oceanic Sciences, BA",COMP SCI 320,3
71,"Atmospheric and Oceanic Sciences, BA",COMP SCI/E C E  354,3
71,"Atmospheric and Oceanic Sciences, BA",COMP SCI 412,3
71,"Atmospheric and Oceanic Sciences, BA",COMP SCI/I SY E/MATH  425,3
78,"Atmospheric and Oceanic Sciences, BA",ATM OCN 310,3
79,"Atmospheric and Oceanic Sciences, BA",ATM OCN 311,3
80,"Atmospheric and Oceanic Sciences, BA",ATM OCN 330,3
81,"Atmospheric and Oceanic Sciences, BA",ATM OCN 340,3
73,"Atmospheric and Oceanic Sciences, BA",COMP SCI 412,3
73,"Atmospheric and Oceanic Sciences, BA",COMP SCI/MATH/STAT  475,3
73,"Atmospheric and Oceanic Sciences, BA",COMP SCI/MATH  514,3
73,"Atmospheric and Oceanic Sciences, BA",COMP SCI/I SY E/MATH/STAT  525,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/STAT  309,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/STAT  310,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 319,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 320,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 321,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 322,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 331,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 340,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 341,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 375,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 376,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 407,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 415,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 421,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/COMP SCI/I SY E  425,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/STAT  431,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/COMP SCI/E C E  435,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 443,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 461,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 467,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/CURRIC  471,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/HIST SCI  473,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/COMP SCI/STAT  475,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 490,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 491,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/COMP SCI  513,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/COMP SCI  514,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 519,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 521,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 522,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/COMP SCI/I SY E/STAT  525,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 531,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 535,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 540,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 541,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 542,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 551,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 552,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 561,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 567,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 570,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/PHILOS  571,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 607,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/B M I/BIOCHEM/BMOLCHEM  609,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 619,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 621,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 623,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 627,3
73,"Atmospheric and Oceanic Sciences, BA",MATH 629,3
73,"Atmospheric and Oceanic Sciences, BA",MATH/I SY E/OTM/STAT  632,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/MATH  309,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/MATH  310,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 311,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 312,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 324,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 333,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 340,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 349,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 351,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 360,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 371,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 411,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 421,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/M E  424,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/MATH  431,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 456,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 461,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/COMP SCI  471,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/COMP SCI/MATH  475,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 479,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/COMP SCI/I SY E/MATH  525,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/B M I  541,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/B M I  542,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/F&W ECOL  571,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/F&W ECOL  572,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 575,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 601,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 602,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 605,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 609,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 610,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 615,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 627,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 628,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/I SY E/MATH/OTM  632,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/B M I  641,3
73,"Atmospheric and Oceanic Sciences, BA",STAT/B M I  642,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 679,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 681,3
73,"Atmospheric and Oceanic Sciences, BA",STAT 682,3
74,"Atmospheric and Oceanic Sciences, BA",ATM OCN 405,1
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 401,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 404,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 425,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 441,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 452,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 453,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN/ENVIR ST  520,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 522,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN/PLANTSCI  532,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 573,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 575,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 610,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 611,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 630,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 637,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 640,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 660,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 681,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 682,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 691,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 692,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 698,11
75,"Atmospheric and Oceanic Sciences, BA",ATM OCN 699,11
