Group ID,Major,Course,Credits Required
76,"Biochemistry, BA (L&S)",MATH 221 & MATH 222,C1
76,"Biochemistry, BA (L&S)",MATH 171 & MATH 217 & MATH 222,C1
77,"Biochemistry, BA (L&S)",CHEM 103 & CHEM 104,C1
77,"Biochemistry, BA (L&S)",CHEM 109,C1
77,"Biochemistry, BA (L&S)",CHEM 115 & CHEM 116,C1
78,"Biochemistry, BA (L&S)",CHEM 343,3
90,"Biochemistry, BA (L&S)",CHEM 344,2
91,"Biochemistry, BA (L&S)",CHEM 345,3
79,"Biochemistry, BA (L&S)",CHEM 327,C1
79,"Biochemistry, BA (L&S)",CHEM 329,C1
79,"Biochemistry, BA (L&S)",CHEM 116,C1
80,"Biochemistry, BA (L&S)",CHEM 665,C1
80,"Biochemistry, BA (L&S)",CHEM 561,C1
81,"Biochemistry, BA (L&S)",BIOLOGY/BOTANY/ZOOLOGY  151 & BIOLOGY/BOTANY/ZOOLOGY  152,C1
81,"Biochemistry, BA (L&S)",BIOLOGY/ZOOLOGY  101 & BIOLOGY/ZOOLOGY  102 & BOTANY/BIOLOGY  130,C1
82,"Biochemistry, BA (L&S)",AGROECOL 370,6
82,"Biochemistry, BA (L&S)",AGROECOL 377,6
82,"Biochemistry, BA (L&S)",ANAT&PHY 335,6
82,"Biochemistry, BA (L&S)",ANAT&PHY 337,6
82,"Biochemistry, BA (L&S)",ANAT&PHY 435,6
82,"Biochemistry, BA (L&S)",AN SCI/FOOD SCI  305,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI/NUTR SCI  311,6
82,"Biochemistry, BA (L&S)",AN SCI 314,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI  320,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI  361,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI  362,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI  363,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI  370,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI  414,6
82,"Biochemistry, BA (L&S)",AN SCI 415,6
82,"Biochemistry, BA (L&S)",AN SCI 431,6
82,"Biochemistry, BA (L&S)",AN SCI 432,6
82,"Biochemistry, BA (L&S)",AN SCI/DY SCI  434,6
82,"Biochemistry, BA (L&S)",AN SCI 503,6
82,"Biochemistry, BA (L&S)",AN SCI 508,6
82,"Biochemistry, BA (L&S)",AN SCI 511,6
82,"Biochemistry, BA (L&S)",AN SCI 512,6
82,"Biochemistry, BA (L&S)",AN SCI/FOOD SCI  515,6
82,"Biochemistry, BA (L&S)",AN SCI/F&W ECOL/ZOOLOGY  520,6
82,"Biochemistry, BA (L&S)",AN SCI/F&W ECOL/ZOOLOGY  521,6
82,"Biochemistry, BA (L&S)",AN SCI 610,6
82,"Biochemistry, BA (L&S)",AN SCI/NUTR SCI  626,6
82,"Biochemistry, BA (L&S)",B M E/MED PHYS/PHMCOL-M/PHYSICS/RADIOL  619,6
82,"Biochemistry, BA (L&S)",BIOCHEM/NUTR SCI  510,6
82,"Biochemistry, BA (L&S)",BIOCHEM/NUTR SCI  560,6
82,"Biochemistry, BA (L&S)",BIOCHEM/M M & I  575,6
82,"Biochemistry, BA (L&S)",BIOCHEM 601,6
82,"Biochemistry, BA (L&S)",BIOCHEM/B M I/BMOLCHEM/MATH  609,6
82,"Biochemistry, BA (L&S)",BIOCHEM/GENETICS/MICROBIO  612,6
82,"Biochemistry, BA (L&S)",BIOCHEM/GENETICS/MD GENET  620,6
82,"Biochemistry, BA (L&S)",BIOCHEM/BOTANY  621,6
82,"Biochemistry, BA (L&S)",BIOCHEM 625,6
82,"Biochemistry, BA (L&S)",BIOCHEM/GENETICS  631,6
82,"Biochemistry, BA (L&S)",BIOCHEM/NUTR SCI  645,6
82,"Biochemistry, BA (L&S)",BSE 349,6
82,"Biochemistry, BA (L&S)",BSE 364,6
82,"Biochemistry, BA (L&S)",BSE 365,6
82,"Biochemistry, BA (L&S)",BSE/ENVIR ST  367,6
82,"Biochemistry, BA (L&S)",BSE 460,6
82,"Biochemistry, BA (L&S)",BSE 461,6
82,"Biochemistry, BA (L&S)",BSE 472,6
82,"Biochemistry, BA (L&S)",BMOLCHEM/MICROBIO  668,6
82,"Biochemistry, BA (L&S)",B M I/STAT  541,6
82,"Biochemistry, BA (L&S)",B M I/COMP SCI  576,6
82,"Biochemistry, BA (L&S)",BOTANY 300,6
82,"Biochemistry, BA (L&S)",BOTANY 305,6
82,"Biochemistry, BA (L&S)",BOTANY 330,6
82,"Biochemistry, BA (L&S)",BOTANY/PL PATH  332,6
82,"Biochemistry, BA (L&S)",BOTANY 400,6
82,"Biochemistry, BA (L&S)",BOTANY 401,6
82,"Biochemistry, BA (L&S)",BOTANY/F&W ECOL  402,6
82,"Biochemistry, BA (L&S)",BOTANY/ANTHRO/ZOOLOGY  410,6
82,"Biochemistry, BA (L&S)",BOTANY 422,6
82,"Biochemistry, BA (L&S)",BOTANY/F&W ECOL  455,6
82,"Biochemistry, BA (L&S)",BOTANY/F&W ECOL/ZOOLOGY  460,6
82,"Biochemistry, BA (L&S)",BOTANY/ENTOM/ZOOLOGY  473,6
82,"Biochemistry, BA (L&S)",BOTANY/AMER IND/ANTHRO  474,6
82,"Biochemistry, BA (L&S)",BOTANY 500,6
82,"Biochemistry, BA (L&S)",BOTANY/ENTOM/PL PATH  505,6
82,"Biochemistry, BA (L&S)",BOTANY/ENVIR ST/F&W ECOL/ZOOLOGY  516,6
82,"Biochemistry, BA (L&S)",BOTANY/PL PATH  563,6
82,"Biochemistry, BA (L&S)",BOTANY/GENETICS/M M & I/PL PATH  655,6
82,"Biochemistry, BA (L&S)",CHEM 575,6
82,"Biochemistry, BA (L&S)",CRB 625,6
82,"Biochemistry, BA (L&S)",CRB 640,6
82,"Biochemistry, BA (L&S)",CRB 675,6
82,"Biochemistry, BA (L&S)",DY SCI 378,6
82,"Biochemistry, BA (L&S)",DY SCI 535,6
82,"Biochemistry, BA (L&S)",ENTOM/ZOOLOGY  302,6
