Group ID,Major,Course,Credits Required
89,"Biology, BA (L&S)",MATH 221,C1
89,"Biology, BA (L&S)",MATH 211,C1
89,"Biology, BA (L&S)",MATH 171 & MATH 217,C1
90,"Biology, BA (L&S)",STAT 240,C1
90,"Biology, BA (L&S)",STAT 301,C1
90,"Biology, BA (L&S)",STAT 324,C1
90,"Biology, BA (L&S)",STAT 371,C1
91,"Biology, BA (L&S)",CHEM 103 & CHEM 104,C1
91,"Biology, BA (L&S)",CHEM 109,C1
91,"Biology, BA (L&S)",CHEM 115 & CHEM 116,C1
92,"Biology, BA (L&S)",CHEM 343,3
88,"Biology, BA (L&S)",CHEM 344,2
87,"Biology, BA (L&S)",CHEM 345,3
93,"Biology, BA (L&S)",PHYSICS 103,C1
93,"Biology, BA (L&S)",PHYSICS 201,C1
93,"Biology, BA (L&S)",PHYSICS 207,C1
94,"Biology, BA (L&S)",PHYSICS 104,C1
94,"Biology, BA (L&S)",PHYSICS 202,C1
94,"Biology, BA (L&S)",PHYSICS 208,C1
95,"Biology, BA (L&S)",BIOLOGY/BOTANY/ZOOLOGY 151,C2
95,"Biology, BA (L&S)",BIOLOGY/BOTANY/ZOOLOGY  152,C2
96,"Biology, BA (L&S)",BIOCORE 381,C5
96,"Biology, BA (L&S)",BIOCORE 382,C5
96,"Biology, BA (L&S)",BIOCORE 383,C5
96,"Biology, BA (L&S)",BIOCORE 384,C5
96,"Biology, BA (L&S)",BIOCORE 485,C5
97,"Biology, BA (L&S)",ZOOLOGY/BIOLOGY  101,C3
97,"Biology, BA (L&S)",ZOOLOGY/BIOLOGY  102,C3
97,"Biology, BA (L&S)",BOTANY/BIOLOGY  130,C3
98,"Biology, BA (L&S)",BIOCHEM 501,C1
98,"Biology, BA (L&S)",BIOCHEM 508,C1
98,"Biology, BA (L&S)",BIOCORE 381 & BIOCORE 383,C1
98,"Biology, BA (L&S)",GENETICS 466,C1
98,"Biology, BA (L&S)",GENETICS 468,C1
98,"Biology, BA (L&S)",MICROBIO 470,C1
99,"Biology, BA (L&S)",AN SCI 336,C2
99,"Biology, BA (L&S)",AN SCI/DY SCI  362,C2
99,"Biology, BA (L&S)",AN SCI 366,C2
99,"Biology, BA (L&S)",BIOCHEM 501,C2
99,"Biology, BA (L&S)",BIOCHEM 507,C2
99,"Biology, BA (L&S)",BIOCHEM 508,C2
99,"Biology, BA (L&S)",BIOCHEM/NUTR SCI  510,C2
99,"Biology, BA (L&S)",BIOCHEM/NUTR SCI  560,C2
99,"Biology, BA (L&S)",BIOCHEM/M M & I  575,C2
99,"Biology, BA (L&S)",BIOCHEM 601,C2
99,"Biology, BA (L&S)",BIOCHEM/GENETICS/MICROBIO  612,C2
99,"Biology, BA (L&S)",BIOCHEM/GENETICS/MD GENET  620,C2
99,"Biology, BA (L&S)",BIOCHEM/BOTANY  621,C2
99,"Biology, BA (L&S)",BIOCHEM 625,C2
99,"Biology, BA (L&S)",BIOCHEM/GENETICS  631,C2
99,"Biology, BA (L&S)",BMOLCHEM/MICROBIO  668,C2
