Group ID,Major,Course,Credits Required
106,"Botany, BA",STAT 301,C1
106,"Botany, BA",STAT 324,C1
106,"Botany, BA",STAT 371,C1
107,"Botany, BA",CHEM 103 & CHEM 104,C1
107,"Botany, BA",CHEM 115 & CHEM 116,C1
107,"Botany, BA",CHEM 109,C1
108,"Botany, BA",CHEM 341,C1
108,"Botany, BA",CHEM 343,C1
109,"Botany, BA",PHYSICS 115,C1
109,"Botany, BA",PHYSICS 103,C1
109,"Botany, BA",PHYSICS 104,C1
109,"Botany, BA",PHYSICS 201,C1
109,"Botany, BA",PHYSICS 202,C1
109,"Botany, BA",PHYSICS 207,C1
109,"Botany, BA",PHYSICS 208,C1
109,"Botany, BA",PHYSICS 247,C1
109,"Botany, BA",PHYSICS 248,C1
109,"Botany, BA",PHYSICS 249,C1
110,"Botany, BA",BOTANY/BIOLOGY  130,C1
110,"Botany, BA",BOTANY/BIOLOGY/ZOOLOGY  151 & BOTANY/BIOLOGY/ZOOLOGY  152,C1
110,"Botany, BA",BIOCORE 381 & BIOCORE 382 & BIOCORE 383 & BIOCORE 384,C1
112,"Botany, BA",BIOCORE 485,C1
113,"Botany, BA",BOTANY 300,C1
113,"Botany, BA",BOTANY 500,C1
114,"Botany, BA",BOTANY/F&W ECOL  455,C1
114,"Botany, BA",BOTANY/F&W ECOL/ZOOLOGY  460,C1
115,"Botany, BA",BOTANY/ANTHRO/ZOOLOGY  410,C1
115,"Botany, BA",GENETICS 466,C1
115,"Botany, BA",PLANTSCI 338,C1
115,"Botany, BA",GENETICS 467,C1
115,"Botany, BA",GENETICS 468,C1
116,"Botany, BA",BOTANY 305,C1
116,"Botany, BA",BOTANY 330,C1
116,"Botany, BA",BOTANY/PL PATH  332,C1
116,"Botany, BA",BOTANY 400,C1
116,"Botany, BA",BOTANY 401,C1
117,"Botany, BA",BOTANY/GEOG  338,C1
117,"Botany, BA",BOTANY/F&W ECOL  402,C1
117,"Botany, BA",BOTANY 403,C1
117,"Botany, BA",BOTANY 422,C1
117,"Botany, BA",BOTANY/ZOOLOGY  450,C1
117,"Botany, BA",BOTANY/ENTOM/ZOOLOGY  473,C1
117,"Botany, BA",BOTANY/AMER IND/ANTHRO  474,C1
117,"Botany, BA",BOTANY/ENTOM/PL PATH  505,C1
117,"Botany, BA",BOTANY/ENVIR ST/F&W ECOL/ZOOLOGY  516,C1
117,"Botany, BA",BOTANY/PL PATH  563,C1
117,"Botany, BA",BOTANY/BIOCHEM  621,C1
117,"Botany, BA",AGROECOL 370,C1
117,"Botany, BA",BIOCHEM 501,C1
117,"Botany, BA",BIOCORE 486,C1
117,"Botany, BA",BIOCORE 587,C1
117,"Botany, BA",MICROBIO 303,C1
117,"Botany, BA",ZOOLOGY 570,C1
118,"Botany, BA",BOTANY 691 & BOTANY 692,C1
118,"Botany, BA",BOTANY 681 & BOTANY 682,C1
118,"Botany, BA",BOTANY 699,C1
