Group ID,Major,Course,Credits Required
119,"Cartography and Geographic Information Systems, BA",GEOG 101,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 104,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/ART HIST/ENVIR ST/HISTORY/LAND ARC  239,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 300,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 301,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 302,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/URB R PL  305,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 307,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/CHICLA/GEN&WS  308,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/INTL ST  311,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/INTL ST  315,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 318,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 340,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 342,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 355,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 358,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/AMER IND  410,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 501,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/URB R PL  503,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/GEN&WS  504,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/URB R PL  505,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 507,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 510,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 511,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 513,C1
119,"Cartography and Geographic Information Systems, BA",GEOG/GEN&WS  514,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 515,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 518,C1
119,"Cartography and Geographic Information Systems, BA",GEOG 566,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  139,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ART HIST/ENVIR ST/HISTORY/LAND ARC  239,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  309,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ATM OCN/ENVIR ST  332,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  333,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  337,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/BOTANY  338,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  339,C1
120,"Cartography and Geographic Information Systems, BA",GEOG 340,C1
120,"Cartography and Geographic Information Systems, BA",GEOG 344,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/AMER IND/ENVIR ST  345,C1
120,"Cartography and Geographic Information Systems, BA",GEOG 359,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/AMER IND  410,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/C&E SOC/ENVIR ST  434,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  439,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST/HISTORY  460,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/SOIL SCI  526,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  534,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  537,C1
120,"Cartography and Geographic Information Systems, BA",GEOG 538,C1
120,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  557,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  120,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST  127,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/GEOSCI  320,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/ATM OCN/ENVIR ST  322,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/ATM OCN/ENVIR ST  332,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/ATM OCN/ENVIR ST/GEOSCI  335,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/BOTANY  338,C1
121,"Cartography and Geographic Information Systems, BA",GEOG 342,C1
121,"Cartography and Geographic Information Systems, BA",GEOG 344,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/GEOSCI  420,C1
121,"Cartography and Geographic Information Systems, BA",GEOG 523,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/SOIL SCI  525,C1
121,"Cartography and Geographic Information Systems, BA",GEOG/SOIL SCI  526,C1
122,"Cartography and Geographic Information Systems, BA",GEOG 370,4
12,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST/F&W ECOL/G L E/GEOSCI/LAND ARC  371,C1
12,"Cartography and Geographic Information Systems, BA",GEOG 379,C1
10,"Cartography and Geographic Information Systems, BA",GEOG/CIV ENGR/ENVIR ST  377,4
11,"Cartography and Geographic Information Systems, BA",GEOG 378,4
123,"Cartography and Geographic Information Systems, BA",GEOG 560,C1
123,"Cartography and Geographic Information Systems, BA",STAT 240,C1
123,"Cartography and Geographic Information Systems, BA",STAT 301,C1
123,"Cartography and Geographic Information Systems, BA",STAT 324,C1
123,"Cartography and Geographic Information Systems, BA",STAT 371,C1
124,"Cartography and Geographic Information Systems, BA",MATH 112 & MATH 113,C1
124,"Cartography and Geographic Information Systems, BA",MATH 114,C1
125,"Cartography and Geographic Information Systems, BA",GEOG/ENVIR ST/LAND ARC/URB R PL  532,C2
125,"Cartography and Geographic Information Systems, BA",GEOG 572,C2
125,"Cartography and Geographic Information Systems, BA",GEOG 573,C2
125,"Cartography and Geographic Information Systems, BA",GEOG 574,C2
125,"Cartography and Geographic Information Systems, BA",GEOG 575,C2
125,"Cartography and Geographic Information Systems, BA",GEOG 576,C2
125,"Cartography and Geographic Information Systems, BA",GEOG 578,C2
125,"Cartography and Geographic Information Systems, BA",GEOG 579,C2
126,"Cartography and Geographic Information Systems, BA",GEOG 565,C1
126,"Cartography and Geographic Information Systems, BA",GEOG 681 & GEOG 682,C1
126,"Cartography and Geographic Information Systems, BA",GEOG 691 & GEOG 692,C1
