Group ID,Major,Course,Credits Required
127,"Chemistry, BA",MATH 222,
128,"Chemistry, BA",PHYSICS 207,
128,"Chemistry, BA",PHYSICS 201,
128,"Chemistry, BA",PHYSICS 247,
129,"Chemistry, BA",PHYSICS 208,
129,"Chemistry, BA",PHYSICS 202,
129,"Chemistry, BA",PHYSICS 248,
130,"Chemistry, BA",CHEM 104,
130,"Chemistry, BA",CHEM 109,
130,"Chemistry, BA",CHEM 115,
131,"Chemistry, BA",CHEM 329,
131,"Chemistry, BA",CHEM 116,
131,"Chemistry, BA",CHEM 327,
132,"Chemistry, BA",CHEM 311,
133,"Chemistry, BA",CHEM 343,
133,"Chemistry, BA",CHEM 345,
133,"Chemistry, BA",CHEM 344,
134,"Chemistry, BA",CHEM 561,
134,"Chemistry, BA",CHEM 665,
134,"Chemistry, BA",CBE 310,
134,"Chemistry, BA",M S & E 330,
135,"Chemistry, BA",CHEM 562,
136,"Chemistry, BA",CHEM 563,
136,"Chemistry, BA",CHEM 564,
137,"Chemistry, BA",CHEM 116,
137,"Chemistry, BA",CHEM/M S & E  421,
137,"Chemistry, BA",CHEM/CBE  505,
137,"Chemistry, BA",CHEM 509,
137,"Chemistry, BA",CHEM 511,
137,"Chemistry, BA",CHEM 524,
137,"Chemistry, BA",CHEM 547,
137,"Chemistry, BA",CHEM 555,
137,"Chemistry, BA",CHEM 575,
137,"Chemistry, BA",CHEM 605,
137,"Chemistry, BA",CHEM 629,
137,"Chemistry, BA",CHEM 654,
137,"Chemistry, BA",BIOCHEM 501,
137,"Chemistry, BA",BIOCHEM 507,
137,"Chemistry, BA",BIOCHEM 508,
137,"Chemistry, BA",BIOCHEM/NUTR SCI  510,
137,"Chemistry, BA",BIOCHEM 625,
137,"Chemistry, BA",CBE 440,
137,"Chemistry, BA",CBE 540,
137,"Chemistry, BA",CBE 547,
138,"Chemistry, BA",CHEM 346,
138,"Chemistry, BA",CHEM 512,
138,"Chemistry, BA",CHEM 524,
138,"Chemistry, BA",CHEM 681 & CHEM 682,
138,"Chemistry, BA",CHEM 691 & CHEM 692,
138,"Chemistry, BA",CHEM 699,
138,"Chemistry, BA",BIOCHEM 681 & BIOCHEM 682,
138,"Chemistry, BA",BIOCHEM 691 & BIOCHEM 692,
138,"Chemistry, BA",BIOCHEM 699,
138,"Chemistry, BA",CBE 599,
