Group ID,Major,Course,Credits Required
139,"Chicanx/e and Latinx/e Studies, BA",CHICLA 201,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/AFROAMER/AMER IND/ASIAN AM/FOLKLORE  102,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/HISTORY  151,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/HISTORY  152,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/HISTORY  153,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA 210,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/SPANISH  215,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/SPANISH  222,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/POLI SCI  231,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/GEN&WS/HISTORY  245,3
140,"Chicanx/e and Latinx/e Studies, BA",CHICLA/HISTORY/LACIS/POLI SCI  268,3
140,"Chicanx/e and Latinx/e Studies, BA",CURRIC 240,3
140,"Chicanx/e and Latinx/e Studies, BA",COUN PSY 225,3
140,"Chicanx/e and Latinx/e Studies, BA",COUN PSY 230,3
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA 301,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA 328,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/COM ARTS  347,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/HISTORY/LACIS/POLI SCI  355,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/SPANISH  364,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/ENGL  368,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/COM ARTS  419,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/HISTORY  435,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/ENGL  460,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/SPANISH  467,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/SPANISH  469,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA/SPANISH  478,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA 520,9
141,"Chicanx/e and Latinx/e Studies, BA",CHICLA 699,9
141,"Chicanx/e and Latinx/e Studies, BA",HISTORY/AFROAMER  347,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/POLI SCI  302,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/GEN&WS/GEOG  308,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA 315,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA 330,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/GEN&WS  332,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/GEN&WS  334,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/HISTORY/POLI SCI  422,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/LEGAL ST/SOC  440,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/LEGAL ST/SOC  443,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/SOC  470,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA/LAND ARC  475,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA 501,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA 530,9
142,"Chicanx/e and Latinx/e Studies, BA",CHICLA 699,9
142,"Chicanx/e and Latinx/e Studies, BA",POLI SCI 304,9
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/CURRIC  306,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/ED POL  310,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/CURRIC  321,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA 329,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/COUN PSY  331,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/ED POL/LACIS  342,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/CURRIC  354,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/COUN PSY  525,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA/COUN PSY  590,6
143,"Chicanx/e and Latinx/e Studies, BA",CHICLA 699,6
143,"Chicanx/e and Latinx/e Studies, BA",CURRIC 670,6
143,"Chicanx/e and Latinx/e Studies, BA",CURRIC 676,6
143,"Chicanx/e and Latinx/e Studies, BA",HDFS 474,6
