Group ID,Major,Course,Credits Required
141,"Chinese, BA",ASIALANG 101,4
142,"Chinese, BA",ASIALANG 102,4
143,"Chinese, BA",ASIALANG 201,4
144,"Chinese, BA",ASIALANG 202,4
145,"Chinese, BA",ASIALANG 301,4
146,"Chinese, BA",ASIALANG 302,9
146,"Chinese, BA",ASIALANG 311,9
146,"Chinese, BA",ASIALANG 312,9
146,"Chinese, BA",ASIALANG 378,9
146,"Chinese, BA",ASIALANG 379,9
146,"Chinese, BA",ASIALANG 454,9
146,"Chinese, BA",ASIALANG 457,9
146,"Chinese, BA",ASIALANG 475,9
147,"Chinese, BA",ASIAN/HISTORY  103,C1
147,"Chinese, BA",ASIAN/HISTORY/POLI SCI  255,C1
147,"Chinese, BA",HISTORY 145,C1
147,"Chinese, BA",LITTRANS 261,C1
148,"Chinese, BA",ASIAN/SOC  334,C3
148,"Chinese, BA",ASIAN/HISTORY  337,C3
148,"Chinese, BA",ASIAN/HISTORY  341,C3
148,"Chinese, BA",ASIAN/HISTORY  342,C3
148,"Chinese, BA",ASIAN 351,C3
148,"Chinese, BA",ASIAN 352,C3
148,"Chinese, BA",ASIAN/HISTORY  363,C3
148,"Chinese, BA",ASIAN 371,C3
148,"Chinese, BA",ASIAN 372,C3
148,"Chinese, BA",ASIAN 375,C3
148,"Chinese, BA",ASIAN 432,C3
148,"Chinese, BA",ART HIST 307,C3
148,"Chinese, BA",ART HIST 308,C3
148,"Chinese, BA",ED POL 245,C3
148,"Chinese, BA",HISTORY/INTL ST  332,C3
148,"Chinese, BA",HISTORY 336,C3
148,"Chinese, BA",HISTORY/ASIAN  337,C3
148,"Chinese, BA",POLI SCI 324,C3
148,"Chinese, BA",POLI SCI 328,C3
148,"Chinese, BA",POLI SCI 346,C3
148,"Chinese, BA",THEATRE 526,C3
149,"Chinese, BA",ASIAN 631,C1
149,"Chinese, BA",ASIAN 632,C1
149,"Chinese, BA",ASIAN 633,C1
149,"Chinese, BA",ASIAN 641,C1
149,"Chinese, BA",ASIAN 642,C1
149,"Chinese, BA",ASIAN 672,C1
149,"Chinese, BA",ASIAN 682,C1
149,"Chinese, BA",ASIAN 692,C1
149,"Chinese, BA",ASIAN 699,C1
