Group ID,Major,Course,Credits Required
150,"Classical Humanities, BA",GREEK 103 & GREEK 104,
151,"Classical Humanities, BA",LATIN 103 & LATIN 104,
152,"Classical Humanities, BA",LATIN 391,
153,"Classical Humanities, BA",HEBR-BIB 103 & HEBR-BIB 104,
154,"Classical Humanities, BA",HEBR-BIB 391,
155,"Classical Humanities, BA",CLASSICS/ART HIST  300,
155,"Classical Humanities, BA",CLASSICS/ART HIST  304,
155,"Classical Humanities, BA",CLASSICS 308,
155,"Classical Humanities, BA",CLASSICS 315,
155,"Classical Humanities, BA",CLASSICS 320,
155,"Classical Humanities, BA",CLASSICS 321,
155,"Classical Humanities, BA",CLASSICS 322,
155,"Classical Humanities, BA",CLASSICS/JEWISH/RELIG ST  323,
155,"Classical Humanities, BA",CLASSICS/HEBR-BIB/JEWISH/LITTRANS/RELIG ST  332,
155,"Classical Humanities, BA",CLASSICS/JEWISH/RELIG ST  335,
155,"Classical Humanities, BA",CLASSICS 340,
155,"Classical Humanities, BA",CLASSICS/GEN&WS  351,
155,"Classical Humanities, BA",CLASSICS/GEN&WS  361,
155,"Classical Humanities, BA",CLASSICS/HISTORY/POLI SCI  362,
155,"Classical Humanities, BA",CLASSICS 371,
155,"Classical Humanities, BA",CLASSICS 373,
155,"Classical Humanities, BA",CLASSICS 420,
155,"Classical Humanities, BA",CLASSICS 430,
155,"Classical Humanities, BA",CLASSICS/ENVIR ST  488,
155,"Classical Humanities, BA",CLASSICS/HISTORY/RELIG ST  517,
155,"Classical Humanities, BA",CLASSICS 523,
155,"Classical Humanities, BA",CLASSICS 681,
155,"Classical Humanities, BA",CLASSICS 691,
155,"Classical Humanities, BA",CLASSICS 699,
155,"Classical Humanities, BA",GREEK 305,
155,"Classical Humanities, BA",GREEK 306,
155,"Classical Humanities, BA",GREEK 401,
155,"Classical Humanities, BA",GREEK 505,
155,"Classical Humanities, BA",GREEK 510,
155,"Classical Humanities, BA",GREEK 511,
155,"Classical Humanities, BA",GREEK 512,
155,"Classical Humanities, BA",GREEK 520,
155,"Classical Humanities, BA",GREEK 521,
155,"Classical Humanities, BA",GREEK 530,
155,"Classical Humanities, BA",GREEK 532,
155,"Classical Humanities, BA",GREEK 541,
155,"Classical Humanities, BA",GREEK 551,
155,"Classical Humanities, BA",GREEK 560,
155,"Classical Humanities, BA",GREEK 571,
155,"Classical Humanities, BA",GREEK 681,
155,"Classical Humanities, BA",GREEK 691,
155,"Classical Humanities, BA",GREEK 699,
155,"Classical Humanities, BA",HEBR-BIB 323,
155,"Classical Humanities, BA",HEBR-BIB 324,
155,"Classical Humanities, BA",LATIN 305,
155,"Classical Humanities, BA",LATIN 306,
155,"Classical Humanities, BA",LATIN 401,
155,"Classical Humanities, BA",LATIN 505,
155,"Classical Humanities, BA",LATIN 515,
155,"Classical Humanities, BA",LATIN 519,
155,"Classical Humanities, BA",LATIN 520,
155,"Classical Humanities, BA",LATIN 523,
155,"Classical Humanities, BA",LATIN 524,
155,"Classical Humanities, BA",LATIN 539,
155,"Classical Humanities, BA",LATIN 549,
155,"Classical Humanities, BA",LATIN 559,
155,"Classical Humanities, BA",LATIN/MEDIEVAL  563,
155,"Classical Humanities, BA",LATIN 681,
155,"Classical Humanities, BA",LATIN 691,
155,"Classical Humanities, BA",LATIN 699,
155,"Classical Humanities, BA",ART HIST 301,
155,"Classical Humanities, BA",ART HIST 302,
155,"Classical Humanities, BA",ART HIST 310,
155,"Classical Humanities, BA",ART HIST 405,
155,"Classical Humanities, BA",ART HIST 505,
155,"Classical Humanities, BA",HISTORY/RELIG ST  208,
155,"Classical Humanities, BA",HISTORY 303,
155,"Classical Humanities, BA",HISTORY 307,
155,"Classical Humanities, BA",PHILOS 430,
155,"Classical Humanities, BA",PHILOS 454,
156,"Classical Humanities, BA",CLASSICS 100,
156,"Classical Humanities, BA",CLASSICS 101,
156,"Classical Humanities, BA",CLASSICS 102,
156,"Classical Humanities, BA",CLASSICS 103,
156,"Classical Humanities, BA",CLASSICS/HISTORY  110,
156,"Classical Humanities, BA",CLASSICS 150,
156,"Classical Humanities, BA",CLASSICS 205,
156,"Classical Humanities, BA",CLASSICS 206,
156,"Classical Humanities, BA",CLASSICS/JEWISH/LITTRANS/RELIG ST  227,
156,"Classical Humanities, BA",CLASSICS/JEWISH  241,
156,"Classical Humanities, BA",CLASSICS 270,
156,"Classical Humanities, BA",GREEK 103,
156,"Classical Humanities, BA",GREEK 104,
156,"Classical Humanities, BA",HEBR-BIB 103,
156,"Classical Humanities, BA",HEBR-BIB 104,
156,"Classical Humanities, BA",HEBR-BIB 391,
156,"Classical Humanities, BA",LATIN 103,
156,"Classical Humanities, BA",LATIN 104,
156,"Classical Humanities, BA",LATIN 391,
156,"Classical Humanities, BA",AN SCI 240,
156,"Classical Humanities, BA",ART HIST 201,
156,"Classical Humanities, BA",ILS 201,
156,"Classical Humanities, BA",ILS 203,
156,"Classical Humanities, BA",ILS 205,
157,"Classical Humanities, BA",CLASSICS 591,
157,"Classical Humanities, BA",CLASSICS 682,
157,"Classical Humanities, BA",CLASSICS 692,
157,"Classical Humanities, BA",GREEK 505,
157,"Classical Humanities, BA",GREEK 510,
157,"Classical Humanities, BA",GREEK 511,
157,"Classical Humanities, BA",GREEK 512,
157,"Classical Humanities, BA",GREEK 520,
157,"Classical Humanities, BA",GREEK 521,
157,"Classical Humanities, BA",GREEK 530,
157,"Classical Humanities, BA",GREEK 532,
157,"Classical Humanities, BA",GREEK 541,
157,"Classical Humanities, BA",GREEK 551,
157,"Classical Humanities, BA",GREEK 560,
157,"Classical Humanities, BA",GREEK 571,
157,"Classical Humanities, BA",GREEK 682,
157,"Classical Humanities, BA",GREEK 692,
157,"Classical Humanities, BA",LATIN 505,
157,"Classical Humanities, BA",LATIN 515,
157,"Classical Humanities, BA",LATIN 519,
157,"Classical Humanities, BA",LATIN 520,
157,"Classical Humanities, BA",LATIN 523,
157,"Classical Humanities, BA",LATIN 524,
157,"Classical Humanities, BA",LATIN 539,
157,"Classical Humanities, BA",LATIN 549,
157,"Classical Humanities, BA",LATIN 559,
157,"Classical Humanities, BA",LATIN/MEDIEVAL  563,
