Group ID,Major,Course,Credits Required
158,"Classics, BA",GREEK 305,3
157,"Classics, BA",GREEK 306,3
156,"Classics, BA",LATIN 305,4
155,"Classics, BA",LATIN 306,4
154,"Classics, BA",LATIN 401,3
159,"Classics, BA",LATIN 505,C2
159,"Classics, BA",LATIN 515,C2
159,"Classics, BA",LATIN 519,C2
159,"Classics, BA",LATIN 520,C2
159,"Classics, BA",LATIN 523,C2
159,"Classics, BA",LATIN 524,C2
159,"Classics, BA",LATIN 539,C2
159,"Classics, BA",LATIN 549,C2
159,"Classics, BA",LATIN 559,C2
159,"Classics, BA",LATIN/MEDIEVAL  563,C2
153,"Classics, BA",LATIN 305,4
152,"Classics, BA",LATIN 306,4
151,"Classics, BA",GREEK 305,3
150,"Classics, BA",GREEK 306,3
149,"Classics, BA",GREEK 401,3
164,"Classics, BA",GREEK 505,C2
164,"Classics, BA",GREEK 510,C2
164,"Classics, BA",GREEK 511,C2
164,"Classics, BA",GREEK 512,C2
164,"Classics, BA",GREEK 520,C2
164,"Classics, BA",GREEK 521,C2
164,"Classics, BA",GREEK 530,C2
164,"Classics, BA",GREEK 532,C2
164,"Classics, BA",GREEK 551,C2
164,"Classics, BA",GREEK 560,C2
