Group ID,Major,Course,Credits Required
162,"Communication Sciences and Disorders, BA",CS&D 120,
162,"Communication Sciences and Disorders, BA",CS&D 201,
162,"Communication Sciences and Disorders, BA",CS&D 202,
162,"Communication Sciences and Disorders, BA",CS&D 210,
162,"Communication Sciences and Disorders, BA",CS&D 240,
162,"Communication Sciences and Disorders, BA",CS&D 303,
162,"Communication Sciences and Disorders, BA",CS&D 315,
162,"Communication Sciences and Disorders, BA",CS&D 318,
162,"Communication Sciences and Disorders, BA",CS&D 320,
162,"Communication Sciences and Disorders, BA",CS&D 425,
162,"Communication Sciences and Disorders, BA",CS&D 440,
163,"Communication Sciences and Disorders, BA",PSYCH 202,
163,"Communication Sciences and Disorders, BA",HDFS 262,
163,"Communication Sciences and Disorders, BA",HDFS 263,
164,"Communication Sciences and Disorders, BA",STAT 301,
164,"Communication Sciences and Disorders, BA",STAT 311,
164,"Communication Sciences and Disorders, BA",STAT 371,
164,"Communication Sciences and Disorders, BA",PSYCH 210,
164,"Communication Sciences and Disorders, BA",SOC/C&E SOC  360,
165,"Communication Sciences and Disorders, BA",LINGUIS 101,
165,"Communication Sciences and Disorders, BA",LINGUIS/ANTHRO/FOLKLORE/INTL ST  211,
165,"Communication Sciences and Disorders, BA",LINGUIS 303,
165,"Communication Sciences and Disorders, BA",LINGUIS 237,
165,"Communication Sciences and Disorders, BA",LINGUIS/AMER IND  371,
165,"Communication Sciences and Disorders, BA",LINGUIS/ANTHRO  430,
165,"Communication Sciences and Disorders, BA",ENGL 214,
165,"Communication Sciences and Disorders, BA",ENGL 314,
165,"Communication Sciences and Disorders, BA",ENGL 318,
165,"Communication Sciences and Disorders, BA",SPANISH 321,
165,"Communication Sciences and Disorders, BA",SPANISH 331,
165,"Communication Sciences and Disorders, BA",SPANISH 327,
166,"Communication Sciences and Disorders, BA",ANTHRO 105,
166,"Communication Sciences and Disorders, BA",ANTHRO/BOTANY/ZOOLOGY  410,
166,"Communication Sciences and Disorders, BA",BIOCHEM 104,
166,"Communication Sciences and Disorders, BA",BIOCORE 381,
166,"Communication Sciences and Disorders, BA",BIOLOGY/BOTANY/ZOOLOGY  151,
166,"Communication Sciences and Disorders, BA",ZOOLOGY/BIOLOGY  101,
167,"Communication Sciences and Disorders, BA",BIOCHEM 104,
167,"Communication Sciences and Disorders, BA",CHEM 103,
167,"Communication Sciences and Disorders, BA",CHEM 108,
167,"Communication Sciences and Disorders, BA",CHEM 109,
167,"Communication Sciences and Disorders, BA",PHYSICS 103,
167,"Communication Sciences and Disorders, BA",PHYSICS 107,
167,"Communication Sciences and Disorders, BA",PHYSICS 109,
168,"Communication Sciences and Disorders, BA",CS&D 110,
168,"Communication Sciences and Disorders, BA",CS&D 371,
168,"Communication Sciences and Disorders, BA",CS&D 424,
