Group ID,Major,Course,Credits Required
189,"Data Science, BA",MATH 221,C1
189,"Data Science, BA",MATH 217,C1
191,"Data Science, BA",MATH 222,4
192,"Data Science, BA",STAT 240,4
193,"Data Science, BA",STAT 340,4
194,"Data Science, BA",COMP SCI 220,C1
194,"Data Science, BA",COMP SCI 300,C1
196,"Data Science, BA",COMP SCI 320,4
197,"Data Science, BA",L I S 461,C1
197,"Data Science, BA",E C E/I SY E  570,C1
197,"Data Science, BA",PHILOS 244,C1
199,"Data Science, BA",MATH 320,C1
199,"Data Science, BA",MATH 340,C1
199,"Data Science, BA",MATH 341,C1
199,"Data Science, BA",MATH 345,C1
199,"Data Science, BA",MATH 375,C1
200,"Data Science, BA",COMP SCI 400,C1
200,"Data Science, BA",COMP SCI 412,C1
200,"Data Science, BA",COMP SCI/MATH  513,C1
200,"Data Science, BA",COMP SCI/MATH  514,C1
200,"Data Science, BA",COMP SCI/E C E/I SY E  524,C1
200,"Data Science, BA",COMP SCI 544,C1
200,"Data Science, BA",COMP SCI 557,C1
200,"Data Science, BA",COMP SCI 564,C1
200,"Data Science, BA",COMP SCI 565,C1
200,"Data Science, BA",COMP SCI/B M I  576,C1
200,"Data Science, BA",GEOG 573,C1
200,"Data Science, BA",GEOG 574,C1
200,"Data Science, BA",MATH 444,C1
200,"Data Science, BA",STAT/COMP SCI  471,C1
201,"Data Science, BA",ACT SCI 657,C1
201,"Data Science, BA",CIV ENGR 516,C1
201,"Data Science, BA",ECON 400,C1
201,"Data Science, BA",ECON 410,C1
201,"Data Science, BA",ECON 460,C1
201,"Data Science, BA",GEOG 560,C1
201,"Data Science, BA",GEOG 579,C1
201,"Data Science, BA",I SY E 575,C1
201,"Data Science, BA",MATH 531,C1
201,"Data Science, BA",MATH/I SY E/OTM/STAT  632,C1
201,"Data Science, BA",MATH 635,C1
201,"Data Science, BA",STAT/MATH  309,C1
201,"Data Science, BA",STAT 311,C1
201,"Data Science, BA",MATH/STAT  431,C1
201,"Data Science, BA",STAT/MATH  310,C1
201,"Data Science, BA",STAT 312,C1
201,"Data Science, BA",STAT 349,C1
201,"Data Science, BA",STAT 351,C1
201,"Data Science, BA",STAT 421,C1
201,"Data Science, BA",STAT/M E  424,C1
201,"Data Science, BA",STAT 436,C1
201,"Data Science, BA",STAT 443,C1
201,"Data Science, BA",STAT 456,C1
201,"Data Science, BA",STAT 461,C1
201,"Data Science, BA",STAT 575,C1
202,"Data Science, BA",BSE 405,C1
202,"Data Science, BA",CHEM 361,C1
202,"Data Science, BA",COMP SCI/E C E/M E  532,C1
202,"Data Science, BA",COMP SCI/E C E/M E  539,C1
202,"Data Science, BA",COMP SCI 540,C1
202,"Data Science, BA",I SY E 521,C1
202,"Data Science, BA",MATH 535,C1
202,"Data Science, BA",MATH 616,C1
202,"Data Science, BA",PHYSICS 361,C1
202,"Data Science, BA",STAT 451,C1
202,"Data Science, BA",STAT 453,C1
203,"Data Science, BA",ACT SCI 655,C2
203,"Data Science, BA",COMP SCI/I SY E/MATH  425,C2
203,"Data Science, BA",COMP SCI/I SY E/MATH/STAT  525,C2
203,"Data Science, BA",COMP SCI/E C E  533,C2
203,"Data Science, BA",COMP SCI 541,C2
203,"Data Science, BA",COMP SCI 559,C2
203,"Data Science, BA",COMP SCI/B M I  567,C2
203,"Data Science, BA",COMP SCI 577,C2
203,"Data Science, BA",E C E 203,C2
203,"Data Science, BA",ECON 315,C2
203,"Data Science, BA",ECON 570,C2
203,"Data Science, BA",ECON 695,C2
203,"Data Science, BA",F&W ECOL 395,C2
203,"Data Science, BA",F&W ECOL 458,C2
203,"Data Science, BA",GEN BUS 317,C2
203,"Data Science, BA",GEOG 378,C2
203,"Data Science, BA",GEOG 572,C2
203,"Data Science, BA",GEOG 575,C2
203,"Data Science, BA",INFO SYS 423,C2
203,"Data Science, BA",I SY E 323,C2
203,"Data Science, BA",I SY E 412,C2
203,"Data Science, BA",I SY E/M E  512,C2
203,"Data Science, BA",I SY E 612,C2
203,"Data Science, BA",L I S 407,C2
203,"Data Science, BA",L I S 440,C2
203,"Data Science, BA",L I S 464,C2
203,"Data Science, BA",L I S 501,C2
203,"Data Science, BA",LSC 460,C2
203,"Data Science, BA",LSC 660,C2
203,"Data Science, BA",MATH 331,C2
203,"Data Science, BA",SOC 351,C2
203,"Data Science, BA",SOC/C&E SOC  618,C2
203,"Data Science, BA",SOC/C&E SOC  693,C2
203,"Data Science, BA",SOIL SCI 585,C2
203,"Data Science, BA",STAT 405,C2
203,"Data Science, BA",STAT 433,C2
