Group ID,Major,Course,Credits Required
204,"Economics, BA",MATH 221, C1
204,"Economics, BA",MATH 171 & MATH 217,C1
204,"Economics, BA",MATH 211 & MATH 213,C1
204,"Economics, BA",MATH 211 & ECON 205,C1
205,"Economics, BA",ECON 310,C1
205,"Economics, BA",ECON 400,C1
205,"Economics, BA",ECON 410,C1
205,"Economics, BA",MATH/STAT  309,C1
205,"Economics, BA",MATH/STAT  431,C1
205,"Economics, BA",STAT 311,C1
205,"Economics, BA",STAT 324,C1
205,"Economics, BA",STAT 340,C1
206,"Economics, BA",ECON 101 & ECON 102,C1
206,"Economics, BA",ECON 111,C1
207,"Economics, BA",ECON 301,C1
207,"Economics, BA",ECON 311,C1
208,"Economics, BA",ECON 302,C1
208,"Economics, BA",ECON 312,C1
209,"Economics, BA",ECON 400,C2
209,"Economics, BA",ECON 409,C2
209,"Economics, BA",ECON 410,C2
209,"Economics, BA",ECON 435,C2
209,"Economics, BA",ECON 441,C2
209,"Economics, BA",ECON 442,C2
209,"Economics, BA",ECON 448,C2
209,"Economics, BA",ECON 450,C2
209,"Economics, BA",ECON 455,C2
209,"Economics, BA",ECON 458,C2
209,"Economics, BA",ECON 460,C2
209,"Economics, BA",ECON 461,C2
209,"Economics, BA",ECON 464,C2
209,"Economics, BA",ECON 467,C2
209,"Economics, BA",ECON 468,C2
209,"Economics, BA",ECON 475,C2
209,"Economics, BA",ECON/FINANCE  503,C2
209,"Economics, BA",ECON 521,C2
209,"Economics, BA",ECON 522,C2
209,"Economics, BA",ECON/R M I  530,C2
209,"Economics, BA",ECON 535,C2
209,"Economics, BA",ECON/POP HLTH/PUB AFFR  548,C2
209,"Economics, BA",ECON 570,C2
209,"Economics, BA",ECON 580,C2
209,"Economics, BA",ECON 621,C2
209,"Economics, BA",ECON 623,C2
209,"Economics, BA",ECON 661,C2
209,"Economics, BA",ECON 664,C2
209,"Economics, BA",ECON 666,C2
209,"Economics, BA",ECON 690,C2
209,"Economics, BA",ECON 695,C2
210,"Economics, BA",ECON/FINANCE  300,6-14
210,"Economics, BA",ECON/HIST SCI  305,6-14
210,"Economics, BA",ECON/A A E/REAL EST/URB R PL  306,6-14
210,"Economics, BA",ECON 309,6-14
210,"Economics, BA",ECON 315,6-14
210,"Economics, BA",ECON/FINANCE  320,6-14
210,"Economics, BA",ECON 321,6-14
210,"Economics, BA",ECON 325,6-14
210,"Economics, BA",ECON 330,6-14
210,"Economics, BA",ECON 340,6-14
210,"Economics, BA",ECON/A A E/ENVIR ST  343,6-14
210,"Economics, BA",ECON 350,6-14
210,"Economics, BA",ECON 355,6-14
210,"Economics, BA",ECON 370,6-14
210,"Economics, BA",ECON/A A E  371,6-14
210,"Economics, BA",ECON 390,6-14
210,"Economics, BA",ECON/REAL EST/URB R PL  420,6-14
210,"Economics, BA",ECON/A A E  421,6-14
210,"Economics, BA",ECON/ENVIR ST/POLI SCI/URB R PL  449,6-14
210,"Economics, BA",ECON/A A E/INTL BUS  462,6-14
210,"Economics, BA",ECON 465,6-14
210,"Economics, BA",ECON/HISTORY  466,6-14
210,"Economics, BA",ECON/A A E  473,6-14
210,"Economics, BA",ECON/A A E  474,6-14
210,"Economics, BA",ECON/A A E  477,6-14
210,"Economics, BA",ECON/PHILOS  524,6-14
210,"Economics, BA",ECON/A A E  526,6-14
210,"Economics, BA",ECON/A A E/F&W ECOL  531,6-14
210,"Economics, BA",ECON/A A E/ENVIR ST/URB R PL  671,6-14
