Group ID,Major,Course,Credits Required
211,"English, BA",ENGL 241,C2
211,"English, BA",ENGL 242,C2
212,"English, BA",ENGL/LITTRANS  223,C1
212,"English, BA",ENGL 243,C1
212,"English, BA",ENGL/GEN&WS  248,C1
212,"English, BA",ENGL/ASIAN AM  270,C1
212,"English, BA",ENGL 361,C1
212,"English, BA",ENGL/CHICLA  368,C1
212,"English, BA",ENGL 374,C1
212,"English, BA",ENGL 455,C1
212,"English, BA",ENGL 456,C1
212,"English, BA",ENGL 457,C1
212,"English, BA",ENGL 458,C1
212,"English, BA",ENGL 459,C1
212,"English, BA",ENGL 461,C1
212,"English, BA",ENGL/ASIAN AM/GEN&WS  463,C1
212,"English, BA",ENGL/ASIAN AM/GEN&WS  464,C1
212,"English, BA",ENGL/ASIAN AM  465,C1
212,"English, BA",ENGL 474,C1
212,"English, BA",ENGL/JEWISH  539,C1
212,"English, BA",ENGL/AFROAMER  672,C1
213,"English, BA",ENGL 220,C1
213,"English, BA",ENGL 431,C1
213,"English, BA",ENGL 432,C1
214,"English, BA",ENGL 328,C1
214,"English, BA",ENGL 334,C1
214,"English, BA",ENGL 335,C1
214,"English, BA",ENGL 336,C1
214,"English, BA",ENGL/HISTORY/RELIG ST  360,C1
214,"English, BA",ENGL 422,C1
214,"English, BA",ENGL/MEDIEVAL  423,C1
214,"English, BA",ENGL/MEDIEVAL  424,C1
214,"English, BA",ENGL/MEDIEVAL  425,C1
214,"English, BA",ENGL/MEDIEVAL  426,C1
214,"English, BA",ENGL/MEDIEVAL  427,C1
214,"English, BA",ENGL 430,C1
214,"English, BA",ENGL 433,C1
214,"English, BA",ENGL/RELIG ST  434,C1
214,"English, BA",ENGL 438,C1
214,"English, BA",ENGL/MEDIEVAL  520,C1
214,"English, BA",ENGL/MEDIEVAL  521,C1
214,"English, BA",ENGL 543,C1
214,"English, BA",ENGL 546,C1
215,"English, BA",ENGL 245,3
216,"English, BA",ENGL 204,C1
216,"English, BA",ENGL 214,C1
216,"English, BA",ENGL 304,C1
216,"English, BA",ENGL 400,C1
216,"English, BA",ENGL/GEN&WS  401,C1
216,"English, BA",ENGL 403,C1
216,"English, BA",ENGL 505,C1

