Group ID,Major,Course,Credits Required
218,"Environmental Sciences, BA (L&S)",MATH 221,C1
218,"Environmental Sciences, BA (L&S)",MATH 171 & MATH 217,C1
218,"Environmental Sciences, BA (L&S)",MATH 211,C1
219,"Environmental Sciences, BA (L&S)",STAT 240,C1
219,"Environmental Sciences, BA (L&S)",STAT 324,C1
219,"Environmental Sciences, BA (L&S)",STAT 371,C1
220,"Environmental Sciences, BA (L&S)",CHEM 103 & CHEM 104,C1
220,"Environmental Sciences, BA (L&S)",CHEM 109,C1
220,"Environmental Sciences, BA (L&S)",CHEM 115 & CHEM 116,C1
221,"Environmental Sciences, BA (L&S)",CHEM 341,C1
221,"Environmental Sciences, BA (L&S)",CHEM 343,C1
222,"Environmental Sciences, BA (L&S)",BIOLOGY/BOTANY/ZOOLOGY  151 & BIOLOGY/BOTANY/ZOOLOGY  152,C1
222,"Environmental Sciences, BA (L&S)",BOTANY/BIOLOGY  130 & ZOOLOGY/BIOLOGY  101 & ZOOLOGY/BIOLOGY  102,C1
222,"Environmental Sciences, BA (L&S)",BIOCORE 381 & BIOCORE 382 & BIOCORE 383 & BIOCORE 384,C1
223,"Environmental Sciences, BA (L&S)",PHYSICS 207,C1
223,"Environmental Sciences, BA (L&S)",PHYSICS 201,C1
223,"Environmental Sciences, BA (L&S)",PHYSICS 103,C1
224,"Environmental Sciences, BA (L&S)",GEOSCI/ENVIR ST  106,C1
224,"Environmental Sciences, BA (L&S)",SOIL SCI/ENVIR ST/GEOG  230,C1
224,"Environmental Sciences, BA (L&S)",SOIL SCI 250,C1
225,"Environmental Sciences, BA (L&S)",AGROECOL 370,C1
225,"Environmental Sciences, BA (L&S)",BOTANY/F&W ECOL  455,C1
225,"Environmental Sciences, BA (L&S)",BOTANY/F&W ECOL/ZOOLOGY  460,C1
225,"Environmental Sciences, BA (L&S)",DY SCI 471,C1
225,"Environmental Sciences, BA (L&S)",ENTOM 450,C1
225,"Environmental Sciences, BA (L&S)",ENTOM/BOTANY/ZOOLOGY  473,C1
225,"Environmental Sciences, BA (L&S)",ENTOM 490,C1
225,"Environmental Sciences, BA (L&S)",ENVIR ST/ZOOLOGY  510,C1
225,"Environmental Sciences, BA (L&S)",ENVIR ST/ZOOLOGY  511,C1
225,"Environmental Sciences, BA (L&S)",F&W ECOL/ENVIR ST/ZOOLOGY  360,C1
225,"Environmental Sciences, BA (L&S)",F&W ECOL 410,C1
225,"Environmental Sciences, BA (L&S)",F&W ECOL/AN SCI/ZOOLOGY  520,C1
225,"Environmental Sciences, BA (L&S)",F&W ECOL/AN SCI/ZOOLOGY  521,C1
225,"Environmental Sciences, BA (L&S)",F&W ECOL 550,C1
225,"Environmental Sciences, BA (L&S)",F&W ECOL 551,C1
225,"Environmental Sciences, BA (L&S)",F&W ECOL/LAND ARC/ZOOLOGY  565,C1
225,"Environmental Sciences, BA (L&S)",LAND ARC/ENVIR ST  361,C1
225,"Environmental Sciences, BA (L&S)",LAND ARC/ENVIR ST  581,C1
225,"Environmental Sciences, BA (L&S)",PLANTSCI 300,C1
225,"Environmental Sciences, BA (L&S)",PLANTSCI 334,C1
225,"Environmental Sciences, BA (L&S)",PLANTSCI 335,C1
225,"Environmental Sciences, BA (L&S)",SOIL SCI 323,C1
225,"Environmental Sciences, BA (L&S)",ZOOLOGY 304,C1
225,"Environmental Sciences, BA (L&S)",ZOOLOGY/ENVIR ST  315,C1
225,"Environmental Sciences, BA (L&S)",ZOOLOGY 316,C1
226,"Environmental Sciences, BA (L&S)",ATM OCN 310,C1
226,"Environmental Sciences, BA (L&S)",ATM OCN/ENVIR ST/GEOG  322,C1
