Group ID,Major,Course,Credits Required
237,Environmental Studies Major,ENVIR ST 113,C1
237,Environmental Studies Major,ENVIR ST/HIST SCI/HISTORY  125,C1
237,Environmental Studies Major,ENVIR ST/ART HIST/GEOG/HISTORY/LAND ARC  239,C1
237,Environmental Studies Major,ENVIR ST/RELIG ST  270,C1
237,Environmental Studies Major,HISTORY/ENVIR ST/GEOG  460,C1
237,Environmental Studies Major,ENVIR ST/HISTORY  465,C1
237,Environmental Studies Major,ENVIR ST/CLASSICS  488,C1
238,Environmental Studies Major,ENVIR ST 112,C1
238,Environmental Studies Major,ENVIR ST/GEOG  139,C1
238,Environmental Studies Major,ENVIR ST/A A E  244,C1
238,Environmental Studies Major,ENVIR ST/GEOG  339,C1
238,Environmental Studies Major,C&E SOC/SOC  140,C1
238,Environmental Studies Major,C&E SOC/F&W ECOL/SOC  248,C1
239,Environmental Studies Major,ENVIR ST/GEOSCI  106,C1
239,Environmental Studies Major,ENVIR ST/GEOG  120,C1
239,Environmental Studies Major,ENVIR ST/ILS  126,C1
239,Environmental Studies Major,ENVIR ST/GEOG  127,C1
239,Environmental Studies Major,ENVIR ST/GEOG/SOIL SCI  230,C1
239,Environmental Studies Major,ENVIR ST/ILS  255,C1
239,Environmental Studies Major,ENVIR ST/ATM OCN/GEOG  332,C1
239,Environmental Studies Major,ENVIR ST/ATM OCN/GEOG/GEOSCI  335,C1
239,Environmental Studies Major,ATM OCN 100,C1
239,Environmental Studies Major,ATM OCN 101,C1
239,Environmental Studies Major,ATM OCN/SOIL SCI  132,C1
239,Environmental Studies Major,SOIL SCI 301,C1
239,Environmental Studies Major,PHYSICS 115,C1
240,Environmental Studies Major,ENVIR ST 251,C1
240,Environmental Studies Major,ENVIR ST/BOTANY/ZOOLOGY  260,C1
240,Environmental Studies Major,ENVIR ST 413,C1
240,Environmental Studies Major,BOTANY 240,C1
240,Environmental Studies Major,BOTANY/F&W ECOL/ZOOLOGY  460,C1
240,Environmental Studies Major,GEOSCI 110,C1
240,Environmental Studies Major,F&W ECOL 401,C1
240,Environmental Studies Major,F&W ECOL 550,C1
241,Environmental Studies Major,ENVIR ST/F&W ECOL  100,C5
241,Environmental Studies Major,ENVIR ST/ENTOM  201,C5
241,Environmental Studies Major,ENVIR ST 251,C5
241,Environmental Studies Major,ENVIR ST/BOTANY/ZOOLOGY  260,C5
241,Environmental Studies Major,ENVIR ST/F&W ECOL/ZOOLOGY  360,C5
241,Environmental Studies Major,ENVIR ST/LAND ARC  361,C5
241,Environmental Studies Major,ENVIR ST 375,C5
241,Environmental Studies Major,ENVIR ST 413,C5
241,Environmental Studies Major,ENVIR ST/C&E SOC/GEOG  434,C5
241,Environmental Studies Major,ENVIR ST/BOTANY/F&W ECOL/ZOOLOGY  516,C5
241,Environmental Studies Major,ENVIR ST 613,C5
241,Environmental Studies Major,AGROECOL 370,C5
241,Environmental Studies Major,AN SCI/F&W ECOL/ZOOLOGY  520,C5
241,Environmental Studies Major,AN SCI/F&W ECOL/ZOOLOGY  521,C5
241,Environmental Studies Major,ANTHRO/BOTANY/ZOOLOGY  410,C5
241,Environmental Studies Major,ATM OCN/PLANTSCI  532,C5
241,Environmental Studies Major,BIOCORE 181,C5
241,Environmental Studies Major,BOTANY 240,C5
241,Environmental Studies Major,BOTANY/GEOG  338,C5
241,Environmental Studies Major,BOTANY 401,C5
241,Environmental Studies Major,BOTANY/F&W ECOL  402,C5
241,Environmental Studies Major,BOTANY 422,C5
241,Environmental Studies Major,BOTANY/ZOOLOGY  450,C5
241,Environmental Studies Major,BOTANY/F&W ECOL  455,C5
241,Environmental Studies Major,BOTANY/F&W ECOL/ZOOLOGY  460,C5
241,Environmental Studies Major,BOTANY/F&W ECOL/ZOOLOGY  672,C5
241,Environmental Studies Major,ENTOM/ZOOLOGY  302,C5
241,Environmental Studies Major,ENTOM 490,C5
241,Environmental Studies Major,F&W ECOL 110,C5
241,Environmental Studies Major,F&W ECOL 401,C5
241,Environmental Studies Major,F&W ECOL 448,C5
241,Environmental Studies Major,F&W ECOL/SURG SCI  548,C5
241,Environmental Studies Major,F&W ECOL 550,C5
241,Environmental Studies Major,F&W ECOL 551,C5
241,Environmental Studies Major,F&W ECOL/ZOOLOGY  660,C5
241,Environmental Studies Major,GEOG 538,C5
241,Environmental Studies Major,GEOSCI 110,C5
241,Environmental Studies Major,ENVIR ST/ATM OCN/GEOSCI  102,C5
241,Environmental Studies Major,ENVIR ST/ATM OCN  171,C5
241,Environmental Studies Major,ENVIR ST/ATM OCN/GEOG  322,C5
241,Environmental Studies Major,ENVIR ST/ATM OCN/GEOG  332,C5
241,Environmental Studies Major,ENVIR ST/ATM OCN/GEOG/GEOSCI  335,C5
241,Environmental Studies Major,ENVIR ST 349,C5
241,Environmental Studies Major,ENVIR ST/ATM OCN  355,C5
241,Environmental Studies Major,ENVIR ST/ATM OCN  520,C5
241,Environmental Studies Major,A A E 246,C5
241,Environmental Studies Major,ATM OCN 100,C5
241,Environmental Studies Major,ATM OCN 101,C5
241,Environmental Studies Major,ATM OCN 425,C5
