Group ID,Major,Course,Credits Required
255,"French, BA",FRENCH 228,3
255,"French, BA",FRENCH 271,3
256,"French, BA",FRENCH 321,C1
256,"French, BA",FRENCH 322,C1
256,"French, BA",FRENCH 347,C1
256,"French, BA",FRENCH 348,C1
256,"French, BA",FRENCH 361,C1
256,"French, BA",FRENCH 362,C1
257,"French, BA",FRENCH 211,18
257,"French, BA",FRENCH/AFRICAN  216,18
257,"French, BA",FRENCH 248,18
257,"French, BA",FRENCH/GEN&WS  285,18
257,"French, BA",FRENCH 288,18
257,"French, BA",FRENCH 298,18
257,"French, BA",FRENCH 299,18
257,"French, BA",FRENCH 301,18
257,"French, BA",FRENCH 302,18
257,"French, BA",FRENCH 311,18
257,"French, BA",FRENCH 312,18
257,"French, BA",FRENCH/INTL BUS  313,18
257,"French, BA",FRENCH/INTL BUS  314,18
257,"French, BA",FRENCH 316,18
257,"French, BA",FRENCH 321,18
257,"French, BA",FRENCH 322,18
257,"French, BA",FRENCH 325,18
257,"French, BA",FRENCH 345,18
257,"French, BA",FRENCH 347,18
257,"French, BA",FRENCH 348,18
257,"French, BA",FRENCH 350,18
257,"French, BA",FRENCH 361,18
257,"French, BA",FRENCH 362,18
257,"French, BA",FRENCH 420,18
257,"French, BA",FRENCH 430,18
257,"French, BA",FRENCH 431,18
257,"French, BA",FRENCH/AFRICAN  440,18
257,"French, BA",FRENCH 461,18
257,"French, BA",FRENCH 462,18
257,"French, BA",FRENCH 464,18
257,"French, BA",FRENCH 465,18
257,"French, BA",FRENCH 467,18
257,"French, BA",FRENCH 567,18
257,"French, BA",FRENCH 568,18
257,"French, BA",FRENCH 569,18
257,"French, BA",FRENCH 590,18
257,"French, BA",FRENCH 630,18
257,"French, BA",FRENCH 631,18
257,"French, BA",FRENCH 639,18
257,"French, BA",FRENCH 647,18
257,"French, BA",FRENCH 665,18
257,"French, BA",FRENCH 672,18
257,"French, BA",FRENCH 681,18
257,"French, BA",FRENCH 682,18
257,"French, BA",FRENCH 691,18
257,"French, BA",FRENCH 692,18
257,"French, BA",FRENCH 698,18
257,"French, BA",FRENCH 699,18
257,"French, BA",LITTRANS 209,18
257,"French, BA",LITTRANS 249,18
257,"French, BA",LITTRANS 302,18
257,"French, BA",LITTRANS 303,18
