Group ID,Major,Course,Credits Required
257,"Gender and Women's Studies, BA",GEN&WS 101,C1
257,"Gender and Women's Studies, BA",GEN&WS 102,C1
258,"Gender and Women's Studies, BA",GEN&WS 103,3
259,"Gender and Women's Studies, BA",GEN&WS 104,C1
259,"Gender and Women's Studies, BA",GEN&WS 523,C1
259,"Gender and Women's Studies, BA",GEN&WS 524,C1
259,"Gender and Women's Studies, BA",GEN&WS 525,C1
259,"Gender and Women's Studies, BA",GEN&WS 527,C1
259,"Gender and Women's Studies, BA",GEN&WS 528,C1
259,"Gender and Women's Studies, BA",GEN&WS 529,C1
259,"Gender and Women's Studies, BA",GEN&WS 530,C1
259,"Gender and Women's Studies, BA",GEN&WS/HIST SCI/MED HIST  531,C1
259,"Gender and Women's Studies, BA",GEN&WS/HIST SCI/MED HIST  532,C1
259,"Gender and Women's Studies, BA",GEN&WS 533,C1
259,"Gender and Women's Studies, BA",GEN&WS 534,C1
259,"Gender and Women's Studies, BA",GEN&WS/INTL ST  535,C1
259,"Gender and Women's Studies, BA",GEN&WS 536,C1
259,"Gender and Women's Studies, BA",GEN&WS/HIST SCI  537,C1
259,"Gender and Women's Studies, BA",GEN&WS 538,C1
259,"Gender and Women's Studies, BA",GEN&WS 539,C1
260,"Gender and Women's Studies, BA",GEN&WS 105,C1
260,"Gender and Women's Studies, BA",GEN&WS/HISTORY  134,C1
260,"Gender and Women's Studies, BA",GEN&WS/SOC  200,C1
260,"Gender and Women's Studies, BA",GEN&WS/LITTRANS  205,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  221,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  222,C1
260,"Gender and Women's Studies, BA",GEN&WS 240,C1
260,"Gender and Women's Studies, BA",GEN&WS/ENGL  248,C1
260,"Gender and Women's Studies, BA",GEN&WS/LITTRANS  270,C1
260,"Gender and Women's Studies, BA",FRENCH/GEN&WS  285,C1
260,"Gender and Women's Studies, BA",GEN&WS/RELIG ST  305,C1
260,"Gender and Women's Studies, BA",GEN&WS 310,C1
260,"Gender and Women's Studies, BA",GEN&WS 319,C1
260,"Gender and Women's Studies, BA",GEN&WS/ASIAN AM  321,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  324,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  326,C1
260,"Gender and Women's Studies, BA",GEN&WS 330,C1
260,"Gender and Women's Studies, BA",GEN&WS/CHICLA  332,C1
260,"Gender and Women's Studies, BA",GEN&WS 340,C1
260,"Gender and Women's Studies, BA",GEN&WS 342,C1
260,"Gender and Women's Studies, BA",GEN&WS 343,C1
260,"Gender and Women's Studies, BA",GEN&WS 344,C1
260,"Gender and Women's Studies, BA",GEN&WS 345,C1
260,"Gender and Women's Studies, BA",GEN&WS/HISTORY  346,C1
260,"Gender and Women's Studies, BA",GEN&WS/ENGL  350,C1
260,"Gender and Women's Studies, BA",GEN&WS/CLASSICS  351,C1
260,"Gender and Women's Studies, BA",GEN&WS/HISTORY  353,C1
260,"Gender and Women's Studies, BA",GEN&WS/ENGL  359,C1
260,"Gender and Women's Studies, BA",GEN&WS/CLASSICS  361,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  367,C1
260,"Gender and Women's Studies, BA",GEN&WS 370,C1
260,"Gender and Women's Studies, BA",GEN&WS 374,C1
260,"Gender and Women's Studies, BA",GEN&WS/ENGL  401,C1
260,"Gender and Women's Studies, BA",GEN&WS 410,C1
260,"Gender and Women's Studies, BA",GEN&WS 412,C1
260,"Gender and Women's Studies, BA",GEN&WS/THEATRE  415,C1
260,"Gender and Women's Studies, BA",GEN&WS/COM ARTS  418,C1
260,"Gender and Women's Studies, BA",GEN&WS/FOLKLORE  428,C1
260,"Gender and Women's Studies, BA",GEN&WS/AMER IND/ANTHRO/FOLKLORE  437,C1
260,"Gender and Women's Studies, BA",GEN&WS/LITTRANS/SCAND ST  438,C1
260,"Gender and Women's Studies, BA",GEN&WS 441,C1
260,"Gender and Women's Studies, BA",GEN&WS 444,C1
260,"Gender and Women's Studies, BA",GEN&WS 445,C1
260,"Gender and Women's Studies, BA",GEN&WS 449,C1
260,"Gender and Women's Studies, BA",GEN&WS/PORTUG  450,C1
260,"Gender and Women's Studies, BA",GEN&WS/PORTUG  460,C1
260,"Gender and Women's Studies, BA",GEN&WS/ASIAN AM/ENGL  463,C1
260,"Gender and Women's Studies, BA",GEN&WS/ASIAN AM/ENGL  464,C1
260,"Gender and Women's Studies, BA",GEN&WS/HISTORY  519,C1
260,"Gender and Women's Studies, BA",GEN&WS/HIST SCI/MED HIST  532,C1
260,"Gender and Women's Studies, BA",GEN&WS 547,C1
260,"Gender and Women's Studies, BA",GEN&WS/PHILOS  556,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  624,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  625,C1
260,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  677,C1
261,"Gender and Women's Studies, BA",GEN&WS 104,C1
261,"Gender and Women's Studies, BA",GEN&WS/HISTORY  134,C1
261,"Gender and Women's Studies, BA",GEN&WS/SOC  200,C1
261,"Gender and Women's Studies, BA",GEN&WS 240,C1
261,"Gender and Women's Studies, BA",GEN&WS 320,C1
261,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  323,C1
261,"Gender and Women's Studies, BA",GEN&WS 329,C1
261,"Gender and Women's Studies, BA",GEN&WS 331,C1
261,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  333,C1
261,"Gender and Women's Studies, BA",GEN&WS 340,C1
261,"Gender and Women's Studies, BA",GEN&WS 344,C1
261,"Gender and Women's Studies, BA",C&E SOC/GEN&WS/SOC  347,C1
261,"Gender and Women's Studies, BA",GEN&WS/HISTORY  353,C1
261,"Gender and Women's Studies, BA",GEN&WS/HISTORY  354,C1
261,"Gender and Women's Studies, BA",GEN&WS/HISTORY  392,C1
261,"Gender and Women's Studies, BA",GEN&WS/COM ARTS  418,C1
261,"Gender and Women's Studies, BA",GEN&WS 420,C1
261,"Gender and Women's Studies, BA",GEN&WS/LEGAL ST  422,C1
261,"Gender and Women's Studies, BA",GEN&WS 423,C1
261,"Gender and Women's Studies, BA",GEN&WS/LEGAL ST/SOC  425,C1
261,"Gender and Women's Studies, BA",GEN&WS/POLI SCI  429,C1
261,"Gender and Women's Studies, BA",GEN&WS/POLI SCI  435,C1
261,"Gender and Women's Studies, BA",GEN&WS 441,C1
261,"Gender and Women's Studies, BA",GEN&WS/ANTHRO  443,C1
261,"Gender and Women's Studies, BA",GEN&WS 444,C1
261,"Gender and Women's Studies, BA",GEN&WS 446,C1
261,"Gender and Women's Studies, BA",GEN&WS 449,C1
261,"Gender and Women's Studies, BA",GEN&WS/POLI SCI  469,C1
261,"Gender and Women's Studies, BA",GEN&WS 472,C1
261,"Gender and Women's Studies, BA",GEN&WS/GEOG  504,C1
261,"Gender and Women's Studies, BA",GEN&WS/PSYCH  522,C1
261,"Gender and Women's Studies, BA",GEN&WS 523,C1
261,"Gender and Women's Studies, BA",GEN&WS 524,C1
261,"Gender and Women's Studies, BA",GEN&WS 525,C1
261,"Gender and Women's Studies, BA",GEN&WS 527,C1
261,"Gender and Women's Studies, BA",GEN&WS 528,C1
261,"Gender and Women's Studies, BA",GEN&WS 529,C1
261,"Gender and Women's Studies, BA",GEN&WS 534,C1
261,"Gender and Women's Studies, BA",GEN&WS 536,C1
261,"Gender and Women's Studies, BA",GEN&WS/HIST SCI  537,C1
261,"Gender and Women's Studies, BA",GEN&WS 538,C1
261,"Gender and Women's Studies, BA",GEN&WS 539,C1
261,"Gender and Women's Studies, BA",GEN&WS 546,C1
261,"Gender and Women's Studies, BA",GEN&WS/PHILOS  556,C1
261,"Gender and Women's Studies, BA",GEN&WS/ED POL  560,C1
262,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  333,C1
262,"Gender and Women's Studies, BA",GEN&WS 340,C1
262,"Gender and Women's Studies, BA",GEN&WS 441,C1
262,"Gender and Women's Studies, BA",GEN&WS 444,C1
262,"Gender and Women's Studies, BA",GEN&WS 445,C1
262,"Gender and Women's Studies, BA",GEN&WS 446,C1
262,"Gender and Women's Studies, BA",GEN&WS 449,C1
262,"Gender and Women's Studies, BA",GEN&WS 546,C1
262,"Gender and Women's Studies, BA",GEN&WS 547,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  221,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  222,C1
263,"Gender and Women's Studies, BA",GEN&WS/ENGL  248,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  267,C1
263,"Gender and Women's Studies, BA",GEN&WS/ASIAN AM  321,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  323,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  324,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  326,C1
263,"Gender and Women's Studies, BA",GEN&WS 330,C1
263,"Gender and Women's Studies, BA",GEN&WS 331,C1
263,"Gender and Women's Studies, BA",GEN&WS/CHICLA  332,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  333,C1
263,"Gender and Women's Studies, BA",GEN&WS/HISTORY  353,C1
263,"Gender and Women's Studies, BA",GEN&WS/HISTORY  354,C1
263,"Gender and Women's Studies, BA",GEN&WS/AFROAMER  367,C1
263,"Gender and Women's Studies, BA",GEN&WS/AMER IND/ANTHRO/FOLKLORE  437,C1
263,"Gender and Women's Studies, BA",GEN&WS 446,C1
263,"Gender and Women's Studies, BA",GEN&WS/PORTUG  450,C1
263,"Gender and Women's Studies, BA",GEN&WS/PORTUG  460,C1
263,"Gender and Women's Studies, BA",GEN&WS/ASIAN AM/ENGL  463,C1
