Group ID,Major,Course,Credits Required
268,"Geography, BA",GEOG 101,C1
268,"Geography, BA",GEOG 104,C1
268,"Geography, BA",GEOG/ART HIST/ENVIR ST/HISTORY/LAND ARC  239,C1
268,"Geography, BA",GEOG 300,C1
268,"Geography, BA",GEOG 301,C1
268,"Geography, BA",GEOG 302,C1
268,"Geography, BA",GEOG/URB R PL  305,C1
268,"Geography, BA",GEOG 307,C1
268,"Geography, BA",GEOG/CHICLA/GEN&WS  308,C1
268,"Geography, BA",GEOG/INTL ST  311,C1
268,"Geography, BA",GEOG/INTL ST  315,C1
268,"Geography, BA",GEOG 318,C1
268,"Geography, BA",GEOG 340,C1
268,"Geography, BA",GEOG 342,C1
268,"Geography, BA",GEOG 355,C1
268,"Geography, BA",GEOG 358,C1
268,"Geography, BA",GEOG/AMER IND  410,C1
268,"Geography, BA",GEOG 501,C1
268,"Geography, BA",GEOG/URB R PL  503,C1C1
268,"Geography, BA",GEOG/GEN&WS  504,C1
268,"Geography, BA",GEOG/URB R PL  505,C1
268,"Geography, BA",GEOG 507,C1
268,"Geography, BA",GEOG 510,C1
268,"Geography, BA",GEOG 511,C1
268,"Geography, BA",GEOG 513,C1
268,"Geography, BA",GEOG/GEN&WS  514,C1
268,"Geography, BA",GEOG 515,C1
268,"Geography, BA",GEOG 518,C1
268,"Geography, BA",GEOG 566,C1
269,"Geography, BA",GEOG/ENVIR ST  139,C1
269,"Geography, BA",GEOG/ART HIST/ENVIR ST/HISTORY/LAND ARC  239,C1
269,"Geography, BA",GEOG/ENVIR ST  309,C1
269,"Geography, BA",GEOG/ATM OCN/ENVIR ST  332,C1
269,"Geography, BA",GEOG/ENVIR ST  333,C1
269,"Geography, BA",GEOG/ENVIR ST  337,C1
269,"Geography, BA",GEOG/BOTANY  338,C1
269,"Geography, BA",GEOG/ENVIR ST  339,C1
269,"Geography, BA",GEOG 340,C1
269,"Geography, BA",GEOG 344,C1
269,"Geography, BA",GEOG/AMER IND/ENVIR ST  345,C1
269,"Geography, BA",GEOG 359,C1
269,"Geography, BA",GEOG/AMER IND  410,C1
269,"Geography, BA",GEOG/C&E SOC/ENVIR ST  434,C1
269,"Geography, BA",GEOG/ENVIR ST  439,C1
269,"Geography, BA",GEOG/ENVIR ST/HISTORY  460,C1
269,"Geography, BA",GEOG/SOIL SCI  526,C1
269,"Geography, BA",GEOG/ENVIR ST  534,C1
269,"Geography, BA",GEOG/ENVIR ST  537,C1
269,"Geography, BA",GEOG 538,C1
269,"Geography, BA",GEOG/ENVIR ST  557,C1
270,"Geography, BA",GEOG/ENVIR ST  120,C1
270,"Geography, BA",GEOG/ENVIR ST  127,C1
270,"Geography, BA",GEOG/GEOSCI  320,C1
270,"Geography, BA",GEOG/ATM OCN/ENVIR ST  322,C1
270,"Geography, BA",GEOG/ATM OCN/ENVIR ST  332,C1
270,"Geography, BA",GEOG/ATM OCN/ENVIR ST/GEOSCI  335,C1
270,"Geography, BA",GEOG/BOTANY  338,C1
270,"Geography, BA",GEOG 342,C1
270,"Geography, BA",GEOG 344,C1
270,"Geography, BA",GEOG/GEOSCI  420,C1
270,"Geography, BA",GEOG 523,C1
270,"Geography, BA",GEOG/SOIL SCI  525,C1
270,"Geography, BA",GEOG/SOIL SCI  526,C1
271,"Geography, BA",GEOG 565,C1
271,"Geography, BA",GEOG 681 & GEOG 682,C1
271,"Geography, BA",GEOG 691 & GEOG 692,C1
