Group ID,Major,Course,Credits Required
272,"Geology and Geophysics, BA",MATH 221 & MATH 222,
272,"Geology and Geophysics, BA",MATH 171 & MATH 217 & MATH 222,
273,"Geology and Geophysics, BA",CHEM 109,
273,"Geology and Geophysics, BA",CHEM 103 & CHEM 104,
273,"Geology and Geophysics, BA",CHEM 115 & CHEM 116,
274,"Geology and Geophysics, BA",PHYSICS 207,
274,"Geology and Geophysics, BA",PHYSICS 201,
274,"Geology and Geophysics, BA",PHYSICS 247,
274,"Geology and Geophysics, BA",E M A 201 & E M A 202,
275,"Geology and Geophysics, BA",PHYSICS 208,
275,"Geology and Geophysics, BA",PHYSICS 202,
275,"Geology and Geophysics, BA",PHYSICS 248,
276,"Geology and Geophysics, BA",GEOSCI 100,
276,"Geology and Geophysics, BA",GEOSCI/ENVIR ST  106,
276,"Geology and Geophysics, BA",GEOSCI 202,
276,"Geology and Geophysics, BA",GEOSCI 204,
276,"Geology and Geophysics, BA",GEOSCI/G L E 360,
276,"Geology and Geophysics, BA",GEOSCI/G L E 370,
277,"Geology and Geophysics, BA",GEOSCI/G L E  350,
277,"Geology and Geophysics, BA",GEOSCI 375,
277,"Geology and Geophysics, BA",GEOSCI 430,
277,"Geology and Geophysics, BA",GEOSCI/G L E  455,
278,"Geology and Geophysics, BA",GEOSCI 402,
278,"Geology and Geophysics, BA",GEOSCI/ATM OCN/ENVIR ST/GEOG  335,
278,"Geology and Geophysics, BA",GEOSCI 430,
278,"Geology and Geophysics, BA",GEOSCI 610,
278,"Geology and Geophysics, BA",GEOSCI/G L E  629,
278,"Geology and Geophysics, BA",INTEREGR 397,
