Group ID,Major,Course,Credits Required
279,"German, BA",GERMAN 337,6
279,"German, BA",GERMAN 676,6
280,"German, BA",GERMAN 305,21
280,"German, BA",GERMAN 351,21
280,"German, BA",GERMAN 352,21
280,"German, BA",GERMAN 362,21
280,"German, BA",GERMAN 367,21
280,"German, BA",GERMAN 368,21
280,"German, BA",GERMAN 369,21
280,"German, BA",GERMAN 372,21
280,"German, BA",GERMAN 385,21
280,"German, BA",GERMAN 411,21
280,"German, BA",GERMAN 612,21
280,"German, BA",GERMAN 625,21
280,"German, BA",GERMAN 645,21
280,"German, BA",GERMAN 650,21
280,"German, BA",GERMAN/MEDIEVAL  651,21
280,"German, BA",GERMAN 681,21
280,"German, BA",GERMAN 682,21
280,"German, BA",GERMAN 683,21
280,"German, BA",GERMAN 698,21
280,"German, BA",GERMAN 699,21
280,"German, BA",GERMAN 236,21
280,"German, BA",GERMAN 245,21
280,"German, BA",GERMAN 264,21
280,"German, BA",GERMAN 266,21
280,"German, BA",GERMAN 267,21
280,"German, BA",GERMAN/JEWISH/LITTRANS  269,21
280,"German, BA",GERMAN 272,21
280,"German, BA",GERMAN 275,21
280,"German, BA",GERMAN/LITTRANS  276,21
280,"German, BA",GERMAN 278,21
280,"German, BA",GERMAN/JEWISH/LITTRANS  279,21
280,"German, BA",GERMAN/LITTRANS  280,21
280,"German, BA",GERMAN 325,21
280,"German, BA",GERMAN/JEWISH  510,21
280,"German, BA",GERMAN 560,21
280,"German, BA",GERMAN 625,21
280,"German, BA",GERMAN 645,21
280,"German, BA",GERMAN/MEDIEVAL  651,21
280,"German, BA",GEN&WS/LITTRANS  270,21
280,"German, BA",GNS 375,21
280,"German, BA",HISTORY/JEWISH  310,21
280,"German, BA",HISTORY/ENVIR ST  328,21
280,"German, BA",HISTORY 359,21
280,"German, BA",HISTORY 410,21
280,"German, BA",JEWISH/PHILOS  442,21
280,"German, BA",JEWISH/ENGL  539,21
280,"German, BA",RELIG ST 406,21
