Group ID,Major,Course,Credits Required
282,"History, BA",HISTORY/CLASSICS  110,C1
282,"History, BA",HISTORY 115,C1
282,"History, BA",HISTORY 123,C1
282,"History, BA",HISTORY 200,C1
282,"History, BA",HISTORY 200,C1
282,"History, BA",HIST SCI 201,C1
282,"History, BA",ILS 201,C1
282,"History, BA",HISTORY 201,C1
282,"History, BA",HISTORY 201,C1
282,"History, BA",HISTORY 201,C1
282,"History, BA",HISTORY 201,C1
282,"History, BA",HISTORY/RELIG ST  205,C1
282,"History, BA",HISTORY/RELIG ST  208,C1
282,"History, BA",HISTORY 223,C1
282,"History, BA",HISTORY 223,C1
282,"History, BA",HISTORY 223,C1
282,"History, BA",HISTORY 223,C1
282,"History, BA",HISTORY 223,C1
282,"History, BA",HISTORY 223,C1
282,"History, BA",HISTORY 303,C1
282,"History, BA",HISTORY 307,C1
282,"History, BA",HISTORY/ASIAN/RELIG ST  308,C1
282,"History, BA",HISTORY/MEDIEVAL/RELIG ST  309,C1
282,"History, BA",HISTORY/ASIAN  337,C1
282,"History, BA",HISTORY/ENGL/RELIG ST  360,C1
282,"History, BA",HISTORY/CLASSICS/POLI SCI  362,C1
282,"History, BA",HISTORY/LEGAL ST  426,C1
282,"History, BA",HISTORY/ASIAN  454,C1
282,"History, BA",HISTORY/LEGAL ST  459,C1
282,"History, BA",HISTORY/LEGAL ST  476,C1
282,"History, BA",HISTORY/CLASSICS/RELIG ST  517,C1
283,"History, BA",HISTORY/CLASSICS  110,C1
283,"History, BA",HISTORY 115,C1
283,"History, BA",HISTORY 119,C1
283,"History, BA",HISTORY 120,C1
283,"History, BA",HISTORY 123,C1
283,"History, BA",HISTORY 124,C1
283,"History, BA",HIST SCI 201,C1
283,"History, BA",ILS 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY/RELIG ST  208,C1
283,"History, BA",HISTORY/RELIG ST  209,C1
283,"History, BA",HISTORY/RELIG ST  212,C1
283,"History, BA",HISTORY/JEWISH  220,C1
283,"History, BA",HISTORY 223,C1
283,"History, BA",HISTORY/GEOG/POLI SCI/SLAVIC  253,C1
283,"History, BA",HISTORY/GEOG/POLI SCI/SLAVIC  254,C1
283,"History, BA",HISTORY 270,C1
283,"History, BA",HISTORY 271,C1
283,"History, BA",HISTORY 303,C1
283,"History, BA",HISTORY 307,C1
283,"History, BA",HISTORY/MEDIEVAL/RELIG ST  309,C1
283,"History, BA",HISTORY/JEWISH  310,C1
283,"History, BA",HISTORY/HIST SCI  323,C1
283,"History, BA",HISTORY/ENVIR ST  328,C1
283,"History, BA",HISTORY 348,C1
283,"History, BA",HISTORY 349,C1
283,"History, BA",HISTORY 350,C1
283,"History, BA",HISTORY 357,C1
283,"History, BA",HISTORY 358,C1
283,"History, BA",HISTORY 359,C1
283,"History, BA",HISTORY/ENGL/RELIG ST  360,C1
283,"History, BA",HISTORY/CLASSICS/POLI SCI  362,C1
283,"History, BA",HISTORY/INTL ST  366,C1
283,"History, BA",HISTORY/GEN&WS  392,C1
283,"History, BA",HISTORY 410,C1
283,"History, BA",HISTORY/RELIG ST  411,C1
283,"History, BA",HISTORY 417,C1
283,"History, BA",HISTORY 418,C1
283,"History, BA",HISTORY 419,C1
283,"History, BA",HISTORY 420,C1
283,"History, BA",HISTORY 424,C1
283,"History, BA",HISTORY/LEGAL ST  426,C1
283,"History, BA",HISTORY/SCAND ST  431,C1
283,"History, BA",HISTORY/SCAND ST  432,C1
283,"History, BA",HISTORY/LEGAL ST  459,C1
283,"History, BA",HISTORY/LEGAL ST  476,C1
283,"History, BA",HISTORY/ED POL  478,C1
283,"History, BA",HISTORY/HIST SCI/MED HIST  508,C1
283,"History, BA",HISTORY/CURRIC/ED POL/JEWISH  515,C1
283,"History, BA",HISTORY/CLASSICS/RELIG ST  517,C1
283,"History, BA",HISTORY/JEWISH  518,C1
283,"History, BA",HISTORY/SCAND ST  577,C1
283,"History, BA",HISTORY/AFRICAN  106,C1
283,"History, BA",HISTORY 179,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY 201,C1
283,"History, BA",HISTORY/AFRICAN/AFROAMER/ANTHRO/GEOG/POLI SCI/SOC  277,C1
283,"History, BA",HISTORY 278,C1
283,"History, BA",HISTORY/AFRICAN/AFROAMER/POLI SCI  297,C1
285,"History, BA",HISTORY/ASIAN  103,C1
285,"History, BA",HISTORY/ASIAN  104,C1
285,"History, BA",HISTORY/ASIAN  108,C1
285,"History, BA",HISTORY 201,C1
285,"History, BA",HISTORY 201,C1
285,"History, BA",HISTORY 201,C1
285,"History, BA",HISTORY 201,C1
285,"History, BA",HISTORY/ASIAN/POLI SCI  255,C1
285,"History, BA",HISTORY/GNS  265,C1
285,"History, BA",HISTORY/INTL ST  332,C1
285,"History, BA",HISTORY/ASIAN  335,C1
285,"History, BA",HISTORY 336,C1
285,"History, BA",HISTORY/ASIAN  337,C1
285,"History, BA",HISTORY 340,C1
285,"History, BA",HISTORY/ASIAN  341,C1
285,"History, BA",HISTORY/ASIAN  342,C1
285,"History, BA",HISTORY/ASIAN  363,C1
285,"History, BA",HISTORY/ASIAN  454,C1
285,"History, BA",HISTORY/ASIAN  456,C1
285,"History, BA",HISTORY 142,C1
285,"History, BA",HISTORY 201,C1
285,"History, BA",HISTORY/ASIAN/GEOG/POLI SCI/SOC  244,C1
285,"History, BA",HISTORY/ASIAN/ASIAN AM  246,C1
285,"History, BA",HISTORY/ASIAN/RELIG ST  308,C1
285,"History, BA",HISTORY/ASIAN  319,C1
285,"History, BA",HISTORY 450,C1
285,"History, BA",HISTORY/ASIAN  458,C1
285,"History, BA",HISTORY 179,C1
285,"History, BA",HISTORY 201,C1
285,"History, BA",HISTORY 201,C1
285,"History, BA",HISTORY/INTL ST/LACIS  242,C1
285,"History, BA",HISTORY/LACIS  243,C1
285,"History, BA",HISTORY/CHICLA/GEN&WS  245,C1
285,"History, BA",HISTORY/AFROAMER/ANTHRO/C&E SOC/GEOG/LACIS/POLI SCI/SOC/SPANISH  260,C1
285,"History, BA",HISTORY 278,C1
285,"History, BA",HISTORY/AFROAMER  347,C1
285,"History, BA",HISTORY/CHICLA  435,C1
285,"History, BA",HISTORY/HIST SCI/MED HIST  564,C1
289,"History, BA",HISTORY 139,C1
289,"History, BA",HISTORY 200,C1
289,"History, BA",HISTORY 201,C1
289,"History, BA",HISTORY 201,C1
289,"History, BA",HISTORY/RELIG ST  205,C1
289,"History, BA",HISTORY/MEDIEVAL/RELIG ST  309,C1
