Group ID,Major,Course,Credits Required
291,"Information Science, BA",L I S 201,
292,"Information Science, BA",L I S 202,
293,"Information Science, BA",L I S 220,
294,"Information Science, BA",L I S/LEGAL ST  460,
295,"Information Science, BA",L I S 461,
296,"Information Science, BA",L I S 500,
297,"Information Science, BA",L I S/LEGAL ST  663,
298,"Information Science, BA",L I S 351,
299,"Information Science, BA",L I S/COMP SCI  472,
300,"Information Science, BA",L I S 501,
301,"Information Science, BA",COMP SCI/L I S  102,
302,"Information Science, BA",COMP SCI 200,
303,"Information Science, BA",COMP SCI 220,
304,"Information Science, BA",COMP SCI 300,
305,"Information Science, BA",COMP SCI 368,
306,"Information Science, BA",STAT 433,
307,"Information Science, BA",L I S 440,
308,"Information Science, BA",L I S 464,
309,"Information Science, BA",STAT 240,
310,"Information Science, BA",L I S 470,
311,"Information Science, BA",L I S 646,
312,"Information Science, BA",COMP SCI 570,
313,"Information Science, BA",I SY E/PSYCH  349,
314,"Information Science, BA",L I S 350,
315,"Information Science, BA",L I S 407,
316,"Information Science, BA",COM ARTS 200,
317,"Information Science, BA",L I S 301,
318,"Information Science, BA",L I S 340,
319,"Information Science, BA",L I S 341,
320,"Information Science, BA",L I S/AFRICAN/COM ARTS  444,
321,"Information Science, BA",L I S 510,
322,"Information Science, BA",L I S/NURSING  517,
323,"Information Science, BA",L I S/LEGAL ST  645,
324,"Information Science, BA",INTER-LS 210,
325,"Information Science, BA",INTER-LS 215,
326,"Information Science, BA",INTER-LS/INTER-AG  250,
327,"Information Science, BA",INTER-LS 260,
328,"Information Science, BA",COM ARTS 605,
329,"Information Science, BA",COMP SCI/STAT  403,
330,"Information Science, BA",DS 601,
331,"Information Science, BA",GEN BUS 450,
332,"Information Science, BA",INTER-HE 202,
333,"Information Science, BA",INTL ST 523,
334,"Information Science, BA",JOURN 697,
335,"Information Science, BA",L I S 399,
336,"Information Science, BA",LSC 399,
337,"Information Science, BA",POLI SCI 402,
338,"Information Science, BA",PUB AFFR 327,
339,"Information Science, BA",ACT SCI 652,
340,"Information Science, BA",COM ARTS 155,
341,"Information Science, BA",COM ARTS 345,
342,"Information Science, BA",COM ARTS 346,
343,"Information Science, BA",COM ARTS 478,
344,"Information Science, BA",COM ARTS 509,
345,"Information Science, BA",COM ARTS 577,
346,"Information Science, BA",COMP SCI/E C E  252,
347,"Information Science, BA",COMP SCI 304,
348,"Information Science, BA",COMP SCI 310,
349,"Information Science, BA",COMP SCI/E C E  354,
350,"Information Science, BA",COMP SCI 400,
351,"Information Science, BA",COMP SCI 402,
352,"Information Science, BA",COMP SCI 407,
353,"Information Science, BA",COMP SCI/E C E  506,
354,"Information Science, BA",COMP SCI 542,
355,"Information Science, BA",COMP SCI 564,
356,"Information Science, BA",CNSR SCI 257,
357,"Information Science, BA",CNSR SCI 301,
358,"Information Science, BA",DS 120,
359,"Information Science, BA",DS 140,
360,"Information Science, BA",DS 221,
361,"Information Science, BA",DS 321,
362,"Information Science, BA",DS 341,
363,"Information Science, BA",DS 451,
364,"Information Science, BA",DS/COMP SCI  579,
365,"Information Science, BA",DS 679,
366,"Information Science, BA",GEN BUS 306,
367,"Information Science, BA",GEN BUS 307,
368,"Information Science, BA",GEN BUS 656,
369,"Information Science, BA",HIST SCI 150,
370,"Information Science, BA",I SY E 348,
371,"Information Science, BA",I SY E 350,
372,"Information Science, BA",I SY E 450,
373,"Information Science, BA",I SY E/COMP SCI/DS  518,
374,"Information Science, BA",INFO SYS 322,
375,"Information Science, BA",INFO SYS 371,
376,"Information Science, BA",INFO SYS 424,
377,"Information Science, BA",JOURN 175,
378,"Information Science, BA",JOURN 411,
379,"Information Science, BA",JOURN 463,
380,"Information Science, BA",JOURN/COM ARTS/LSC  617,
381,"Information Science, BA",JOURN 622,
382,"Information Science, BA",LSC 340,
383,"Information Science, BA",LSC 350,
384,"Information Science, BA",LSC 432,
385,"Information Science, BA",LSC 440,
386,"Information Science, BA",LSC 460,
387,"Information Science, BA",LSC 532,
388,"Information Science, BA",LSC/COM ARTS/JOURN  617,
389,"Information Science, BA",MARKETNG 355,
390,"Information Science, BA",MARKETNG/OTM  427,
391,"Information Science, BA",MARKETNG 445,
392,"Information Science, BA",OTM/MARKETNG  427,
393,"Information Science, BA",OTM 453,
394,"Information Science, BA",PUB AFFR 281,
395,"Information Science, BA",PUB AFFR 380,
396,"Information Science, BA",PUB AFFR 523,
397,"Information Science, BA",R M I 670,
398,"Information Science, BA",STAT 433,
