Group ID,Major,Course,Credits Required
399,"Italian, BA",ITALIAN 230,
399,"Italian, BA",ITALIAN 311,
399,"Italian, BA",ITALIAN 312,
399,"Italian, BA",ITALIAN 321,
399,"Italian, BA",ITALIAN 322,
400,"Italian, BA",ITALIAN 150,
400,"Italian, BA",ITALIAN 230,
400,"Italian, BA",ITALIAN 311,
400,"Italian, BA",ITALIAN 312,
400,"Italian, BA",ITALIAN 321,
400,"Italian, BA",ITALIAN 322,
400,"Italian, BA",ITALIAN 340,
400,"Italian, BA",ITALIAN/ILS  350,
400,"Italian, BA",ITALIAN/ILS/LITTRANS/POLI SCI  365,
400,"Italian, BA",ITALIAN 400,
400,"Italian, BA",ITALIAN 420,
400,"Italian, BA",ITALIAN/FRENCH/PORTUG/SPANISH  429,
400,"Italian, BA",ITALIAN/MEDIEVAL/RELIG ST  440,
400,"Italian, BA",ITALIAN 450,
400,"Italian, BA",ITALIAN 452,
400,"Italian, BA",ITALIAN/COM ARTS  460,
400,"Italian, BA",ITALIAN 621,
400,"Italian, BA",ITALIAN 622,
400,"Italian, BA",ITALIAN 623,
400,"Italian, BA",ITALIAN 631,
400,"Italian, BA",ITALIAN 632,
400,"Italian, BA",ITALIAN 636,
400,"Italian, BA",ITALIAN/MEDIEVAL  659,
400,"Italian, BA",ITALIAN/MEDIEVAL  671,
400,"Italian, BA",ITALIAN 681,
400,"Italian, BA",ITALIAN 682,
400,"Italian, BA",ITALIAN 691,
400,"Italian, BA",ITALIAN 692,
400,"Italian, BA",ITALIAN 698,
400,"Italian, BA",ITALIAN 699,
400,"Italian, BA",LITTRANS 200,
400,"Italian, BA",LITTRANS 213,
400,"Italian, BA",LITTRANS 248,
400,"Italian, BA",LITTRANS/MEDIEVAL/RELIG ST  253,
400,"Italian, BA",LITTRANS 254,
400,"Italian, BA",LITTRANS/MEDIEVAL  255,
400,"Italian, BA",LITTRANS 260,
400,"Italian, BA",LITTRANS 410,
