Group ID,Major,Course,Credits Required
401,"Japanese, BA",ASIALANG 103,C1
401,"Japanese, BA",ASIALANG 113 & ASIALANG 114,C1
402,"Japanese, BA",ASIALANG 104,12
402,"Japanese, BA",ASIALANG 203,12
402,"Japanese, BA",ASIALANG 204,12
403,"Japanese, BA",ASIALANG 303,4
404,"Japanese, BA",ASIALANG 313,C3
404,"Japanese, BA",ASIALANG 375,C3
404,"Japanese, BA",ASIALANG 376,C3
404,"Japanese, BA",ASIALANG 377,C3
404,"Japanese, BA",ASIALANG 451,C3
404,"Japanese, BA",ASIALANG 452,C3
405,"Japanese, BA",ASIAN/HISTORY  104,C1
405,"Japanese, BA",ASIAN 253,C1
405,"Japanese, BA",ASIAN/HISTORY/POLI SCI  255,C1
406,"Japanese, BA",ASIAN/SOC  334,9
406,"Japanese, BA",ASIAN 353,9
406,"Japanese, BA",ASIAN 354,9
406,"Japanese, BA",ASIAN 355,9
406,"Japanese, BA",ASIAN 357,9
406,"Japanese, BA",ASIAN 358,9
406,"Japanese, BA",ASIAN 361,9
406,"Japanese, BA",ASIAN 367,9
406,"Japanese, BA",ASIAN 373,9
406,"Japanese, BA",ASIAN 376,9
406,"Japanese, BA",ASIAN 378,9
406,"Japanese, BA",ASIAN 434,9
406,"Japanese, BA",ASIAN 435,9
406,"Japanese, BA",ASIAN/HISTORY  454,9
406,"Japanese, BA",ASIAN/HISTORY  456,9
406,"Japanese, BA",ASIALANG 313,9
406,"Japanese, BA",ANTHRO 357,9
406,"Japanese, BA",LITTRANS 373,9
407,"Japanese, BA",ASIAN 533,C1
407,"Japanese, BA",ASIAN 563,C1
407,"Japanese, BA",ASIAN 573,C1
407,"Japanese, BA",ASIAN 682,C1
407,"Japanese, BA",ASIAN 692,C1
407,"Japanese, BA",ASIAN 699,C1
