Group ID,Major,Course,Credits Required
408,"Jewish Studies, BA",JEWISH/LEGAL ST/RELIG ST  203,C1
408,"Jewish Studies, BA",JEWISH/RELIG ST  211,C1
408,"Jewish Studies, BA",JEWISH/RELIG ST  215,C1
409,"Jewish Studies, BA",JEWISH/GERMAN/LITTRANS  269,C1
409,"Jewish Studies, BA",JEWISH/GERMAN/LITTRANS  279,C1
409,"Jewish Studies, BA",JEWISH/LITTRANS  318,C1
409,"Jewish Studies, BA",JEWISH/RELIG ST  340,C1
409,"Jewish Studies, BA",JEWISH/ENGL  370,C1
409,"Jewish Studies, BA",JEWISH/AFRICAN/MEDIEVAL/RELIG ST  462,C1
409,"Jewish Studies, BA",JEWISH/GERMAN  510,C1
409,"Jewish Studies, BA",JEWISH/ENGL  539,C1
410,"Jewish Studies, BA",JEWISH/CLASSICS/LITTRANS/RELIG ST  227,C1
410,"Jewish Studies, BA",JEWISH 230,C1
410,"Jewish Studies, BA",JEWISH 232,C1
410,"Jewish Studies, BA",JEWISH 236,C1
410,"Jewish Studies, BA",JEWISH/HEBR-MOD  301,C1
410,"Jewish Studies, BA",JEWISH/CLASSICS/RELIG ST  323,C1
410,"Jewish Studies, BA",JEWISH/HEBR-MOD  302,C1
410,"Jewish Studies, BA",JEWISH/LITTRANS/RELIG ST  328,C1
410,"Jewish Studies, BA",JEWISH/CLASSICS/HEBR-BIB/LITTRANS/RELIG ST  332,C1
410,"Jewish Studies, BA",JEWISH/CLASSICS/RELIG ST  335,C1
410,"Jewish Studies, BA",JEWISH 356,C1
410,"Jewish Studies, BA",JEWISH/HEBR-MOD  401,C1
410,"Jewish Studies, BA",JEWISH/HEBR-MOD  402,C1
410,"Jewish Studies, BA",JEWISH 430,C1
410,"Jewish Studies, BA",JEWISH 432,C1
410,"Jewish Studies, BA",JEWISH/PHILOS  442,C1
410,"Jewish Studies, BA",JEWISH/HEBR-BIB  513,C1
410,"Jewish Studies, BA",JEWISH/HEBR-BIB  514,C1
410,"Jewish Studies, BA",JEWISH 630,C1
410,"Jewish Studies, BA",JEWISH 632,C1
411,"Jewish Studies, BA",JEWISH/HISTORY  213,C1
411,"Jewish Studies, BA",JEWISH/HISTORY  219,C1
411,"Jewish Studies, BA",JEWISH/RELIG ST  340,C1
412,"Jewish Studies, BA",JEWISH/HISTORY  220,C1
412,"Jewish Studies, BA",JEWISH 231,C1
412,"Jewish Studies, BA",JEWISH/CLASSICS  241,C1
412,"Jewish Studies, BA",JEWISH/HISTORY  310,C1
412,"Jewish Studies, BA",JEWISH/POLI SCI  341,C1
412,"Jewish Studies, BA",JEWISH/ILS/SOC  423,C1
412,"Jewish Studies, BA",JEWISH 431,C1
412,"Jewish Studies, BA",JEWISH 433,C1
412,"Jewish Studies, BA",CURRIC/ED POL/HISTORY/JEWISH  515,C1
412,"Jewish Studies, BA",JEWISH/HISTORY  518,C1
412,"Jewish Studies, BA",POLI SCI 529,C1
412,"Jewish Studies, BA",JEWISH 631,C1
413,"Jewish Studies, BA",HEBR-MOD 101,C4
413,"Jewish Studies, BA",HEBR-MOD 102,C4
413,"Jewish Studies, BA",HEBR-MOD 201,C4
413,"Jewish Studies, BA",HEBR-MOD 202,C4
413,"Jewish Studies, BA",HEBR-MOD/JEWISH  301,C4
413,"Jewish Studies, BA",HEBR-MOD/JEWISH  302,C4
413,"Jewish Studies, BA",HEBR-MOD/JEWISH  401,C4
413,"Jewish Studies, BA",HEBR-MOD/JEWISH  402,C4
414,"Jewish Studies, BA",JEWISH 350,C1
