Group ID,Major,Course,Credits Required
415,"Journalism, JBA",JOURN 201,
415,"Journalism, JBA",JOURN 202,
415,"Journalism, JBA",JOURN 203,
416,"Journalism, JBA",JOURN 335,
417,"Journalism, JBA",JOURN 401,
417,"Journalism, JBA",JOURN 405,
417,"Journalism, JBA",JOURN 411,
417,"Journalism, JBA",JOURN 417,
417,"Journalism, JBA",JOURN 415,
417,"Journalism, JBA",JOURN 420,
417,"Journalism, JBA",JOURN 425,
417,"Journalism, JBA",JOURN 426,
417,"Journalism, JBA",JOURN 455,
417,"Journalism, JBA",JOURN 456,
417,"Journalism, JBA",JOURN 457,
417,"Journalism, JBA",JOURN 475,
418,"Journalism, JBA",JOURN 345,
419,"Journalism, JBA",JOURN 411,
419,"Journalism, JBA",JOURN 417,
419,"Journalism, JBA",JOURN 445,
419,"Journalism, JBA",JOURN 447,
419,"Journalism, JBA",JOURN 449,
419,"Journalism, JBA",JOURN 455,
419,"Journalism, JBA",JOURN 456,
419,"Journalism, JBA",JOURN 457,
419,"Journalism, JBA",JOURN 463,
419,"Journalism, JBA",JOURN 464,
419,"Journalism, JBA",JOURN 465,
419,"Journalism, JBA",JOURN 475,
420,"Journalism, JBA",JOURN/HISTORY  560,
420,"Journalism, JBA",JOURN 561,
420,"Journalism, JBA",JOURN 562,
420,"Journalism, JBA",JOURN 563,
420,"Journalism, JBA",JOURN 564,
420,"Journalism, JBA",JOURN 565,
420,"Journalism, JBA",JOURN 566,
420,"Journalism, JBA",JOURN 567,
421,"Journalism, JBA",JOURN/MARKETNG  605,
421,"Journalism, JBA",JOURN/COM ARTS/HDFS  616,
421,"Journalism, JBA",JOURN 618,
421,"Journalism, JBA",JOURN 620,
421,"Journalism, JBA",JOURN 649,
421,"Journalism, JBA",JOURN 657,
421,"Journalism, JBA",JOURN 658,
421,"Journalism, JBA",JOURN/ASIAN AM  662,
421,"Journalism, JBA",JOURN 669,
421,"Journalism, JBA",JOURN 675,
421,"Journalism, JBA",JOURN 676,
421,"Journalism, JBA",JOURN/COM ARTS/LSC  617,
421,"Journalism, JBA",JOURN 622,
421,"Journalism, JBA",JOURN 664,
421,"Journalism, JBA",JOURN/L I S  677,
421,"Journalism, JBA",JOURN 678,
