Group ID,Major,Course,Credits Required
422,"Journalism, JBS",JOURN 201,
422,"Journalism, JBS",JOURN 202,
422,"Journalism, JBS",JOURN 203,
423,"Journalism, JBS",JOURN 335,
424,"Journalism, JBS",JOURN 401,
424,"Journalism, JBS",JOURN 405,
424,"Journalism, JBS",JOURN 411,
424,"Journalism, JBS",JOURN 417,
424,"Journalism, JBS",JOURN 415,
424,"Journalism, JBS",JOURN 420,
424,"Journalism, JBS",JOURN 425,
424,"Journalism, JBS",JOURN 426,
424,"Journalism, JBS",JOURN 455,
424,"Journalism, JBS",JOURN 456,
424,"Journalism, JBS",JOURN 457,
424,"Journalism, JBS",JOURN 475,
425,"Journalism, JBS",JOURN 345,
426,"Journalism, JBS",JOURN 411,
426,"Journalism, JBS",JOURN 417,
426,"Journalism, JBS",JOURN 445,
426,"Journalism, JBS",JOURN 447,
426,"Journalism, JBS",JOURN 449,
426,"Journalism, JBS",JOURN 455,
426,"Journalism, JBS",JOURN 456,
426,"Journalism, JBS",JOURN 457,
426,"Journalism, JBS",JOURN 463,
426,"Journalism, JBS",JOURN 464,
426,"Journalism, JBS",JOURN 465,
426,"Journalism, JBS",JOURN 475,
427,"Journalism, JBS",JOURN/HISTORY  560,
427,"Journalism, JBS",JOURN 561,
427,"Journalism, JBS",JOURN 562,
427,"Journalism, JBS",JOURN 563,
427,"Journalism, JBS",JOURN 564,
427,"Journalism, JBS",JOURN 565,
427,"Journalism, JBS",JOURN 566,
427,"Journalism, JBS",JOURN 567,
428,"Journalism, JBS",JOURN/MARKETNG  605,
428,"Journalism, JBS",JOURN/COM ARTS/HDFS  616,
428,"Journalism, JBS",JOURN 618,
428,"Journalism, JBS",JOURN 620,
428,"Journalism, JBS",JOURN 649,
428,"Journalism, JBS",JOURN 657,
428,"Journalism, JBS",JOURN 658,
428,"Journalism, JBS",JOURN/ASIAN AM  662,
428,"Journalism, JBS",JOURN 669,
428,"Journalism, JBS",JOURN 675,
428,"Journalism, JBS",JOURN 676,
428,"Journalism, JBS",JOURN/COM ARTS/LSC  617,
428,"Journalism, JBS",JOURN 622,
428,"Journalism, JBS",JOURN 664,
428,"Journalism, JBS",JOURN/L I S  677,
428,"Journalism, JBS",JOURN 678,
