Group ID,Major,Course,Credits Required
435,"Landscape Architecture, BLA",LAND ARC 210,9
435,"Landscape Architecture, BLA",LAND ARC 366,9
435,"Landscape Architecture, BLA",LAND ARC 250,9
435,"Landscape Architecture, BLA",LAND ARC 260,9
436,"Landscape Architecture, BLA",BOTANY 100,17
436,"Landscape Architecture, BLA",BOTANY/BIOLOGY  130,17
436,"Landscape Architecture, BLA",DS 221,17
436,"Landscape Architecture, BLA",BOTANY/ENVIR ST/ZOOLOGY  260,17
436,"Landscape Architecture, BLA",LAND ARC 311,17
436,"Landscape Architecture, BLA",LAND ARC 380,17
436,"Landscape Architecture, BLA",LAND ARC 381,17
436,"Landscape Architecture, BLA",SOIL SCI/ENVIR ST/GEOG  230,17
436,"Landscape Architecture, BLA",SOIL SCI 301,17
437,"Landscape Architecture, BLA",LAND ARC 261,14
437,"Landscape Architecture, BLA",LAND ARC 321,14
437,"Landscape Architecture, BLA",LAND ARC 353,14
437,"Landscape Architecture, BLA",LAND ARC 354,14
438,"Landscape Architecture, BLA",LAND ARC/ENVIR ST  361,3
438,"Landscape Architecture, BLA",LAND ARC/CHICLA  475,3
438,"Landscape Architecture, BLA",LAND ARC 525,3
438,"Landscape Architecture, BLA",LAND ARC 590,3
438,"Landscape Architecture, BLA",LAND ARC 668,3
438,"Landscape Architecture, BLA",LAND ARC 677,3
438,"Landscape Architecture, BLA",URB R PL 411,3
438,"Landscape Architecture, BLA",URB R PL 512,3
438,"Landscape Architecture, BLA",URB R PL 550,3
438,"Landscape Architecture, BLA",URB R PL 551,3
438,"Landscape Architecture, BLA",URB R PL 601,3
438,"Landscape Architecture, BLA",URB R PL 611,3
434,"Landscape Architecture, BLA",LAND ARC 460,10
434,"Landscape Architecture, BLA",LAND ARC 397,10
434,"Landscape Architecture, BLA",LAND ARC 511,10
434,"Landscape Architecture, BLA",LAND ARC 550,10
439,"Landscape Architecture, BLA",LAND ARC 560,12
439,"Landscape Architecture, BLA",LAND ARC 562,12
439,"Landscape Architecture, BLA",LAND ARC 563,12
440,"Landscape Architecture, BLA",LAND ARC 610 & LAND ARC 611,7
