Group ID,Major,Course,Credits Required
429,"Landscape and Urban Studies, BA",LAND ARC 211,9
429,"Landscape and Urban Studies, BA",URB R PL 215,9
429,"Landscape and Urban Studies, BA",LAND ARC 250,9
429,"Landscape and Urban Studies, BA",LAND ARC 260,9
430,"Landscape and Urban Studies, BA",BOTANY 100,C2
430,"Landscape and Urban Studies, BA",BOTANY/BIOLOGY  130,C2
430,"Landscape and Urban Studies, BA",BOTANY/ENVIR ST/ZOOLOGY  260,C2
430,"Landscape and Urban Studies, BA",BOTANY/F&W ECOL/ZOOLOGY  460,C2
430,"Landscape and Urban Studies, BA",BOTANY/GEOG  338,C2
430,"Landscape and Urban Studies, BA",GEOG/ENVIR ST  339,C2
430,"Landscape and Urban Studies, BA",PLANTSCI 350,C2
430,"Landscape and Urban Studies, BA",SOIL SCI/ENVIR ST/GEOG  230,C2
430,"Landscape and Urban Studies, BA",SOIL SCI 301,C2
431,"Landscape and Urban Studies, BA",ART HIST 457,C2
431,"Landscape and Urban Studies, BA",DS 221,C2
431,"Landscape and Urban Studies, BA",ECON 101,C2
431,"Landscape and Urban Studies, BA",ECON 111,C2
431,"Landscape and Urban Studies, BA",ECON/REAL EST/URB R PL  420,C2
431,"Landscape and Urban Studies, BA",GEOG 104,C2
431,"Landscape and Urban Studies, BA",GEOG/ENVIR ST  139,C2
431,"Landscape and Urban Studies, BA",LAND ARC/AMER IND  106,C2
431,"Landscape and Urban Studies, BA",HISTORY/ENVIR ST/GEOG  460,C2
431,"Landscape and Urban Studies, BA",LAND ARC 360,C2
431,"Landscape and Urban Studies, BA",LAND ARC 363,C2
431,"Landscape and Urban Studies, BA",LAND ARC 373,C2
431,"Landscape and Urban Studies, BA",LAND ARC/ANTHRO/ART HIST/DS/HISTORY  264,C2
431,"Landscape and Urban Studies, BA",LAND ARC/CHICLA  475,C2
431,"Landscape and Urban Studies, BA",PLANTSCI 380,C2
431,"Landscape and Urban Studies, BA",POLI SCI 104,C2
431,"Landscape and Urban Studies, BA",SOC/C&E SOC  140,C2
431,"Landscape and Urban Studies, BA",URB R PL/ECON/REAL EST  420,C2
431,"Landscape and Urban Studies, BA",URB R PL/LAND ARC  463,C2
431,"Landscape and Urban Studies, BA",PUB AFFR 240,C2
431,"Landscape and Urban Studies, BA",PUB AFFR 380,C2
432,"Landscape and Urban Studies, BA",LAND ARC 311,C2
432,"Landscape and Urban Studies, BA",GEOG/CIV ENGR/ENVIR ST  377,C2
432,"Landscape and Urban Studies, BA",LAND ARC 460,C2
432,"Landscape and Urban Studies, BA",LAND ARC 511,C2
432,"Landscape and Urban Studies, BA",LAND ARC/ENVIR ST/GEOG/URB R PL  532,C2
432,"Landscape and Urban Studies, BA",LAND ARC/ENVIR ST/SOIL SCI  695,C2
433,"Landscape and Urban Studies, BA",LAND ARC 668,C1
433,"Landscape and Urban Studies, BA",URB R PL 595,C1
433,"Landscape and Urban Studies, BA",URB R PL 601,C1
433,"Landscape and Urban Studies, BA",URB R PL 611,C1
434,"Landscape and Urban Studies, BA",AGROECOL 370,18
434,"Landscape and Urban Studies, BA",ANTHRO/AMER IND  354,18
434,"Landscape and Urban Studies, BA",AMER IND 250,18
434,"Landscape and Urban Studies, BA",AMER IND/C&E SOC/SOC  578,18
434,"Landscape and Urban Studies, BA",ANTHRO/AMER IND/BOTANY  474,18
434,"Landscape and Urban Studies, BA",ART HIST 457,18
434,"Landscape and Urban Studies, BA",ART HIST/ANTHRO/DS/HISTORY/LAND ARC  264,18
434,"Landscape and Urban Studies, BA",BOTANY 400,18
434,"Landscape and Urban Studies, BA",BOTANY 401,18
434,"Landscape and Urban Studies, BA",BOTANY/F&W ECOL  455,18
434,"Landscape and Urban Studies, BA",DS 221,18
434,"Landscape and Urban Studies, BA",ENVIR ST/F&W ECOL/ZOOLOGY  360,18
434,"Landscape and Urban Studies, BA",ENVIR ST/BOTANY/F&W ECOL/ZOOLOGY  516,18
434,"Landscape and Urban Studies, BA",GEOG/ENVIR ST  309,18
434,"Landscape and Urban Studies, BA",GEOG 501,18
434,"Landscape and Urban Studies, BA",GEOG/URB R PL  305,18
434,"Landscape and Urban Studies, BA",GEOG/C&E SOC/ENVIR ST  434,18
434,"Landscape and Urban Studies, BA",GEOG 301,18
434,"Landscape and Urban Studies, BA",GEOG/ENVIR ST  439,18
434,"Landscape and Urban Studies, BA",GEOG/ENVIR ST/HISTORY  460,18
434,"Landscape and Urban Studies, BA",LAND ARC 210,18
434,"Landscape and Urban Studies, BA",LAND ARC 321,18
434,"Landscape and Urban Studies, BA",LAND ARC 360,18
434,"Landscape and Urban Studies, BA",LAND ARC/ENVIR ST  361,18
434,"Landscape and Urban Studies, BA",LAND ARC 363,18
434,"Landscape and Urban Studies, BA",LAND ARC 373,18
434,"Landscape and Urban Studies, BA",LAND ARC/CHICLA  475,18
434,"Landscape and Urban Studies, BA",LAND ARC/ENVIR ST  581,18
434,"Landscape and Urban Studies, BA",LAND ARC 668,18
434,"Landscape and Urban Studies, BA",PLANTSCI 380,18
434,"Landscape and Urban Studies, BA",REAL EST/A A E/ECON/URB R PL  306,18
434,"Landscape and Urban Studies, BA",REAL EST/ECON/URB R PL  420,18
434,"Landscape and Urban Studies, BA",SOIL SCI 323,18
434,"Landscape and Urban Studies, BA",URB R PL 411,18
434,"Landscape and Urban Studies, BA",URB R PL/ECON/ENVIR ST/POLI SCI  449,18
434,"Landscape and Urban Studies, BA",URB R PL 512,18
434,"Landscape and Urban Studies, BA",URB R PL 550,18
434,"Landscape and Urban Studies, BA",URB R PL 551,18
434,"Landscape and Urban Studies, BA",URB R PL 601,18
434,"Landscape and Urban Studies, BA",URB R PL 611,18
434,"Landscape and Urban Studies, BA",URB R PL/C&E SOC/SOC  617,18
