Group ID,Major,Course,Credits Required
441,"Latin American, Caribbean, and Iberian Studies, BA",LACIS/HISTORY/INTL ST  242, C1
441,"Latin American, Caribbean, and Iberian Studies, BA",LACIS/HISTORY  243,C1
441,"Latin American, Caribbean, and Iberian Studies, BA",LACIS/AFROAMER/ANTHRO/C&E SOC/GEOG/HISTORY/POLI SCI/SOC/SPANISH  260,C1
441,"Latin American, Caribbean, and Iberian Studies, BA",LACIS/CHICLA/HISTORY/POLI SCI  268,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",AFROAMER/DANCE/MUSIC  318, C1
442,"Latin American, Caribbean, and Iberian Studies, BA",AFROAMER/HISTORY  347,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",ANTHRO 237,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",CHICLA/POLI SCI  302,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",CHICLA/GEN&WS  332,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",CHICLA/COM ARTS  347,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",CHICLA/SPANISH  364,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",CURRIC 292,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",ED POL 260,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",ED POL/INTL ST  335,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",GEOG 307,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",GEOG/CHICLA/GEN&WS  308,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",INTL ST 101,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",INTL ST/POLI SCI  325,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",LACIS/SPANISH  285,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",LACIS/CHICLA/ED POL  342,C1
442,"Latin American, Caribbean, and Iberian Studies, BA",LITTRANS 252,C1
