Group ID,Major,Course,Credits Required
447,"Latin, BA",LATIN 305,
447,"Latin, BA",LATIN 306,
447,"Latin, BA",LATIN 401,
448,"Latin, BA",LATIN 505,
448,"Latin, BA",LATIN 515,
448,"Latin, BA",LATIN 519,
448,"Latin, BA",LATIN 520,
448,"Latin, BA",LATIN 523,
448,"Latin, BA",LATIN 524,
448,"Latin, BA",LATIN 539,
448,"Latin, BA",LATIN 549,
448,"Latin, BA",LATIN 559,
448,"Latin, BA",LATIN/MEDIEVAL  563,
448,"Latin, BA",LATIN 681,
448,"Latin, BA",LATIN 682,
448,"Latin, BA",LATIN 691,
448,"Latin, BA",LATIN 692,
