Group ID,Major,Course,Credits Required
449,"Legal Studies, BA",LEGAL ST/SOC  131,
449,"Legal Studies, BA",LEGAL ST/POLI SCI  217,
450,"Legal Studies, BA",GEN BUS 301,
450,"Legal Studies, BA",GEOG 307,
450,"Legal Studies, BA",INTL ST 601,
450,"Legal Studies, BA",INTL ST 602,
450,"Legal Studies, BA",LEGAL ST/HISTORY  261,
450,"Legal Studies, BA",LEGAL ST/HISTORY  262,
450,"Legal Studies, BA",LEGAL ST 400,
450,"Legal Studies, BA",LEGAL ST/GEN&WS/SOC  406,
450,"Legal Studies, BA",LEGAL ST 409,
450,"Legal Studies, BA",LEGAL ST/ELPA  442,
450,"Legal Studies, BA",LEGAL ST 444,
450,"Legal Studies, BA",LEGAL ST/POLI SCI  445,
450,"Legal Studies, BA",LEGAL ST 450,
450,"Legal Studies, BA",LEGAL ST/ED POL/ELPA  542,
450,"Legal Studies, BA",LEGAL ST/LAW/SOC  641,
450,"Legal Studies, BA",POLI SCI 304,
450,"Legal Studies, BA",POLI SCI 311,
450,"Legal Studies, BA",POLI SCI 340,
450,"Legal Studies, BA",POLI SCI 347,
450,"Legal Studies, BA",POLI SCI 349,
450,"Legal Studies, BA",POLI SCI 354,
450,"Legal Studies, BA",POLI SCI 356,
450,"Legal Studies, BA",POLI SCI 400,
450,"Legal Studies, BA",POLI SCI 401,
450,"Legal Studies, BA",POLI SCI 405,
450,"Legal Studies, BA",POLI SCI 408,
450,"Legal Studies, BA",POLI SCI 411,
450,"Legal Studies, BA",POLI SCI 412,
450,"Legal Studies, BA",POLI SCI 414,
450,"Legal Studies, BA",POLI SCI 417,
450,"Legal Studies, BA",POLI SCI/PUB AFFR  419,
450,"Legal Studies, BA",POLI SCI/INTL ST  434,
450,"Legal Studies, BA",POLI SCI/GEN&WS  435,
450,"Legal Studies, BA",POLI SCI/INTL ST  439,
450,"Legal Studies, BA",POLI SCI 470,
450,"Legal Studies, BA",POLI SCI 538 3-4,
450,"Legal Studies, BA",POLI SCI 601,
450,"Legal Studies, BA",POLI SCI 635,
450,"Legal Studies, BA",PUB AFFR 270,
450,"Legal Studies, BA",PUB AFFR 520,
