Group ID,Major,Course,Credits Required
461,"Linguistics, BA",LINGUIS 101,
462,"Linguistics, BA",LINGUIS 310,
463,"Linguistics, BA",LINGUIS 322,
464,"Linguistics, BA",LINGUIS 330,
465,"Linguistics, BA",LINGUIS 510,
465,"Linguistics, BA",LINGUIS 522,
465,"Linguistics, BA",LINGUIS 530,
465,"Linguistics, BA",LINGUIS 571,
466,"Linguistics, BA",LINGUIS 690,
467,"Linguistics, BA",AFRICAN 206,
467,"Linguistics, BA",AMER IND/ANTHRO  314,
467,"Linguistics, BA",AMER IND/LINGUIS  371,
467,"Linguistics, BA",ANTHRO/LINGUIS  430,
467,"Linguistics, BA",ASIAN 358,
467,"Linguistics, BA",ASIAN 432,
467,"Linguistics, BA",ASIAN 434,
467,"Linguistics, BA",ASIAN 631,
467,"Linguistics, BA",ASIAN 632,
467,"Linguistics, BA",ASIAN 633,
467,"Linguistics, BA",CS&D 110,
467,"Linguistics, BA",CS&D 201,
467,"Linguistics, BA",CS&D 202,
467,"Linguistics, BA",CS&D 210,
467,"Linguistics, BA",CS&D 240,
467,"Linguistics, BA",CS&D 303,
467,"Linguistics, BA",CS&D 315,
467,"Linguistics, BA",CS&D 440,
467,"Linguistics, BA",CS&D 503,
467,"Linguistics, BA",ED POL 205,
467,"Linguistics, BA",ED POL 595,
467,"Linguistics, BA",ENGL 314,
467,"Linguistics, BA",ENGL 316,
467,"Linguistics, BA",ENGL 318,
467,"Linguistics, BA",ENGL 319,
467,"Linguistics, BA",ENGL 320,
467,"Linguistics, BA",ENGL 412,
467,"Linguistics, BA",ENGL 413,
467,"Linguistics, BA",ENGL 414,
467,"Linguistics, BA",ENGL 415,
467,"Linguistics, BA",ENGL 416,
467,"Linguistics, BA",ENGL 417,
467,"Linguistics, BA",ENGL 420,
467,"Linguistics, BA",ENGL 514,
467,"Linguistics, BA",ENGL 516,
467,"Linguistics, BA",FOLKLORE/L I S  490,
467,"Linguistics, BA",ITALIAN 340,
467,"Linguistics, BA",GERMAN 351,
467,"Linguistics, BA",GERMAN 352,
467,"Linguistics, BA",GERMAN 650,
467,"Linguistics, BA",L I S 501,
467,"Linguistics, BA",L I S 640,
467,"Linguistics, BA",LINGUIS/ANTHRO/FOLKLORE/INTL ST  211,
467,"Linguistics, BA",LINGUIS 213,
467,"Linguistics, BA",LINGUIS 237,
467,"Linguistics, BA",LINGUIS 303,
467,"Linguistics, BA",LINGUIS 309,
467,"Linguistics, BA",LINGUIS 340,
467,"Linguistics, BA",LINGUIS/AMER IND  371,
467,"Linguistics, BA",LINGUIS 373,
467,"Linguistics, BA",LINGUIS 375,
467,"Linguistics, BA",LINGUIS 426,
467,"Linguistics, BA",LINGUIS 427,
467,"Linguistics, BA",LINGUIS/ANTHRO  430,
467,"Linguistics, BA",PHILOS 516,
467,"Linguistics, BA",PSYCH 406,
467,"Linguistics, BA",PSYCH 414,
467,"Linguistics, BA",PSYCH 460,
467,"Linguistics, BA",PSYCH 521,
467,"Linguistics, BA",RELIG ST 201,
467,"Linguistics, BA",SOC 535,
467,"Linguistics, BA",SPANISH 320,
467,"Linguistics, BA",SPANISH 321,
467,"Linguistics, BA",SPANISH 327,
467,"Linguistics, BA",SPANISH 331,
467,"Linguistics, BA",SPANISH/FRENCH/ITALIAN/PORTUG  429,
467,"Linguistics, BA",SPANISH 430,
467,"Linguistics, BA",SPANISH 446,
467,"Linguistics, BA",SPANISH 630,
