Group ID,Major,Course,Credits Required
468,"Mathematics, BA",MATH 341,C1
468,"Mathematics, BA",MATH 320,C1
468,"Mathematics, BA",MATH 340,C1
468,"Mathematics, BA",MATH 375,C1
469,"Mathematics, BA",MATH 521,C2
469,"Mathematics, BA",MATH 541,C2
469,"Mathematics, BA",MATH 551,C2
470,"Mathematics, BA",MATH/COMP SCI  513,C1
470,"Mathematics, BA",MATH/COMP SCI  514,C1
470,"Mathematics, BA",MATH 519,C1
470,"Mathematics, BA",MATH 521,C1
470,"Mathematics, BA",MATH 522,C1
470,"Mathematics, BA",MATH/COMP SCI/I SY E/STAT  525,C1
470,"Mathematics, BA",MATH 531,C1
470,"Mathematics, BA",MATH 535,C1
470,"Mathematics, BA",MATH 540,C1
470,"Mathematics, BA",MATH 541,C1
470,"Mathematics, BA",MATH 542,C1
470,"Mathematics, BA",MATH 551,C1
470,"Mathematics, BA",MATH 552,C1
470,"Mathematics, BA",MATH 561,C1
470,"Mathematics, BA",MATH 567,C1
470,"Mathematics, BA",MATH 570,C1
470,"Mathematics, BA",MATH/PHILOS  571,C1
470,"Mathematics, BA",MATH 607,C1
470,"Mathematics, BA",MATH/B M I/BIOCHEM/BMOLCHEM  609,C1
470,"Mathematics, BA",MATH 616,C1
470,"Mathematics, BA",MATH 619,C1
470,"Mathematics, BA",MATH 621,C1
470,"Mathematics, BA",MATH 623,C1
470,"Mathematics, BA",MATH 627,C1
470,"Mathematics, BA",MATH 629,C1
470,"Mathematics, BA",MATH/I SY E/OTM/STAT  632,C1
470,"Mathematics, BA",MATH 635,C1
470,"Mathematics, BA",MATH 681,C1
470,"Mathematics, BA",MATH 682,C1
470,"Mathematics, BA",MATH 691,C1
470,"Mathematics, BA",MATH 692,C1
470,"Mathematics, BA",MATH 698,C1
470,"Mathematics, BA",MATH 699,C1
471,"Mathematics, BA",MATH/STAT  431,9
471,"Mathematics, BA",MATH/STAT  309,9
471,"Mathematics, BA",MATH/STAT  310,9
471,"Mathematics, BA",MATH 319,9
471,"Mathematics, BA",MATH 376,9
471,"Mathematics, BA",MATH 321,9
471,"Mathematics, BA",MATH 322,9
471,"Mathematics, BA",MATH 390,9
471,"Mathematics, BA",MATH 407,9
471,"Mathematics, BA",MATH 415,9
471,"Mathematics, BA",MATH 421,9
471,"Mathematics, BA",MATH/COMP SCI/I SY E  425,9
471,"Mathematics, BA",MATH/COMP SCI/E C E  435,9
471,"Mathematics, BA",MATH 443,9
471,"Mathematics, BA",MATH 444,9
471,"Mathematics, BA",MATH 461,9
471,"Mathematics, BA",MATH 467,9
471,"Mathematics, BA",MATH/HIST SCI  473,9
471,"Mathematics, BA",MATH/COMP SCI/STAT  475,9
471,"Mathematics, BA",MATH 490,9
471,"Mathematics, BA",MATH 491,9
471,"Mathematics, BA",MATH/COMP SCI  513,9
471,"Mathematics, BA",MATH/COMP SCI  514,9
471,"Mathematics, BA",MATH 519,9
471,"Mathematics, BA",MATH 521,9
471,"Mathematics, BA",MATH 522,9
471,"Mathematics, BA",MATH/COMP SCI/I SY E/STAT  525,9
471,"Mathematics, BA",MATH 531,9
471,"Mathematics, BA",MATH 535,9
471,"Mathematics, BA",MATH 540,9
471,"Mathematics, BA",MATH 541,9
471,"Mathematics, BA",MATH 542,9
471,"Mathematics, BA",MATH 551,9
471,"Mathematics, BA",MATH 552,9
471,"Mathematics, BA",MATH 561,9
471,"Mathematics, BA",MATH 567,9
471,"Mathematics, BA",MATH 570,9
471,"Mathematics, BA",MATH/PHILOS  571,9
471,"Mathematics, BA",MATH 607,9
471,"Mathematics, BA",MATH/B M I/BIOCHEM/BMOLCHEM  609,9
471,"Mathematics, BA",MATH 616,9
471,"Mathematics, BA",MATH 619,9
471,"Mathematics, BA",MATH 621,9
471,"Mathematics, BA",MATH 623,9
471,"Mathematics, BA",MATH 627,9
471,"Mathematics, BA",MATH 629,9
471,"Mathematics, BA",MATH/I SY E/OTM/STAT  632,9
471,"Mathematics, BA",MATH 635,9
471,"Mathematics, BA",MATH 681,9
471,"Mathematics, BA",MATH 682,9
471,"Mathematics, BA",MATH 691,9
471,"Mathematics, BA",MATH 692,9
471,"Mathematics, BA",MATH 698,9
471,"Mathematics, BA",MATH 699,9
