Group ID,Major,Course,Credits Required
482,"Molecular and Cell Biology, BA",MATH 221,C1
482,"Molecular and Cell Biology, BA",MATH 217,C1
483,"Molecular and Cell Biology, BA",MATH 222,C1
483,"Molecular and Cell Biology, BA",MATH 213,C1
483,"Molecular and Cell Biology, BA",STAT 240,C1
483,"Molecular and Cell Biology, BA",STAT 301,C1
483,"Molecular and Cell Biology, BA",STAT 371,C1
484,"Molecular and Cell Biology, BA",CHEM 103 & CHEM 104,C1
484,"Molecular and Cell Biology, BA",CHEM 109,C1
484,"Molecular and Cell Biology, BA",CHEM 115 & CHEM 116,C1
485,"Molecular and Cell Biology, BA",CHEM 343,8
485,"Molecular and Cell Biology, BA",CHEM 344,8
485,"Molecular and Cell Biology, BA",CHEM 345,8
486,"Molecular and Cell Biology, BA",PHYSICS 207,10-12
486,"Molecular and Cell Biology, BA",PHYSICS 201,10-12
486,"Molecular and Cell Biology, BA",PHYSICS 247,10-12
486,"Molecular and Cell Biology, BA",PHYSICS 208,10-12
486,"Molecular and Cell Biology, BA",PHYSICS 202,10-12
486,"Molecular and Cell Biology, BA",PHYSICS 248,10-12
486,"Molecular and Cell Biology, BA",PHYSICS 103,10-12
486,"Molecular and Cell Biology, BA",PHYSICS 104,10-12
486,"Molecular and Cell Biology, BA",MATH 234,10-12
489,"Molecular and Cell Biology, BA",ZOOLOGY/BIOLOGY/BOTANY  151,10-13
489,"Molecular and Cell Biology, BA",ZOOLOGY/BIOLOGY/BOTANY  152,10-13
489,"Molecular and Cell Biology, BA",BIOCORE 381,10-13
489,"Molecular and Cell Biology, BA",BIOCORE 382,10-13
489,"Molecular and Cell Biology, BA",BIOCORE 383,10-13
489,"Molecular and Cell Biology, BA",BIOCORE 384,10-13
489,"Molecular and Cell Biology, BA",BIOCORE 485,10-13
489,"Molecular and Cell Biology, BA",ZOOLOGY/BIOLOGY  101,10-13
489,"Molecular and Cell Biology, BA",ZOOLOGY/BIOLOGY  102,10-13
489,"Molecular and Cell Biology, BA",BOTANY/BIOLOGY  130,10-13
492,"Molecular and Cell Biology, BA",BIOCHEM 501,C1
492,"Molecular and Cell Biology, BA",BIOCHEM 507 & BIOCHEM 508,C1
493,"Molecular and Cell Biology, BA",ZOOLOGY 570,3
494,"Molecular and Cell Biology, BA",BIOCORE 381 & BIOCORE 383 & BIOCORE 587,C1
494,"Molecular and Cell Biology, BA",GENETICS 466,C1
494,"Molecular and Cell Biology, BA",GENETICS 467 & GENETICS 468,C1
494,"Molecular and Cell Biology, BA",MICROBIO 470,C1
495,"Molecular and Cell Biology, BA",CHEM 575,6
495,"Molecular and Cell Biology, BA",BIOCHEM/NUTR SCI  560,6
495,"Molecular and Cell Biology, BA",BIOCHEM 601,6
495,"Molecular and Cell Biology, BA",BIOCHEM/GENETICS/MICROBIO  612,6
495,"Molecular and Cell Biology, BA",BIOCHEM/GENETICS/MD GENET  620,6
495,"Molecular and Cell Biology, BA",BIOCHEM/BOTANY  621,6
495,"Molecular and Cell Biology, BA",BIOCHEM 625,6
495,"Molecular and Cell Biology, BA",MED PHYS 510,6
495,"Molecular and Cell Biology, BA",CRB/B M E  670,6
495,"Molecular and Cell Biology, BA",ZOOLOGY 444,6
495,"Molecular and Cell Biology, BA",ZOOLOGY 470,6
495,"Molecular and Cell Biology, BA",ZOOLOGY/PSYCH  523,6
495,"Molecular and Cell Biology, BA",ZOOLOGY 603,6
495,"Molecular and Cell Biology, BA",GENETICS 627,6
495,"Molecular and Cell Biology, BA",ONCOLOGY 401,6
495,"Molecular and Cell Biology, BA",PATH-BIO/M M & I  528,6
495,"Molecular and Cell Biology, BA",BIOCORE 587,6
495,"Molecular and Cell Biology, BA",NTP/NEURODPT  610,6
495,"Molecular and Cell Biology, BA",AN SCI/DY SCI  361,6
495,"Molecular and Cell Biology, BA",GENETICS 520,6
495,"Molecular and Cell Biology, BA",GENETICS 527,6
495,"Molecular and Cell Biology, BA",GENETICS/MD GENET  565,6
495,"Molecular and Cell Biology, BA",GENETICS 588,6
495,"Molecular and Cell Biology, BA",GENETICS/BIOCHEM/MICROBIO  612,6
495,"Molecular and Cell Biology, BA",GENETICS/BIOCHEM/MD GENET  620,6
495,"Molecular and Cell Biology, BA",GENETICS 627,6
495,"Molecular and Cell Biology, BA",GENETICS/BIOCHEM  631,6
495,"Molecular and Cell Biology, BA",GENETICS/MD GENET  662,6
495,"Molecular and Cell Biology, BA",PLANTSCI 338,6
495,"Molecular and Cell Biology, BA",PLANTSCI 340,6
495,"Molecular and Cell Biology, BA",PLANTSCI 550,6
495,"Molecular and Cell Biology, BA",MICROBIO 303,6
495,"Molecular and Cell Biology, BA",MICROBIO/AN SCI/BOTANY  335,6
495,"Molecular and Cell Biology, BA",MICROBIO/SOIL SCI  425,6
495,"Molecular and Cell Biology, BA",MICROBIO/SOIL SCI  523,6
495,"Molecular and Cell Biology, BA",MICROBIO 526,6
495,"Molecular and Cell Biology, BA",PL PATH 622,6
495,"Molecular and Cell Biology, BA",BOTANY/ENTOM/PL PATH  505,6
495,"Molecular and Cell Biology, BA",BIOCHEM/M M & I  575,6
495,"Molecular and Cell Biology, BA",ONCOLOGY/M M & I/PL PATH  640,6
495,"Molecular and Cell Biology, BA",MATH/COMP SCI  240,6
495,"Molecular and Cell Biology, BA",MATH 340,6
495,"Molecular and Cell Biology, BA",STAT 303,6
495,"Molecular and Cell Biology, BA",STAT 304,6
495,"Molecular and Cell Biology, BA",STAT 305,6
495,"Molecular and Cell Biology, BA",STAT 333,6
495,"Molecular and Cell Biology, BA",STAT 421,6
495,"Molecular and Cell Biology, BA",B M E 556,6
495,"Molecular and Cell Biology, BA",COMP SCI 300,6
495,"Molecular and Cell Biology, BA",COMP SCI 368,6
495,"Molecular and Cell Biology, BA",COMP SCI 540,6
495,"Molecular and Cell Biology, BA",COMP SCI/B M I  567,6
495,"Molecular and Cell Biology, BA",COMP SCI/B M I  576,6
495,"Molecular and Cell Biology, BA",MICROBIO 657,6
500,"Molecular and Cell Biology, BA",BIOCHEM 207,4
500,"Molecular and Cell Biology, BA",CHEM 327,4
500,"Molecular and Cell Biology, BA",CHEM 329,4
500,"Molecular and Cell Biology, BA",COMP SCI 220,4
500,"Molecular and Cell Biology, BA",MICROBIO 304,4
500,"Molecular and Cell Biology, BA",MICROBIO 657,4
500,"Molecular and Cell Biology, BA",MOL BIOL 681,4
500,"Molecular and Cell Biology, BA",MOL BIOL 691,4
500,"Molecular and Cell Biology, BA",MOL BIOL 699,4
500,"Molecular and Cell Biology, BA",PHM SCI 254,4
500,"Molecular and Cell Biology, BA",ZOOLOGY 555,4
500,"Molecular and Cell Biology, BA",MOL BIOL 699,4
500,"Molecular and Cell Biology, BA",MOL BIOL 682,4
