Group ID,Major,Course,Credits Required
503,"Music, BA",MUS PERF 237,C2
503,"Music, BA",MUS PERF 437,C2
503,"Music, BA",MUS PERF 215,C2
503,"Music, BA",MUS PERF 415,C2
503,"Music, BA",MUS PERF 235,C2
503,"Music, BA",MUS PERF 435,C2
503,"Music, BA",MUS PERF 211,C2
503,"Music, BA",MUS PERF 411,C2
503,"Music, BA",MUS PERF 223,C2
503,"Music, BA",MUS PERF 423,C2
503,"Music, BA",MUS PERF 207,C2
503,"Music, BA",MUS PERF 407,C2
503,"Music, BA",MUS PERF 240,C2
503,"Music, BA",MUS PERF 440,C2
503,"Music, BA",MUS PERF 239,C2
503,"Music, BA",MUS PERF 439,C2
503,"Music, BA",MUS PERF 217,C2
503,"Music, BA",MUS PERF 417,C2
503,"Music, BA",MUS PERF 241,C2
503,"Music, BA",MUS PERF 441,C2
503,"Music, BA",MUS PERF 227,C2
503,"Music, BA",MUS PERF 427,C2
503,"Music, BA",MUS PERF 201,C2
503,"Music, BA",MUS PERF 401,C2
503,"Music, BA",MUS PERF 209,C2
503,"Music, BA",MUS PERF 409,C2
503,"Music, BA",MUS PERF 213,C2
503,"Music, BA",MUS PERF 413,C2
503,"Music, BA",MUS PERF 221,C2
503,"Music, BA",MUS PERF 421,C2
503,"Music, BA",MUS PERF 219,C2
503,"Music, BA",MUS PERF 419,C2
503,"Music, BA",MUS PERF 225,C2
503,"Music, BA",MUS PERF 425,C2
503,"Music, BA",MUS PERF 233,C2
503,"Music, BA",MUS PERF 433,C2
503,"Music, BA",MUS PERF 231,C2
503,"Music, BA",MUS PERF 231,C2
503,"Music, BA",MUS PERF 205,C2
503,"Music, BA",MUS PERF 405,C2
523,"Music, BA",MUSIC 121 & MUSIC 171,16
523,"Music, BA",MUSIC 122 & MUSIC 172,16
523,"Music, BA",MUSIC 211,16
523,"Music, BA",MUSIC 212,16
523,"Music, BA",MUS PERF 102 & MUS PERF 201 & MUS PERF 203,16
524,"Music, BA",MUSIC 221 & MUSIC 271,4-6
524,"Music, BA",MUSIC 229 & MUSIC 331,4-6
525,"Music, BA",MUSIC 411,C1
525,"Music, BA",MUSIC 412,C1
525,"Music, BA",MUSIC 413,C1
525,"Music, BA",MUSIC 414,C1
525,"Music, BA",MUSIC 415,C1
525,"Music, BA",MUSIC 416,C1
525,"Music, BA",MUSIC 417,C1
525,"Music, BA",MUSIC 419,C1
525,"Music, BA",MUSIC 511,C1
525,"Music, BA",MUSIC 513,C1
526,"Music, BA",MUSIC 40,1-44
526,"Music, BA",MUSIC 41,1-44
526,"Music, BA",MUSIC 50,1-44
526,"Music, BA",MUSIC 52,1-44
526,"Music, BA",MUSIC 56,1-44
526,"Music, BA",MUSIC 58,1-44
526,"Music, BA",MUSIC 62,1-44
526,"Music, BA",MUSIC 102,1-44
526,"Music, BA",MUSIC 107,1-44
526,"Music, BA",MUSIC 201,1-44
526,"Music, BA",MUSIC 221,1-44
526,"Music, BA",MUSIC 222,1-44
526,"Music, BA",MUSIC 229,1-44
526,"Music, BA",MUSIC 252,1-44
526,"Music, BA",MUSIC 253,1-44
526,"Music, BA",MUSIC 254,1-44
526,"Music, BA",MUSIC 256,1-44
526,"Music, BA",MUSIC 257,1-44
526,"Music, BA",MUSIC 262,1-44
526,"Music, BA",MUSIC 265,1-44
526,"Music, BA",MUSIC 266,1-44
526,"Music, BA",MUSIC 267,1-44
526,"Music, BA",MUSIC 268,1-44
526,"Music, BA",MUSIC 269,1-44
526,"Music, BA",MUSIC 270,1-44
526,"Music, BA",MUSIC 271,1-44
526,"Music, BA",MUSIC 272,1-44
526,"Music, BA",MUSIC/AFROAMER/DANCE  318,1-44
526,"Music, BA",MUSIC 319,1-44
526,"Music, BA",MUSIC 331,1-44
526,"Music, BA",MUSIC 332,1-44
526,"Music, BA",MUSIC 340,1-44
526,"Music, BA",MUSIC 346,1-44
526,"Music, BA",MUSIC 405,1-44
526,"Music, BA",MUSIC 411,1-44
526,"Music, BA",MUSIC 412,1-44
526,"Music, BA",MUSIC 413,1-44
526,"Music, BA",MUSIC 414,1-44
526,"Music, BA",MUSIC 415,1-44
526,"Music, BA",MUSIC 416,1-44
526,"Music, BA",MUSIC 417,1-44
526,"Music, BA",MUSIC 419,1-44
526,"Music, BA",MUSIC 461,1-44
526,"Music, BA",MUSIC 466,1-44
526,"Music, BA",MUSIC 467,1-44
526,"Music, BA",MUSIC 468,1-44
526,"Music, BA",MUSIC 497,1-44
526,"Music, BA",MUSIC 499,1-44
526,"Music, BA",MUSIC 502,1-44
526,"Music, BA",MUSIC 511,1-44
526,"Music, BA",MUSIC 513,1-44
526,"Music, BA",MUSIC 523,1-44
526,"Music, BA",MUS PERF 101,1-44
526,"Music, BA",MUS PERF 102,1-44
