Group ID,Major,Course,Credits Required
527,"Music: Education, BM",MUSIC 121 & MUSIC 171,
527,"Music: Education, BM",MUSIC 122 & MUSIC 172,
527,"Music: Education, BM",MUSIC 221 & MUSIC 271,
527,"Music: Education, BM",MUSIC 222 & MUSIC 272,
528,"Music: Education, BM",MUSIC 211,
528,"Music: Education, BM",MUSIC 212,
529,"Music: Education, BM",MUSIC 260,
529,"Music: Education, BM",MUSIC 262,
529,"Music: Education, BM",MUSIC 266,
530,"Music: Education, BM",MUS PERF 104,
530,"Music: Education, BM",MUS PERF 103,
530,"Music: Education, BM",MUS PERF 104,
531,"Music: Education, BM",MUS PERF 108,
531,"Music: Education, BM",MUSIC 331,
532,"Music: Education, BM",MUSIC 102,
532,"Music: Education, BM",MUSIC/FOLKLORE  103,
532,"Music: Education, BM",MUSIC 202,
532,"Music: Education, BM",MUSIC 203,
532,"Music: Education, BM",MUSIC 260,
532,"Music: Education, BM",MUSIC 262,
532,"Music: Education, BM",MUSIC 266,
532,"Music: Education, BM",MUSIC 268,
532,"Music: Education, BM",MUSIC/AFROAMER/DANCE  318,
532,"Music: Education, BM",MUSIC 319,
532,"Music: Education, BM",MUSIC 331,
532,"Music: Education, BM",MUSIC 332,
532,"Music: Education, BM",MUSIC 405,
533,"Music: Education, BM",MUSIC 253,
533,"Music: Education, BM",MUSIC 254,
534,"Music: Education, BM",MUSIC/CURRIC  304,
535,"Music: Education, BM",MUSIC/CURRIC  420,
535,"Music: Education, BM",MUSIC/CURRIC  421,
536,"Music: Education, BM",MUSIC/CURRIC  300,
536,"Music: Education, BM",MUSIC/CURRIC  301 & MUSIC/CURRIC  337,
536,"Music: Education, BM",MUSIC/CURRIC  302 & MUSIC/CURRIC  337,
537,"Music: Education, BM",ED PSYCH 320,
537,"Music: Education, BM",ED PSYCH 321,
538,"Music: Education, BM",ED PSYCH 301,
539,"Music: Education, BM",ED POL 300,
539,"Music: Education, BM",ED POL/HISTORY  412,
540,"Music: Education, BM",RP & SE/CURRIC  506,
541,"Music: Education, BM",CURRIC 305,
