Group ID,Major,Course,Credits Required
542,"Music: Performance, BM",MUSIC 211,
542,"Music: Performance, BM",MUSIC 212,
543,"Music: Performance, BM",MUSIC 405,
543,"Music: Performance, BM",MUSIC 411,
543,"Music: Performance, BM",MUSIC 412,
543,"Music: Performance, BM",MUSIC 413,
543,"Music: Performance, BM",MUSIC 414,
543,"Music: Performance, BM",MUSIC 415,
543,"Music: Performance, BM",MUSIC 416,
543,"Music: Performance, BM",MUSIC 417,
543,"Music: Performance, BM",MUSIC 419,
543,"Music: Performance, BM",MUSIC 511,
543,"Music: Performance, BM",MUSIC 513,
544,"Music: Performance, BM",MUSIC 121 & MUSIC 171,
544,"Music: Performance, BM",MUSIC 122 & MUSIC 172,
544,"Music: Performance, BM",MUSIC 221 & MUSIC 271,
545,"Music: Performance, BM",MUSIC 252,
546,"Music: Performance, BM",MUSIC 102,
546,"Music: Performance, BM",MUSIC/FOLKLORE  103,
546,"Music: Performance, BM",MUSIC 202,
546,"Music: Performance, BM",MUSIC 203,
546,"Music: Performance, BM",MUSIC 260,
546,"Music: Performance, BM",MUSIC 262,
546,"Music: Performance, BM",MUSIC 266,
546,"Music: Performance, BM",MUSIC 268,
546,"Music: Performance, BM",MUSIC/AFROAMER/DANCE  318,
546,"Music: Performance, BM",MUSIC 319,
546,"Music: Performance, BM",MUSIC 331,
546,"Music: Performance, BM",MUSIC 332,
546,"Music: Performance, BM",MUSIC 405,
547,"Music: Performance, BM",MUSIC 40,
547,"Music: Performance, BM",MUSIC 41,
547,"Music: Performance, BM",MUSIC 42,
547,"Music: Performance, BM",MUSIC 50,
547,"Music: Performance, BM",MUSIC 52,
547,"Music: Performance, BM",MUSIC 56,
547,"Music: Performance, BM",MUSIC 58,
547,"Music: Performance, BM",MUSIC 62,
547,"Music: Performance, BM",MUSIC 102,
547,"Music: Performance, BM",MUSIC/FOLKLORE  103,
547,"Music: Performance, BM",MUSIC 107,
547,"Music: Performance, BM",MUSIC 201,
547,"Music: Performance, BM",MUSIC 202,
547,"Music: Performance, BM",MUSIC 211,
547,"Music: Performance, BM",MUSIC 212,
547,"Music: Performance, BM",MUSIC 222,
547,"Music: Performance, BM",MUSIC 229,
547,"Music: Performance, BM",MUSIC 253,
547,"Music: Performance, BM",MUSIC 254,
547,"Music: Performance, BM",MUSIC 256,
547,"Music: Performance, BM",MUSIC 257,
547,"Music: Performance, BM",MUSIC 260,
547,"Music: Performance, BM",MUSIC 262,
547,"Music: Performance, BM",MUSIC 265,
547,"Music: Performance, BM",MUSIC 266,
547,"Music: Performance, BM",MUSIC 267,
547,"Music: Performance, BM",MUSIC 268,
547,"Music: Performance, BM",MUSIC 269,
547,"Music: Performance, BM",MUSIC 270,
547,"Music: Performance, BM",MUSIC 272,
547,"Music: Performance, BM",MUSIC/CURRIC  300,
547,"Music: Performance, BM",MUSIC/CURRIC  304,
547,"Music: Performance, BM",MUSIC 317,
547,"Music: Performance, BM",MUSIC/AFROAMER/DANCE  318,
547,"Music: Performance, BM",MUSIC 319,
547,"Music: Performance, BM",MUSIC 331,
547,"Music: Performance, BM",MUSIC 332,
547,"Music: Performance, BM",MUSIC 340,
547,"Music: Performance, BM",MUSIC/CURRIC  344,
547,"Music: Performance, BM",MUSIC 346,
547,"Music: Performance, BM",MUSIC 405,
547,"Music: Performance, BM",MUSIC 411,
547,"Music: Performance, BM",MUSIC 412,
547,"Music: Performance, BM",MUSIC 413,
547,"Music: Performance, BM",MUSIC 414,
547,"Music: Performance, BM",MUSIC 415,
547,"Music: Performance, BM",MUSIC 416,
547,"Music: Performance, BM",MUSIC 417,
547,"Music: Performance, BM",MUSIC 419,
547,"Music: Performance, BM",MUSIC/CURRIC  420,
547,"Music: Performance, BM",MUSIC/CURRIC  421,
547,"Music: Performance, BM",MUSIC 461,
547,"Music: Performance, BM",MUSIC 463,
547,"Music: Performance, BM",MUSIC 465,
547,"Music: Performance, BM",MUSIC 466,
547,"Music: Performance, BM",MUSIC 467,
547,"Music: Performance, BM",MUSIC 468,
547,"Music: Performance, BM",MUSIC 497,
547,"Music: Performance, BM",MUSIC 499,
547,"Music: Performance, BM",MUSIC 502,
547,"Music: Performance, BM",MUSIC 511,
547,"Music: Performance, BM",MUSIC 513,
547,"Music: Performance, BM",MUSIC/FOLKLORE  515,
547,"Music: Performance, BM",MUSIC 523,
547,"Music: Performance, BM",MUSIC 540,
547,"Music: Performance, BM",MUSIC 541,
547,"Music: Performance, BM",MUSIC 546,
547,"Music: Performance, BM",MUSIC 573,
547,"Music: Performance, BM",MUSIC 621,
547,"Music: Performance, BM",MUSIC 622,
547,"Music: Performance, BM",MUSIC 623,
547,"Music: Performance, BM",MUSIC 624,
547,"Music: Performance, BM",MUSIC 629,
547,"Music: Performance, BM",MUSIC 681,
