Group ID,Major,Course,Credits Required
548,"Neurobiology, BA",MATH 211,
548,"Neurobiology, BA",MATH 217,
548,"Neurobiology, BA",MATH 221,
549,"Neurobiology, BA",STAT 371,
549,"Neurobiology, BA",STAT 340,
549,"Neurobiology, BA",STAT/B M I  541,
550,"Neurobiology, BA",CHEM 103 & CHEM 104,
550,"Neurobiology, BA",CHEM 109,
550,"Neurobiology, BA",CHEM 115 & CHEM 116,
551,"Neurobiology, BA",CHEM 341,
551,"Neurobiology, BA",CHEM 343 & CHEM 345,
552,"Neurobiology, BA",PHYSICS 103,
552,"Neurobiology, BA",PHYSICS 201,
552,"Neurobiology, BA",PHYSICS 207,
552,"Neurobiology, BA",PHYSICS 247,
553,"Neurobiology, BA",PHYSICS 104,
553,"Neurobiology, BA",PHYSICS 202,
553,"Neurobiology, BA",PHYSICS 208,
553,"Neurobiology, BA",PHYSICS 248,
554,"Neurobiology, BA",ZOOLOGY/BIOLOGY/BOTANY  151,
554,"Neurobiology, BA",ZOOLOGY/BIOLOGY/BOTANY  152,
555,"Neurobiology, BA",BIOCORE 381,
555,"Neurobiology, BA",BIOCORE 383,
555,"Neurobiology, BA",BIOCORE 485,
555,"Neurobiology, BA",BIOCORE 587,
555,"Neurobiology, BA",BIOCORE 382,
555,"Neurobiology, BA",BIOCORE 384,
555,"Neurobiology, BA",BIOCORE 486,
556,"Neurobiology, BA",ZOOLOGY/BIOLOGY  101,
556,"Neurobiology, BA",ZOOLOGY/BIOLOGY  102,
556,"Neurobiology, BA",BOTANY/BIOLOGY  130,
557,"Neurobiology, BA",ZOOLOGY/PSYCH  523,
557,"Neurobiology, BA",PSYCH 454,
557,"Neurobiology, BA",ZOOLOGY 500,
558,"Neurobiology, BA",ANAT&PHY 335,
558,"Neurobiology, BA",ANAT&PHY 435,
558,"Neurobiology, BA",AN SCI/DY SCI  373,
558,"Neurobiology, BA",BIOCHEM 501,
558,"Neurobiology, BA",BIOCHEM 508,
558,"Neurobiology, BA",BIOCHEM/NUTR SCI  645,
558,"Neurobiology, BA",B M E 520,
558,"Neurobiology, BA",B M E 603,
558,"Neurobiology, BA",CS&D 210,
558,"Neurobiology, BA",CS&D 503,
558,"Neurobiology, BA",ED PSYCH 326,
558,"Neurobiology, BA",ED PSYCH 506,
558,"Neurobiology, BA",ED PSYCH 506,
558,"Neurobiology, BA",GENETICS 520,
558,"Neurobiology, BA",KINES 531,
558,"Neurobiology, BA",MED PHYS 651,
558,"Neurobiology, BA",NEURODPT 629,
558,"Neurobiology, BA",NTP/NEURODPT  610,
558,"Neurobiology, BA",NTP/NEURODPT/PSYCH  611,
558,"Neurobiology, BA",NTP/NEURODPT  640,
558,"Neurobiology, BA",NTP 666,
558,"Neurobiology, BA",NTP 675,
558,"Neurobiology, BA",NTP 675,
558,"Neurobiology, BA",NTP 675,
558,"Neurobiology, BA",NTP 675,
558,"Neurobiology, BA",NTP 675,
558,"Neurobiology, BA",NTP 677,
558,"Neurobiology, BA",PHARMACY 632,
558,"Neurobiology, BA",PHM SCI 310,
558,"Neurobiology, BA",PHM SCI 521,
558,"Neurobiology, BA",PSYCH 406,
558,"Neurobiology, BA",PSYCH 414,
