Group ID,Major,Course,Credits Required
563,"Philosophy, BA",PHILOS 211,3-4
563,"Philosophy, BA",PHILOS 511,3-4
562,"Philosophy, BA",PHILOS 430,3-4
561,"Philosophy, BA",PHILOS 432,3-4
564,"Philosophy, BA",PHILOS 430,15
564,"Philosophy, BA",PHILOS 432,15
564,"Philosophy, BA",PHILOS 440,15
564,"Philosophy, BA",PHILOS/ENVIR ST  441,15
564,"Philosophy, BA",PHILOS 454,15
564,"Philosophy, BA",PHILOS/RELIG ST  501,15
564,"Philosophy, BA",PHILOS 503,15
564,"Philosophy, BA",PHILOS 504,15
564,"Philosophy, BA",PHILOS 506,15
564,"Philosophy, BA",PHILOS 511,15
564,"Philosophy, BA",PHILOS 512,15
564,"Philosophy, BA",PHILOS 516,15
564,"Philosophy, BA",PHILOS 520,15
564,"Philosophy, BA",PHILOS 522,15
564,"Philosophy, BA",PHILOS/ENVIR ST  523,15
564,"Philosophy, BA",PHILOS/ECON  524,15
564,"Philosophy, BA",PHILOS 530,15
564,"Philosophy, BA",PHILOS 541,15
564,"Philosophy, BA",PHILOS 543,15
564,"Philosophy, BA",PHILOS 549,15
564,"Philosophy, BA",PHILOS/ED POL  550,15
564,"Philosophy, BA",PHILOS 551,15
564,"Philosophy, BA",PHILOS 553,15
564,"Philosophy, BA",PHILOS 555,15
564,"Philosophy, BA",PHILOS/GEN&WS  556,15
564,"Philosophy, BA",PHILOS 557,15
564,"Philosophy, BA",PHILOS 560,15
564,"Philosophy, BA",PHILOS 562,15
564,"Philosophy, BA",PHILOS 567,15
564,"Philosophy, BA",PHILOS/MATH  571,15
565,"Philosophy, BA",PHILOS/RELIG ST  501,C1
565,"Philosophy, BA",PHILOS 503,C1
565,"Philosophy, BA",PHILOS 504,C1
565,"Philosophy, BA",PHILOS 504,C1
565,"Philosophy, BA",PHILOS 516,C1
565,"Philosophy, BA",PHILOS 520,C1
565,"Philosophy, BA",PHILOS 530,C1
565,"Philosophy, BA",PHILOS 551,C1
565,"Philosophy, BA",PHILOS 560,C1
565,"Philosophy, BA",PHILOS 562,C1
565,"Philosophy, BA",PHILOS 567,C1
566,"Philosophy, BA",PHILOS 241,C1
566,"Philosophy, BA",PHILOS 454,C1
566,"Philosophy, BA",PHILOS 541,C1
566,"Philosophy, BA",PHILOS 549,C1
566,"Philosophy, BA",PHILOS 555,C1
