Group ID,Major,Course,Credits Required
567,"Physics, BA",PHYSICS 247,5
567,"Physics, BA",PHYSICS 207,5
567,"Physics, BA",PHYSICS 201,5
567,"Physics, BA",E M A 201 & E M A 202,5
568,"Physics, BA",PHYSICS 248,5
568,"Physics, BA",PHYSICS 208,5
568,"Physics, BA",PHYSICS 202,5
569,"Physics, BA",PHYSICS 249,3-4
569,"Physics, BA",PHYSICS 205,3-4
569,"Physics, BA",PHYSICS/E C E  235,3-4
569,"Physics, BA",PHYSICS 241,3-4
570,"Physics, BA",PHYSICS 311,3
571,"Physics, BA",PHYSICS 322,C1
571,"Physics, BA",E C E 220 & E C E 320 & E C E 420,C1
572,"Physics, BA",PHYSICS 448,C1
572,"Physics, BA",PHYSICS 531,C1
573,"Physics, BA",PHYSICS 307,4
573,"Physics, BA",PHYSICS 407,4
573,"Physics, BA",PHYSICS 321,4
573,"Physics, BA",PHYSICS 325,4
573,"Physics, BA",PHYSICS 623,4
573,"Physics, BA",PHYSICS 625,4
573,"Physics, BA",ASTRON 465,4
573,"Physics, BA",N E 427,4
573,"Physics, BA",N E 428,4
573,"Physics, BA",E C E 305,4
573,"Physics, BA",E C E 313,4
576,"Physics, BA",PHYSICS 301, 4-9
576,"Physics, BA",PHYSICS 307, 4-9
576,"Physics, BA",PHYSICS 311, 4-9
576,"Physics, BA",PHYSICS 321, 4-9
576,"Physics, BA",PHYSICS 322, 4-9
576,"Physics, BA",PHYSICS 323, 4-9
576,"Physics, BA",PHYSICS 325, 4-9
576,"Physics, BA",PHYSICS 361, 4-9
576,"Physics, BA",PHYSICS 406, 4-9
576,"Physics, BA",PHYSICS 407, 4-9
576,"Physics, BA",PHYSICS 415, 4-9
576,"Physics, BA",PHYSICS 448, 4-9
576,"Physics, BA",PHYSICS 449, 4-9
576,"Physics, BA",PHYSICS 498, 4-9
576,"Physics, BA",PHYSICS 499, 4-9
576,"Physics, BA",PHYSICS/B M E/H ONCOL/MED PHYS  501, 4-9
576,"Physics, BA",PHYSICS/E C E/N E  525, 4-9
576,"Physics, BA",PHYSICS/E C E/N E  527, 4-9
576,"Physics, BA",PHYSICS 531, 4-9
576,"Physics, BA",PHYSICS 535, 4-9
576,"Physics, BA",PHYSICS 545, 4-9
576,"Physics, BA",PHYSICS 551, 4-9
576,"Physics, BA",PHYSICS 603, 4-9
576,"Physics, BA",PHYSICS 623, 4-9
576,"Physics, BA",PHYSICS 625, 4-9
576,"Physics, BA",PHYSICS 681, 4-9
576,"Physics, BA",PHYSICS 682, 4-9
576,"Physics, BA",PHYSICS/MED PHYS  688, 4-9
576,"Physics, BA",PHYSICS 691, 4-9
576,"Physics, BA",PHYSICS 692, 4-9
