Group ID,Major,Course,Credits Required
577,"Polish, BA",SLAVIC 277,6
577,"Polish, BA",SLAVIC 278,6
578,"Polish, BA",SLAVIC/LITTRANS  215,6
578,"Polish, BA",SLAVIC/LITTRANS  361,6
579,"Polish, BA",SLAVIC 331,C1
579,"Polish, BA",SLAVIC 332,C1
579,"Polish, BA",SLAVIC 231,C1
579,"Polish, BA",SLAVIC/LITTRANS  259,C1
580,"Polish, BA",SLAVIC 231,6
580,"Polish, BA",SLAVIC 242,6
580,"Polish, BA",SLAVIC 246,6
580,"Polish, BA",SLAVIC 245,6
580,"Polish, BA",SLAVIC/GEOG/HISTORY/POLI SCI  254,6
580,"Polish, BA",SLAVIC 285,6
580,"Polish, BA",SLAVIC 299,6
580,"Polish, BA",SLAVIC 307,6
580,"Polish, BA",SLAVIC 308,6
580,"Polish, BA",SLAVIC/LITTRANS  357,6
580,"Polish, BA",SLAVIC/FOLKLORE  444,6
580,"Polish, BA",SLAVIC/LITTRANS  467,6
580,"Polish, BA",SLAVIC 470,6
580,"Polish, BA",SLAVIC 472,6
580,"Polish, BA",HISTORY 270,6
580,"Polish, BA",LITTRANS 207,6
580,"Polish, BA",LITTRANS 218,6
580,"Polish, BA",LITTRANS 229,6
580,"Polish, BA",LITTRANS 241,6
580,"Polish, BA",LITTRANS 247,6
580,"Polish, BA",LITTRANS/SLAVIC  357,6
580,"Polish, BA",LITTRANS/SLAVIC  467,6
580,"Polish, BA",LITTRANS 473,6
580,"Polish, BA",POLI SCI 340,6
580,"Polish, BA",POLI SCI 659,6
