Group ID,Major,Course,Credits Required
581,"Political Science, BA",POLI SCI 140,3-4
581,"Political Science, BA",POLI SCI/CHICLA/HISTORY/LACIS  268,3-4
581,"Political Science, BA",POLI SCI 340,3-4
581,"Political Science, BA",POLI SCI 343,3-4
581,"Political Science, BA",POLI SCI 345,3-4
581,"Political Science, BA",POLI SCI 346,3-4
581,"Political Science, BA",POLI SCI 347,3-4
581,"Political Science, BA",POLI SCI 348,3-4
581,"Political Science, BA",POLI SCI 350,3-4
581,"Political Science, BA",POLI SCI/LEGAL ST  352,3-4
581,"Political Science, BA",POLI SCI 354,3-4
581,"Political Science, BA",POLI SCI 356,3-4
581,"Political Science, BA",POLI SCI 359,3-4
581,"Political Science, BA",POLI SCI 377,3-4
581,"Political Science, BA",POLI SCI 390,3-4
581,"Political Science, BA",POLI SCI/ECON/ENVIR ST/URB R PL  449,3-4
582,"Political Science, BA",POLI SCI 104,3-4
582,"Political Science, BA",POLI SCI 205,3-4
582,"Political Science, BA",POLI SCI 206,3-4
582,"Political Science, BA",POLI SCI/LEGAL ST  217,3-4
582,"Political Science, BA",POLI SCI/CHICLA  231,3-4
582,"Political Science, BA",POLI SCI 272,3-4
582,"Political Science, BA",POLI SCI/AFRICAN/AFROAMER/HISTORY  297,3-4
582,"Political Science, BA",POLI SCI/CHICLA  302,3-4
582,"Political Science, BA",POLI SCI 304,3-4
582,"Political Science, BA",POLI SCI 305,3-4
582,"Political Science, BA",POLI SCI 306,3-4
582,"Political Science, BA",POLI SCI 311,3-4
582,"Political Science, BA",POLI SCI 314,3-4
582,"Political Science, BA",POLI SCI 315,3-4
582,"Political Science, BA",POLI SCI 402,3-4
582,"Political Science, BA",POLI SCI 405,3-4
582,"Political Science, BA",POLI SCI 408,3-4
582,"Political Science, BA",POLI SCI 411,3-4
582,"Political Science, BA",POLI SCI 412,3-4
582,"Political Science, BA",POLI SCI 414,3-4
582,"Political Science, BA",POLI SCI 416,3-4
582,"Political Science, BA",POLI SCI 417,3-4
582,"Political Science, BA",POLI SCI/PUB AFFR  419,3-4
582,"Political Science, BA",POLI SCI 425,3-4
582,"Political Science, BA",POLI SCI/LEGAL ST  445,3-4
582,"Political Science, BA",POLI SCI 470,3-4
582,"Political Science, BA",POLI SCI 481,3-4
582,"Political Science, BA",POLI SCI 490,3-4
582,"Political Science, BA",POLI SCI 511,3-4
582,"Political Science, BA",POLI SCI 515,3-4
582,"Political Science, BA",POLI SCI/AFROAMER  519,3-4
582,"Political Science, BA",POLI SCI 602,3-4
583,"Political Science, BA",POLI SCI 160,3-4
583,"Political Science, BA",POLI SCI 360,3-4
583,"Political Science, BA",POLI SCI 361,3-4
583,"Political Science, BA",POLI SCI/CLASSICS/HISTORY  362,3-4
583,"Political Science, BA",POLI SCI 363,3-4
583,"Political Science, BA",POLI SCI 364,3-4
583,"Political Science, BA",POLI SCI/ILS/ITALIAN/LITTRANS  365,3-4
583,"Political Science, BA",POLI SCI 366,3-4
583,"Political Science, BA",POLI SCI 460,3-4
583,"Political Science, BA",POLI SCI/ILS  463,3-4
583,"Political Science, BA",POLI SCI/GEN&WS  469,3-4
583,"Political Science, BA",POLI SCI/AFROAMER  519,3-4
583,"Political Science, BA",POLI SCI 590,3-4
584,"Political Science, BA",POLI SCI 120,3-4
584,"Political Science, BA",POLI SCI 182,3-4
584,"Political Science, BA",POLI SCI/CHICLA  231,3-4
584,"Political Science, BA",POLI SCI/ASIAN/GEOG/HISTORY/SOC  244,3-4
584,"Political Science, BA",POLI SCI/GEOG/HISTORY/SLAVIC  253,3-4
584,"Political Science, BA",POLI SCI/GEOG/HISTORY/SLAVIC  254,3-4
584,"Political Science, BA",POLI SCI/ASIAN/HISTORY  255,3-4
584,"Political Science, BA",POLI SCI/AFROAMER/ANTHRO/C&E SOC/GEOG/HISTORY/LACIS/SOC/SPANISH  260,3-4
584,"Political Science, BA",POLI SCI/AFRICAN/AFROAMER/ANTHRO/GEOG/HISTORY/SOC  277,3-4
584,"Political Science, BA",POLI SCI/AFRICAN/AFROAMER/HISTORY  297,3-4
584,"Political Science, BA",POLI SCI 320,3-4
584,"Political Science, BA",POLI SCI 324,3-4
584,"Political Science, BA",POLI SCI/INTL ST  325,3-4
584,"Political Science, BA",POLI SCI 328,3-4
584,"Political Science, BA",POLI SCI 329,3-4
584,"Political Science, BA",POLI SCI 330,3-4
584,"Political Science, BA",POLI SCI 332,3-4
584,"Political Science, BA",POLI SCI 334,3-4
584,"Political Science, BA",POLI SCI 335,3-4
584,"Political Science, BA",POLI SCI 336,3-4
584,"Political Science, BA",POLI SCI 338,3-4
584,"Political Science, BA",POLI SCI 339,3-4
584,"Political Science, BA",POLI SCI/JEWISH  341,3-4
584,"Political Science, BA",POLI SCI 344,3-4
584,"Political Science, BA",POLI SCI 349,3-4
584,"Political Science, BA",POLI SCI/CHICLA/HISTORY/LACIS  355,3-4
584,"Political Science, BA",POLI SCI 358,3-4
584,"Political Science, BA",POLI SCI 370,3-4
584,"Political Science, BA",POLI SCI/CHICLA/HISTORY  422,3-4
584,"Political Science, BA",POLI SCI/GEN&WS  429,3-4
584,"Political Science, BA",POLI SCI/INTL ST  431,3-4
584,"Political Science, BA",POLI SCI/RELIG ST  433,3-4
584,"Political Science, BA",POLI SCI/INTL ST  434,3-4
584,"Political Science, BA",POLI SCI/GEN&WS  435,3-4
584,"Political Science, BA",POLI SCI 437,3-4
584,"Political Science, BA",POLI SCI/INTL ST  439,3-4
584,"Political Science, BA",POLI SCI 342,3-4
584,"Political Science, BA",POLI SCI 442,3-4
584,"Political Science, BA",POLI SCI 529,3-4
584,"Political Science, BA",POLI SCI 538,3-4
584,"Political Science, BA",POLI SCI 635,3-4
584,"Political Science, BA",POLI SCI 690,3-4
585,"Political Science, BA",POLI SCI 170,C1
585,"Political Science, BA",POLI SCI 270,C1
585,"Political Science, BA",POLI SCI 274,C1
585,"Political Science, BA",POLI SCI 348,C1
585,"Political Science, BA",POLI SCI/JOURN/URB R PL  373,C1
