Group ID,Major,Course,Credits Required
586,"Portuguese, BA",PORTUG 221,4
587,"Portuguese, BA",PORTUG 411,3
587,"Portuguese, BA",PORTUG/GEN&WS  450,3
587,"Portuguese, BA",PORTUG/AFRICAN  451,3
587,"Portuguese, BA",PORTUG 467,3
587,"Portuguese, BA",PORTUG 468,3
588,"Portuguese, BA",PORTUG 361,3
588,"Portuguese, BA",PORTUG 362,3
588,"Portuguese, BA",PORTUG/GEN&WS  460,3
588,"Portuguese, BA",PORTUG 642,3
589,"Portuguese, BA",PORTUG 225,C2
589,"Portuguese, BA",PORTUG 226,C2
589,"Portuguese, BA",PORTUG 311,C2
589,"Portuguese, BA",PORTUG 312,C2
