Group ID,Major,Course,Credits Required
589,"Psychology, BA",PSYCH 202,
590,"Psychology, BA",PSYCH 210,
590,"Psychology, BA",STAT 324,
590,"Psychology, BA",STAT 371,
591,"Psychology, BA",PSYCH 225,
592,"Psychology, BA",BIOLOGY/ZOOLOGY  101,
592,"Psychology, BA",BIOLOGY/BOTANY/ZOOLOGY  151,
592,"Psychology, BA",BIOCORE 381 & BIOCORE 383,
593,"Psychology, BA",PSYCH 449,
593,"Psychology, BA",PSYCH 450,
593,"Psychology, BA",PSYCH 454,
593,"Psychology, BA",PSYCH/ZOOLOGY  523,
594,"Psychology, BA",PSYCH 401,
594,"Psychology, BA",PSYCH 405,
595,"Psychology, BA",PSYCH 406,
595,"Psychology, BA",PSYCH 414,
596,"Psychology, BA",PSYCH/SOC  453,
596,"Psychology, BA",PSYCH 460,
596,"Psychology, BA",PSYCH 462,
596,"Psychology, BA",PSYCH 464,
597,"Psychology, BA",PSYCH 403,
597,"Psychology, BA",PSYCH 456,
597,"Psychology, BA",PSYCH/GEN&WS  522,
598,"Psychology, BA",PSYCH 501,
599,"Psychology, BA",PSYCH 502,
600,"Psychology, BA",PSYCH 503,
601,"Psychology, BA",PSYCH 505,
602,"Psychology, BA",PSYCH 508,
603,"Psychology, BA",PSYCH 507,
604,"Psychology, BA",PSYCH 510,
605,"Psychology, BA",PSYCH 513,
606,"Psychology, BA",PSYCH 515,
607,"Psychology, BA",PSYCH 521,
608,"Psychology, BA",PSYCH 526,
609,"Psychology, BA",PSYCH 528,
610,"Psychology, BA",PSYCH 532,
611,"Psychology, BA",PSYCH 601,
612,"Psychology, BA",PSYCH 602,
613,"Psychology, BA",PSYCH 603,
614,"Psychology, BA",PSYCH 607,
615,"Psychology, BA",PSYCH 612,
616,"Psychology, BA",PSYCH 626,
