Group ID,Major,Course,Credits Required
617,"Religious Studies, BA",RELIG ST 101,
617,"Religious Studies, BA",RELIG ST 102,
617,"Religious Studies, BA",RELIG ST 103,
617,"Religious Studies, BA",RELIG ST/FOLKLORE  104,
617,"Religious Studies, BA",RELIG ST 105,
618,"Religious Studies, BA",RELIG ST/JEWISH  215,
618,"Religious Studies, BA",RELIG ST 280,
618,"Religious Studies, BA",RELIG ST 300,
618,"Religious Studies, BA",RELIG ST 320,
618,"Religious Studies, BA",RELIG ST/AFRICAN  408,
618,"Religious Studies, BA",RELIG ST 302,
618,"Religious Studies, BA",RELIG ST/GEN&WS  305,
618,"Religious Studies, BA",RELIG ST/ASIAN/HISTORY  308,
618,"Religious Studies, BA",RELIG ST/HISTORY/MEDIEVAL  309,
618,"Religious Studies, BA",RELIG ST 311,
618,"Religious Studies, BA",RELIG ST/JEWISH/LITTRANS  328,
618,"Religious Studies, BA",RELIG ST/HIST SCI/MED HIST  331,
618,"Religious Studies, BA",RELIG ST/CLASSICS/HEBR-BIB/JEWISH/LITTRANS  332,
618,"Religious Studies, BA",RELIG ST 333,
618,"Religious Studies, BA",RELIG ST/CLASSICS/JEWISH  335,
618,"Religious Studies, BA",RELIG ST/JEWISH  340,
618,"Religious Studies, BA",RELIG ST/FOLKLORE/MEDIEVAL/SCAND ST  342,
618,"Religious Studies, BA",RELIG ST/ANTHRO  343,
618,"Religious Studies, BA",RELIG ST/FOLKLORE  352,
618,"Religious Studies, BA",RELIG ST/ASIAN  306,
618,"Religious Studies, BA",RELIG ST/ENGL/HISTORY  360,
618,"Religious Studies, BA",RELIG ST 361,
618,"Religious Studies, BA",RELIG ST/AFRICAN/ASIAN  370,
618,"Religious Studies, BA",RELIG ST/ART HIST  373,
618,"Religious Studies, BA",RELIG ST/COM ARTS  374,
618,"Religious Studies, BA",RELIG ST 400,
618,"Religious Studies, BA",RELIG ST 401,
618,"Religious Studies, BA",RELIG ST 403,
618,"Religious Studies, BA",RELIG ST 406,
618,"Religious Studies, BA",RELIG ST 410,
618,"Religious Studies, BA",RELIG ST/HISTORY  411,
618,"Religious Studies, BA",RELIG ST/AFRICAN  414,
618,"Religious Studies, BA",RELIG ST 420,
618,"Religious Studies, BA",RELIG ST/POLI SCI  433,
618,"Religious Studies, BA",RELIG ST/ENGL  434,
618,"Religious Studies, BA",RELIG ST/ITALIAN/MEDIEVAL  440,
618,"Religious Studies, BA",RELIG ST/ASIAN  466,
618,"Religious Studies, BA",RELIG ST/ASIAN  473,
618,"Religious Studies, BA",RELIG ST 475,
618,"Religious Studies, BA",RELIG ST/ART HIST  478,
618,"Religious Studies, BA",RELIG ST 500,
618,"Religious Studies, BA",RELIG ST/PHILOS  501,
618,"Religious Studies, BA",RELIG ST/CURRIC/ED POL  516,
618,"Religious Studies, BA",RELIG ST/CLASSICS/HISTORY  517,
618,"Religious Studies, BA",RELIG ST/ASIAN  650,
619,"Religious Studies, BA",RELIG ST 600,
