Group ID,Major,Course,Credits Required
620,"Russian, BA",SLAVIC 275 & SLAVIC 276,
620,"Russian, BA",SLAVIC 315,
620,"Russian, BA",SLAVIC 316,
620,"Russian, BA",SLAVIC 321,
621,"Russian, BA",LITTRANS 203,
621,"Russian, BA",LITTRANS 204,
622,"Russian, BA",LITTRANS 201,
622,"Russian, BA",LITTRANS 203,
622,"Russian, BA",LITTRANS 202,
622,"Russian, BA",LITTRANS 204,
622,"Russian, BA",LITTRANS 233,
622,"Russian, BA",LITTRANS 234,
623,"Russian, BA",SLAVIC 465,
623,"Russian, BA",SLAVIC 560,
624,"Russian, BA",SLAVIC 309,
624,"Russian, BA",SLAVIC 310,
624,"Russian, BA",SLAVIC/LITTRANS  366,
624,"Russian, BA",SLAVIC 433,
624,"Russian, BA",SLAVIC 434,
624,"Russian, BA",SLAVIC/FOLKLORE  444,
624,"Russian, BA",SLAVIC/LITTRANS  467,
624,"Russian, BA",SLAVIC 555,
624,"Russian, BA",LITTRANS/GEN&WS  205,
624,"Russian, BA",LITTRANS 220,
624,"Russian, BA",LITTRANS 221,
624,"Russian, BA",LITTRANS 222,
624,"Russian, BA",LITTRANS/ENGL  223,
624,"Russian, BA",LITTRANS 224,
624,"Russian, BA",LITTRANS/THEATRE  423,
625,"Russian, BA",SLAVIC/LITTRANS  238,
625,"Russian, BA",SLAVIC 239,
625,"Russian, BA",SLAVIC 243,
625,"Russian, BA",SLAVIC/GEOG/HISTORY/POLI SCI  253,
625,"Russian, BA",SLAVIC/LITTRANS  266,
625,"Russian, BA",LITTRANS 207,
