Group ID,Major,Course,Credits Required
626,"Scandinavian Studies, BA",SCAND ST 251,3-4
626,"Scandinavian Studies, BA",SCAND ST 261,3-4
626,"Scandinavian Studies, BA",SCAND ST 271,3-4
627,"Scandinavian Studies, BA",SCAND ST/FOLKLORE/MEDIEVAL  235,3-15
627,"Scandinavian Studies, BA",SCAND ST 250,3-15
627,"Scandinavian Studies, BA",SCAND ST 276,3-15
627,"Scandinavian Studies, BA",SCAND ST/FOLKLORE/MEDIEVAL/RELIG ST  342,3-15
627,"Scandinavian Studies, BA",SCAND ST/FOLKLORE/LITTRANS/MEDIEVAL  345,3-15
627,"Scandinavian Studies, BA",SCAND ST 348,3-15
627,"Scandinavian Studies, BA",SCAND ST 355,3-15
627,"Scandinavian Studies, BA",SCAND ST 401,3-15
627,"Scandinavian Studies, BA",SCAND ST 404,3-15
627,"Scandinavian Studies, BA",SCAND ST/MEDIEVAL  407,3-15
627,"Scandinavian Studies, BA",SCAND ST/MEDIEVAL  408,3-15
627,"Scandinavian Studies, BA",SCAND ST/MEDIEVAL  409,3-15
627,"Scandinavian Studies, BA",SCAND ST 410,3-15
627,"Scandinavian Studies, BA",SCAND ST 411,3-15
627,"Scandinavian Studies, BA",SCAND ST 415,3-15
627,"Scandinavian Studies, BA",SCAND ST/MEDIEVAL  430,3-15
627,"Scandinavian Studies, BA",SCAND ST/HISTORY  431,3-15
627,"Scandinavian Studies, BA",SCAND ST/HISTORY  432,3-15
627,"Scandinavian Studies, BA",SCAND ST/LITTRANS  435,3-15
627,"Scandinavian Studies, BA",SCAND ST/GEN&WS/LITTRANS  438,3-15
627,"Scandinavian Studies, BA",SCAND ST/FOLKLORE  440,3-15
627,"Scandinavian Studies, BA",SCAND ST 439,3-15
627,"Scandinavian Studies, BA",SCAND ST/FOLKLORE  443,3-15
627,"Scandinavian Studies, BA",SCAND ST/MEDIEVAL  444,3-15
627,"Scandinavian Studies, BA",SCAND ST/FOLKLORE/MEDIEVAL  446,3-15
627,"Scandinavian Studies, BA",SCAND ST 476,3-15
627,"Scandinavian Studies, BA",SCAND ST 510,3-15
627,"Scandinavian Studies, BA",SCAND ST 511,3-15
627,"Scandinavian Studies, BA",SCAND ST/HISTORY  577,3-15
628,"Scandinavian Studies, BA",SCAND ST/LITTRANS  320,3-15
628,"Scandinavian Studies, BA",SCAND ST 373,3-15
628,"Scandinavian Studies, BA",SCAND ST 374,3-15
628,"Scandinavian Studies, BA",SCAND ST 419,3-15
628,"Scandinavian Studies, BA",SCAND ST 421,3-15
628,"Scandinavian Studies, BA",SCAND ST 421,3-15
628,"Scandinavian Studies, BA",SCAND ST 421,3-15
628,"Scandinavian Studies, BA",SCAND ST 422,3-15
628,"Scandinavian Studies, BA",SCAND ST 424,3-15
628,"Scandinavian Studies, BA",SCAND ST 426,3-15
628,"Scandinavian Studies, BA",SCAND ST 427,3-15
628,"Scandinavian Studies, BA",SCAND ST/LITTRANS  428,3-15
628,"Scandinavian Studies, BA",SCAND ST 434,3-15
628,"Scandinavian Studies, BA",SCAND ST 436,3-15
628,"Scandinavian Studies, BA",SCAND ST 450,3-15
628,"Scandinavian Studies, BA",SCAND ST 475,3-15
628,"Scandinavian Studies, BA",SCAND ST 520,3-15
628,"Scandinavian Studies, BA",SCAND ST 634,3-15
628,"Scandinavian Studies, BA",SCAND ST 635,3-15
628,"Scandinavian Studies, BA",LITTRANS 274,3-15
628,"Scandinavian Studies, BA",LITTRANS 275,3-15
