Group ID,Major,Course,Credits Required
629,"Social Welfare, BA",SOC WORK 205,
630,"Social Welfare, BA",SOC WORK 206,
631,"Social Welfare, BA",AFROAMER 302,
631,"Social Welfare, BA",AFROAMER 303,
631,"Social Welfare, BA",AFROAMER/HISTORY  321,
631,"Social Welfare, BA",AFROAMER/GEN&WS  323,
631,"Social Welfare, BA",AFROAMER/GEN&WS  333,
631,"Social Welfare, BA",AFROAMER/HISTORY  347,
631,"Social Welfare, BA",AFROAMER/HISTORY  393,
631,"Social Welfare, BA",AFROAMER/LEGAL ST  435,
631,"Social Welfare, BA",AFROAMER/HIST SCI/MED HIST  523,
631,"Social Welfare, BA",AFROAMER/ED POL  567,
631,"Social Welfare, BA",AFROAMER 621,
631,"Social Welfare, BA",AFROAMER 631,
631,"Social Welfare, BA",AFROAMER 671,
631,"Social Welfare, BA",AFROAMER 673,
632,"Social Welfare, BA",AMER IND/ENVIR ST  306,
632,"Social Welfare, BA",AMER IND/ANTHRO  314,
632,"Social Welfare, BA",AMER IND/ENVIR ST/GEOG  345,
632,"Social Welfare, BA",AMER IND/GEOG  410,
632,"Social Welfare, BA",AMER IND 450,
632,"Social Welfare, BA",AMER IND/ANTHRO/BOTANY  474,
632,"Social Welfare, BA",AMER IND/C&E SOC/SOC  578,
632,"Social Welfare, BA",AMER IND/SOC WORK  636,
633,"Social Welfare, BA",ANTHRO 300,
633,"Social Welfare, BA",ANTHRO/AMER IND  314,
633,"Social Welfare, BA",ANTHRO 321,
633,"Social Welfare, BA",ANTHRO 322,
633,"Social Welfare, BA",ANTHRO/RELIG ST  343,
633,"Social Welfare, BA",ANTHRO 345,
633,"Social Welfare, BA",ANTHRO 348,
633,"Social Welfare, BA",ANTHRO 350,
633,"Social Welfare, BA",ANTHRO/GEN&WS  443,
633,"Social Welfare, BA",ANTHRO/AMER IND/BOTANY  474,
633,"Social Welfare, BA",ANTHRO 477,
633,"Social Welfare, BA",ANTHRO 545,
633,"Social Welfare, BA",ANTHRO/ED POL  570,
634,"Social Welfare, BA",ASIAN AM/SOC  220,
634,"Social Welfare, BA",ASIAN AM 240,
634,"Social Welfare, BA",ASIAN AM 441,
634,"Social Welfare, BA",ASIAN AM 540,
635,"Social Welfare, BA",CHICLA/POLI SCI  231,
635,"Social Welfare, BA",CHICLA 301,
635,"Social Welfare, BA",CHICLA/POLI SCI  302,
635,"Social Welfare, BA",CHICLA 315,
635,"Social Welfare, BA",CHICLA/CURRIC  321,
635,"Social Welfare, BA",CHICLA 329,
635,"Social Welfare, BA",CHICLA 330,
635,"Social Welfare, BA",CHICLA/GEN&WS  332,
635,"Social Welfare, BA",CHICLA/HISTORY/LACIS/POLI SCI  355,
635,"Social Welfare, BA",CHICLA/LEGAL ST/SOC  440,
635,"Social Welfare, BA",CHICLA/LEGAL ST/SOC  443,
635,"Social Welfare, BA",CHICLA/SOC  470,
635,"Social Welfare, BA",CHICLA/LAND ARC  475,
635,"Social Welfare, BA",CHICLA 501,
635,"Social Welfare, BA",CHICLA/COUN PSY  525,
636,"Social Welfare, BA",ECON/FINANCE  300,
636,"Social Welfare, BA",ECON 301,
636,"Social Welfare, BA",ECON 302,
636,"Social Welfare, BA",ECON/HIST SCI  305,
636,"Social Welfare, BA",ECON/A A E/REAL EST/URB R PL  306,
636,"Social Welfare, BA",ECON 311,
636,"Social Welfare, BA",ECON 312,
636,"Social Welfare, BA",ECON/FINANCE  320,
636,"Social Welfare, BA",ECON 321,
636,"Social Welfare, BA",ECON 330,
636,"Social Welfare, BA",ECON 340,
636,"Social Welfare, BA",ECON/A A E/ENVIR ST  343,
636,"Social Welfare, BA",ECON 355,
636,"Social Welfare, BA",ECON 370,
636,"Social Welfare, BA",ECON 390,
636,"Social Welfare, BA",ECON/REAL EST/URB R PL  420,
636,"Social Welfare, BA",ECON 441,
636,"Social Welfare, BA",ECON/ENVIR ST/POLI SCI/URB R PL  449,
636,"Social Welfare, BA",ECON 450,
636,"Social Welfare, BA",ECON 461,
636,"Social Welfare, BA",ECON/A A E/INTL BUS  462,
636,"Social Welfare, BA",ECON 464,
636,"Social Welfare, BA",ECON/HISTORY  466,
636,"Social Welfare, BA",ECON 467,
636,"Social Welfare, BA",ECON/A A E  474,
636,"Social Welfare, BA",ECON 475,
636,"Social Welfare, BA",ECON 521,
636,"Social Welfare, BA",ECON 522,
636,"Social Welfare, BA",ECON/PHILOS  524,
636,"Social Welfare, BA",ECON/A A E/F&W ECOL  531,
636,"Social Welfare, BA",ECON/POP HLTH/PUB AFFR  548,
636,"Social Welfare, BA",ECON 623,
636,"Social Welfare, BA",ECON 661,
636,"Social Welfare, BA",ECON/A A E/ENVIR ST/URB R PL  671,
637,"Social Welfare, BA",GEN&WS/CHICLA/GEOG  308,
637,"Social Welfare, BA",GEN&WS 320,
637,"Social Welfare, BA",GEN&WS/PSYCH  322,
637,"Social Welfare, BA",GEN&WS/AFROAMER  323,
