Group ID,Major,Course,Credits Required
646,"Social Work, BSW",SOC WORK 205,8
646,"Social Work, BSW",SOC WORK 206,8
647,"Social Work, BSW",AFROAMER 302,6
647,"Social Work, BSW",AFROAMER 303,6
647,"Social Work, BSW",AFROAMER/HISTORY  321,1-6
647,"Social Work, BSW",AFROAMER/GEN&WS 323,1-6
647,"Social Work, BSW",AFROAMER/GEN&WS 333,1-6
647,"Social Work, BSW",AFROAMER/HISTORY  347,1-6
647,"Social Work, BSW",AFROAMER/HISTORY  393,1-6
647,"Social Work, BSW",AFROAMER/LEGAL ST  435,1-6
647,"Social Work, BSW",AFROAMER/HIST SCI/MED HIST  523,1-6
647,"Social Work, BSW",AFROAMER/ED POL  567,1-6
647,"Social Work, BSW",AFROAMER 621,1-6
647,"Social Work, BSW",AFROAMER 631,1-6
647,"Social Work, BSW",AFROAMER 671,1-6
647,"Social Work, BSW",AFROAMER 673,1-6
648,"Social Work, BSW",AMER IND/ENVIR ST  306,1-6
648,"Social Work, BSW",AMER IND/ANTHRO  314,1-6
648,"Social Work, BSW",AMER IND/ENVIR ST/GEOG  345,1-6
648,"Social Work, BSW",AMER IND/GEOG  410,1-6
648,"Social Work, BSW",AMER IND 450,1-6
648,"Social Work, BSW",AMER IND/ANTHRO/BOTANY  474,1-6
648,"Social Work, BSW",AMER IND/SOC 578,1-6
648,"Social Work, BSW",AMER IND/SOC WORK  636,1-6
649,"Social Work, BSW",ANTHRO 300,
649,"Social Work, BSW",ANTHRO/AMER IND 314,
649,"Social Work, BSW",ANTHRO 321,
649,"Social Work, BSW",ANTHRO 322,
649,"Social Work, BSW",ANTHRO/RELIG ST 343,
649,"Social Work, BSW",ANTHRO 345,
649,"Social Work, BSW",ANTHRO 348,
649,"Social Work, BSW",ANTHRO 350,
649,"Social Work, BSW",ANTHRO/GEN&WS 443,
649,"Social Work, BSW",ANTHRO/AMER IND/BOTANY  474,
649,"Social Work, BSW",ANTHRO 477,
649,"Social Work, BSW",ANTHRO 545,
649,"Social Work, BSW",ANTHRO/ED POL  570,
650,"Social Work, BSW",ASIAN AM/SOC 220,
650,"Social Work, BSW",ASIAN AM 240,
650,"Social Work, BSW",ASIAN AM 441,
650,"Social Work, BSW",ASIAN AM 540,
651,"Social Work, BSW",CHICLA/POLI SCI 231,
651,"Social Work, BSW",CHICLA 301,
651,"Social Work, BSW",CHICLA/POLI SCI  302,
651,"Social Work, BSW",CHICLA 315,
651,"Social Work, BSW",CHICLA/CURRIC  321,
651,"Social Work, BSW",CHICLA 329,
651,"Social Work, BSW",CHICLA 330,
651,"Social Work, BSW",CHICLA/GEN&WS 332,
651,"Social Work, BSW",CHICLA/HISTORY/LACIS/POLI SCI  355,
651,"Social Work, BSW",CHICLA/LEGAL ST/SOC  440,
651,"Social Work, BSW",CHICLA/LEGAL ST/SOC  443,
651,"Social Work, BSW",CHICLA/SOC  470,
651,"Social Work, BSW",CHICLA/LAND ARC  475,
651,"Social Work, BSW",CHICLA 501,
651,"Social Work, BSW",CHICLA/COUN PSY  525,
652,"Social Work, BSW",ECON/FINANCE  300,
652,"Social Work, BSW",ECON 301,
652,"Social Work, BSW",ECON 302,
652,"Social Work, BSW",ECON/HIST SCI  305,
652,"Social Work, BSW",ECON/A A E/REAL EST/URB R PL  306,
652,"Social Work, BSW",ECON 311,
652,"Social Work, BSW",ECON 312,
652,"Social Work, BSW",ECON/FINANCE  320,
652,"Social Work, BSW",ECON 321,
652,"Social Work, BSW",ECON 330,
652,"Social Work, BSW",ECON 340,
652,"Social Work, BSW",ECON/A A E/ENVIR ST 343,
652,"Social Work, BSW",ECON 355,
652,"Social Work, BSW",ECON 370,
652,"Social Work, BSW",ECON 390,
652,"Social Work, BSW",ECON/URB R PL 420,
652,"Social Work, BSW",ECON 441,
652,"Social Work, BSW",ECON/POLI SCI 449,
652,"Social Work, BSW",ECON 450,
652,"Social Work, BSW",ECON 461,
652,"Social Work, BSW",ECON/A A E/INTL BUS  462,
652,"Social Work, BSW",ECON 464,
652,"Social Work, BSW",ECON/HISTORY  466,
652,"Social Work, BSW",ECON 467,
652,"Social Work, BSW",ECON/A A E/ECON 474,
652,"Social Work, BSW",ECON 475,
652,"Social Work, BSW",ECON 521,
652,"Social Work, BSW",ECON 522,
652,"Social Work, BSW",ECON/PHILOS  524,
652,"Social Work, BSW",ECON/A A E/F&W ECOL  531,
652,"Social Work, BSW",ECON/POP HLTH/PUB AFFR  548,
652,"Social Work, BSW",ECON 623,
652,"Social Work, BSW",ECON 661,
652,"Social Work, BSW",ECON/A A E/ENVIR ST/URB R PL  671,
653,"Social Work, BSW",GEN&WS/CHICLA/GEOG  308,
653,"Social Work, BSW",GEN&WS 320,
653,"Social Work, BSW",GEN&WS/PSYCH  322,
653,"Social Work, BSW",GEN&WS/AFROAMER 323,
653,"Social Work, BSW",GEN&WS 331,
653,"Social Work, BSW",GEN&WS/CHICLA 332,
653,"Social Work, BSW",GEN&WS/AFROAMER 333,
653,"Social Work, BSW",GEN&WS 340,
653,"Social Work, BSW",GEN&WS 342,
653,"Social Work, BSW",GEN&WS 344,
653,"Social Work, BSW",GEN&WS/HISTORY 353,
653,"Social Work, BSW",GEN&WS/HISTORY 354,
653,"Social Work, BSW",GEN&WS/LEGAL ST/SOC  406,
653,"Social Work, BSW",GEN&WS/COM ARTS  418,
653,"Social Work, BSW",GEN&WS 420,
653,"Social Work, BSW",GEN&WS/LEGAL ST  422,
653,"Social Work, BSW",GEN&WS 423,
653,"Social Work, BSW",GEN&WS/LEGAL ST/SOC  425,
653,"Social Work, BSW",GEN&WS/POLI SCI  429,
653,"Social Work, BSW",GEN&WS 441,
653,"Social Work, BSW",GEN&WS/ANTHRO 443,
653,"Social Work, BSW",GEN&WS 446,
653,"Social Work, BSW",GEN&WS 449,
653,"Social Work, BSW",GEN&WS/POLI SCI  469,
653,"Social Work, BSW",GEN&WS/GEOG  504,
653,"Social Work, BSW",GEN&WS/HISTORY 519,
