Group ID,Major,Course,Credits Required
662,"Sociology, BA",SOC/C&E SOC  210,3-4
662,"Sociology, BA",SOC/C&E SOC  211,3-4
662,"Sociology, BA",SOC 181,3-4
663,"Sociology, BA",SOC/C&E SOC  357,3-4
664,"Sociology, BA",SOC/C&E SOC  360,3-4
664,"Sociology, BA",ECON 310,3-4
664,"Sociology, BA",MATH/STAT  310,3-4
664,"Sociology, BA",PSYCH 210,3-4
664,"Sociology, BA",STAT 301,3-4
664,"Sociology, BA",STAT 371,3-4
665,"Sociology, BA",SOC/C&E SOC  475,3
666,"Sociology, BA",SOC 351,12
666,"Sociology, BA",SOC/C&E SOC  361,12
666,"Sociology, BA",SOC 362,12
666,"Sociology, BA",SOC/C&E SOC  365,12
666,"Sociology, BA",SOC 375,12
666,"Sociology, BA",SOC 376,12
666,"Sociology, BA",SOC 461,12
666,"Sociology, BA",SOC/C&E SOC  618,12
666,"Sociology, BA",SOC 631,12
666,"Sociology, BA",SOC 462,12
666,"Sociology, BA",SOC 476,12
666,"Sociology, BA",SOC/ILS/JEWISH  423,12
666,"Sociology, BA",SOC 421,12
666,"Sociology, BA",SOC/SOC WORK  422,12
666,"Sociology, BA",SOC 441,12
666,"Sociology, BA",SOC 446,12
666,"Sociology, BA",SOC 463,12
666,"Sociology, BA",SOC/GEN&WS/LEGAL ST  425,12
666,"Sociology, BA",SOC/CHICLA/LEGAL ST  443,12
666,"Sociology, BA",SOC/CHICLA/LEGAL ST  440,12
666,"Sociology, BA",SOC/GEN&WS/LEGAL ST  406,12
666,"Sociology, BA",SOC 444,12
666,"Sociology, BA",SOC/PSYCH  453,12
666,"Sociology, BA",SOC 464,12
666,"Sociology, BA",SOC/C&E SOC  532,12
666,"Sociology, BA",SOC/C&E SOC  533,12
666,"Sociology, BA",SOC 535,12
666,"Sociology, BA",SOC 543,12
666,"Sociology, BA",SOC/C&E SOC  573,12
666,"Sociology, BA",SOC 575,12
666,"Sociology, BA",SOC/AMER IND/C&E SOC  578,12
666,"Sociology, BA",SOC 465,12
666,"Sociology, BA",SOC/CHICLA  470,12
666,"Sociology, BA",SOC/C&E SOC/URB R PL  617,12
666,"Sociology, BA",SOC 624,12
666,"Sociology, BA",SOC 626,12
666,"Sociology, BA",SOC/C&E SOC  630,12
666,"Sociology, BA",SOC 632,12
666,"Sociology, BA",SOC 633,12
666,"Sociology, BA",SOC 640,12
666,"Sociology, BA",SOC/LAW/LEGAL ST  641,12
666,"Sociology, BA",SOC/C&E SOC/URB R PL  645,12
666,"Sociology, BA",SOC 647,12
666,"Sociology, BA",SOC/ED POL  648,12
666,"Sociology, BA",SOC/C&E SOC  650,12
666,"Sociology, BA",SOC/C&E SOC  652,12
666,"Sociology, BA",SOC/HISTORY  670,12
666,"Sociology, BA",SOC 678,12
666,"Sociology, BA",SOC/ASIAN  336,12
666,"Sociology, BA",SOC 460,12
666,"Sociology, BA",SOC 575,12
666,"Sociology, BA",SOC 674,12
666,"Sociology, BA",SOC/C&E SOC  533,12
666,"Sociology, BA",SOC/C&E SOC/ENVIR ST  540,12
666,"Sociology, BA",SOC/C&E SOC  541,12
666,"Sociology, BA",SOC/C&E SOC  573,12
666,"Sociology, BA",SOC 575,12
666,"Sociology, BA",SOC/AMER IND/C&E SOC  578,12
666,"Sociology, BA",SOC/C&E SOC/URB R PL  617,12
666,"Sociology, BA",SOC/C&E SOC  650,12
