Group ID,Major,Course,Credits Required
673,"Spanish, BA",SPANISH 223,3
673,"Spanish, BA",SPANISH/CHICLA  222,3
674,"Spanish, BA",SPANISH 224,3
675,"Spanish, BA",SPANISH 225,3
676,"Spanish, BA",SPANISH 311,3
677,"Spanish, BA",SPANISH 322,3
677,"Spanish, BA",SPANISH 324,3
677,"Spanish, BA",SPANISH 326,3
678,"Spanish, BA",SPANISH 320,3
678,"Spanish, BA",SPANISH 321,3
678,"Spanish, BA",SPANISH 327,3
678,"Spanish, BA",SPANISH 331,3
678,"Spanish, BA",SPANISH 420,3
678,"Spanish, BA",SPANISH/FRENCH/ITALIAN/PORTUG  429,3
678,"Spanish, BA",SPANISH 430,3
678,"Spanish, BA",SPANISH 446,3
678,"Spanish, BA",SPANISH 474,3
679,"Spanish, BA",SPANISH 361,3
679,"Spanish, BA",SPANISH 363,3
679,"Spanish, BA",SPANISH/CHICLA  364,3
679,"Spanish, BA",SPANISH/ENVIR ST  445,3
679,"Spanish, BA",SPANISH 455,3
679,"Spanish, BA",SPANISH 468,3
679,"Spanish, BA",SPANISH/CHICLA  469,3
679,"Spanish, BA",SPANISH 472,3
679,"Spanish, BA",SPANISH 476,3
679,"Spanish, BA",SPANISH 477,3
679,"Spanish, BA",SPANISH/CHICLA  478,3
679,"Spanish, BA",SPANISH 480,3
679,"Spanish, BA",SPANISH 490,3
680,"Spanish, BA",SPANISH 317,3
680,"Spanish, BA",SPANISH 318,3
680,"Spanish, BA",SPANISH 319,3
680,"Spanish, BA",SPANISH 325,3
680,"Spanish, BA",SPANISH 328,3
680,"Spanish, BA",SPANISH/INTL BUS  329,3
680,"Spanish, BA",SPANISH 359,3
680,"Spanish, BA",SPANISH 473,3
681,"Spanish, BA",LITTRANS 245,3
681,"Spanish, BA",PORTUG 301,3
