Group ID,Major,Course,Credits Required
693,"Zoology, BA",MATH 112 & MATH 113,4-10
693,"Zoology, BA",MATH 114,4-10
693,"Zoology, BA",MATH 171 & MATH 217,4-10
693,"Zoology, BA",MATH 211,4-10
694,"Zoology, BA",CHEM 103 & CHEM 104, 5-9
694,"Zoology, BA",CHEM 109,5-9
695,"Zoology, BA",PHYSICS 103 & PHYSICS 104,8-10
695,"Zoology, BA",PHYSICS 201 & PHYSICS 202,8-10
695,"Zoology, BA",PHYSICS 207 & PHYSICS 208,8-10
696,"Zoology, BA",ZOOLOGY/BIOLOGY/BOTANY  151 & ZOOLOGY/BIOLOGY/BOTANY  152,10
697,"Zoology, BA",BIOCORE 381 & BIOCORE 382,10
697,"Zoology, BA",BIOCORE 383 & BIOCORE 384,10
698,"Zoology, BA",ZOOLOGY/BIOLOGY  101 & ZOOLOGY/BIOLOGY  102,5
699,"Zoology, BA",ZOOLOGY 299,5-10
699,"Zoology, BA",ZOOLOGY 300,5-10
699,"Zoology, BA",ZOOLOGY 301,5-10
699,"Zoology, BA",ZOOLOGY/ENTOM  302,5-10
699,"Zoology, BA",ZOOLOGY 303,5-10
699,"Zoology, BA",ZOOLOGY 304,5-10
699,"Zoology, BA",ZOOLOGY/ENVIR ST  315,5-10
699,"Zoology, BA",ZOOLOGY 316,5-10
699,"Zoology, BA",ZOOLOGY 320,5-10
699,"Zoology, BA",ZOOLOGY/F&W ECOL  335,5-10
699,"Zoology, BA",ZOOLOGY/ENTOM/M M & I/PATH-BIO  350,5-10
699,"Zoology, BA",ZOOLOGY/ENVIR ST/F&W ECOL  360,5-10
699,"Zoology, BA",ZOOLOGY 370,5-10
699,"Zoology, BA",ZOOLOGY/ENTOM  371,5-10
699,"Zoology, BA",ZOOLOGY 400,5-10
699,"Zoology, BA",ZOOLOGY 401,5-10
699,"Zoology, BA",ZOOLOGY 405,5-10
699,"Zoology, BA",ZOOLOGY/ANTHRO/BOTANY  410,5-10
699,"Zoology, BA",ZOOLOGY 415,5-10
699,"Zoology, BA",ZOOLOGY 425,5-10
699,"Zoology, BA",ZOOLOGY 430,5-10
699,"Zoology, BA",ZOOLOGY/BOTANY  450,5-10
699,"Zoology, BA",ZOOLOGY/BOTANY/F&W ECOL  460,5-10
699,"Zoology, BA",ZOOLOGY 470,5-10
699,"Zoology, BA",ZOOLOGY/BOTANY/ENTOM  473,5-10
699,"Zoology, BA",ZOOLOGY 500,5-10
699,"Zoology, BA",ZOOLOGY/ENVIR ST  510,5-10
699,"Zoology, BA",ZOOLOGY/ENVIR ST  511,5-10
699,"Zoology, BA",ZOOLOGY/BOTANY/ENVIR ST/F&W ECOL  516,5-10
699,"Zoology, BA",ZOOLOGY/AN SCI/F&W ECOL  520,5-10
699,"Zoology, BA",ZOOLOGY/AN SCI/F&W ECOL  521,5-10
699,"Zoology, BA",ZOOLOGY/PSYCH  523,5-10
699,"Zoology, BA",ZOOLOGY/GEOSCI  542,5-10
699,"Zoology, BA",ZOOLOGY 555,5-10
699,"Zoology, BA",ZOOLOGY/F&W ECOL/LAND ARC  565,5-10
699,"Zoology, BA",ZOOLOGY 570,5-10
699,"Zoology, BA",ZOOLOGY 603,5-10
699,"Zoology, BA",ZOOLOGY 604,5-10
699,"Zoology, BA",ZOOLOGY 611,5-10
699,"Zoology, BA",ZOOLOGY 612,5-10
699,"Zoology, BA",ZOOLOGY/ANTHRO/PSYCH  619,5-10
699,"Zoology, BA",ZOOLOGY 620,5-10
699,"Zoology, BA",ZOOLOGY/ENTOM/GENETICS  624,5-10
699,"Zoology, BA",ZOOLOGY 655,5-10
699,"Zoology, BA",ZOOLOGY/F&W ECOL  660,5-10
699,"Zoology, BA",ZOOLOGY/BOTANY/F&W ECOL  672,5-10
699,"Zoology, BA",ZOOLOGY/NEURODPT/PSYCH  674,5-10
699,"Zoology, BA",ZOOLOGY 677,5-10
699,"Zoology, BA",ZOOLOGY 681 & ZOOLOGY 682,5-10
699,"Zoology, BA",ZOOLOGY 691 & ZOOLOGY 692,5-10
699,"Zoology, BA",ZOOLOGY 698,5-10
699,"Zoology, BA",ZOOLOGY 699,5-10
699,"Zoology, BA",ANAT&PHY 335,5-10
699,"Zoology, BA",ANAT&PHY 338,5-10
699,"Zoology, BA",ANTHRO 458,5-10
699,"Zoology, BA",ANTHRO 668,5-10
699,"Zoology, BA",BIOCHEM 501,5-10
699,"Zoology, BA",BIOCHEM 507,5-10
699,"Zoology, BA",BOTANY 330,5-10
699,"Zoology, BA",ENTOM 331,5-10
699,"Zoology, BA",ENTOM 450,5-10
699,"Zoology, BA",ENVIR ST/LAND ARC  361,5-10
699,"Zoology, BA",ENVIR ST 375,5-10
699,"Zoology, BA",F&W ECOL 306,5-10
699,"Zoology, BA",F&W ECOL/SURG SCI  548,5-10
699,"Zoology, BA",GENETICS 466,5-10
699,"Zoology, BA",GENETICS 545,5-10
699,"Zoology, BA",MICROBIO 303,5-10
699,"Zoology, BA",MICROBIO 304,5-10
699,"Zoology, BA",MICROBIO 345,5-10
699,"Zoology, BA",M M & I 341,5-10
699,"Zoology, BA",M M & I/PATH-BIO  528,5-10
699,"Zoology, BA",PSYCH 449,5-10
699,"Zoology, BA",PSYCH 450,5-10
699,"Zoology, BA",PSYCH 454,5-10
699,"Zoology, BA",PSYCH 513,5-10
