id,university_id,major_name,degree_type
1,UW-Madison,African American Studies,BA
2,UW-Madison,African American Studies,BS
3,UW-Madison,African Cultural Studies,BA
4,UW-Madison,African Cultural Studies,BS
5,UW-Madison,Agricultural Business Management,BS
6,UW-Madison,Agricultural and Applied Economics,BS
7,UW-Madison,Agroecology,BS
8,UW-Madison,Agronomy,BS
9,UW-Madison,Animal and Veterinary Biosciences,BS
10,UW-Madison,Anthropology,BA
11,UW-Madison,Anthropology,BS
12,UW-Madison,"Applied Mathematics, Engineering, and Physics",BS
13,UW-Madison,Art,BS
14,UW-Madison,Art,BFA
15,UW-Madison,Art Education,BS
16,UW-Madison,Art History,BA
17,UW-Madison,Art History,BS
18,UW-Madison,Asian Languages and Cultures,BA
19,UW-Madison,Asian Languages and Cultures,BS
20,UW-Madison,Astronomy–Physics,BA
21,UW-Madison,Astronomy–Physics,BS
22,UW-Madison,Atmospheric and Oceanic Sciences,BA
23,UW-Madison,Atmospheric and Oceanic Sciences,BS
24,UW-Madison,Biochemistry (CALS),BS
25,UW-Madison,Biochemistry (L&S),BA
26,UW-Madison,Biochemistry (L&S),BS
27,UW-Madison,Biological Systems Engineering,BS
28,UW-Madison,Biology (CALS),BS
29,UW-Madison,Biology (L&S),BA
30,UW-Madison,Biology (L&S),BS
31,UW-Madison,Biomedical Engineering,BS
32,UW-Madison,Botany,BA
33,UW-Madison,Botany,BS
34,UW-Madison,Business Administration-Human Resources,BBA
35,UW-Madison,Business Administration-Management,BBA
36,UW-Madison,Business Administration-Marketing,BBA
37,UW-Madison,Business: Accounting,BBA
38,UW-Madison,Business: Actuarial Science,BBA
39,UW-Madison,Business: Entrepreneurship,BBA
40,UW-Madison,"Business: Finance, Investment, and Banking",BBA
41,UW-Madison,Business: Human Resource Management,BBA
42,UW-Madison,Business: Information Systems,BBA
43,UW-Madison,Business: International Business,BBA
44,UW-Madison,Business: Management,BBA
45,UW-Madison,Business: Management and Human Resources,BBA
46,UW-Madison,Business: Marketing,BBA
47,UW-Madison,Business: Operations and Technology Management,BBA
48,UW-Madison,Business: Real Estate and Urban Land Economics,BBA
49,UW-Madison,Business: Risk Management and Insurance,BBA
50,UW-Madison,Business: Supply Chain Management,BBA
51,UW-Madison,Cartography and Geographic Information Systems,BA
52,UW-Madison,Cartography and Geographic Information Systems,BS
53,UW-Madison,Chemical Engineering,BS
54,UW-Madison,Chemistry,BA
55,UW-Madison,Chemistry,BS
56,UW-Madison,Chicanx/e Latinx/e,BA
57,UW-Madison,Chicanx/e Latinx/e,BS
58,UW-Madison,Chinese,BA
59,UW-Madison,Chinese,BS
60,UW-Madison,Civil Engineering,BS
61,UW-Madison,Classical Humanities,BA
62,UW-Madison,Classical Humanities,BS
